tempo,potencia_ativa_carga,potencia_reativa_carga,potencia_PV,custo_energia
0,295,134,0,0.47
1,283.3,132.333,0,0.47
2,271.6,130.667,0,0.47
3,260,129,0,0.47
4,248.3,127.333,0,0.47
5,236.6,125.667,0,0.47
6,225,124,0,0.47
7,224.3,124.333,0,0.47
8,223.6,124.667,0,0.47
9,223,125,0,0.47
10,222.3,125.333,0,0.47
11,221.6,125.667,0,0.47
12,221,126,0,0.47
13,220,126.167,0,0.47
14,218.9,126.333,0,0.47
15,218,126.5,0,0.47
16,217,126.667,0,0.47
17,215.9,126.833,0,0.47
18,215,127,0,0.47
19,216.1,128.5,0,0.47
20,217.3,130,0,0.47
21,218.5,131.5,0,0.47
22,219.6,133,0,0.47
23,220.8,134.5,0,0.47
24,222,136,0,0.47
25,222,135.83,0,0.47
26,221.9,135.67,0,0.47
27,222,135.5,0,0.47
28,222,135.33,0,0.47
29,221.9,135.17,0,0.47
30,222,135,0,0.47
31,224.1,135.67,0,0.47
32,226.3,136.33,0,0.47
33,228.5,137,0,0.47
34,230.6,137.67,0,0.47
35,232.8,138.33,0,0.47
36,235,139,0,0.47
37,228.6,136.5,0,0.47
38,222.3,134,0,0.47
39,216,131.5,0,0.47
40,209.6,129,0,0.47
41,203.3,126.5,0,0.47
42,197,124,0,0.47
43,185.1,120.333,0,0.47
44,173.3,116.667,0,0.47
45,161.5,113,4.3,0.47
46,149.6,109.333,8.7,0.47
47,137.8,105.667,10.2,0.47
48,126,102,13,0.47
49,126.8,102.333,20.4,0.47
50,127.6,102.667,20.2,0.47
51,128.5,103,29.8,0.47
52,129.3,103.333,30.4,0.47
53,130.1,103.667,28.8,0.47
54,131,104,33.2,0.47
55,133.5,104.667,33.6,0.47
56,135.9,105.333,44.4,0.47
57,138.5,106,49,0.47
58,141,106.667,48.2,0.47
59,143.4,107.333,55.9,0.47
60,146,108,60.8,0.47
61,146.3,107.666,60.4,0.47
62,146.6,107.334,66.9,0.47
63,147,107,70.2,0.47
64,147.3,106.666,73,0.47
65,147.6,106.334,75.5,0.47
66,148,106,77.2,0.47
67,148.5,103.334,79,0.47
68,148.9,100.666,72.4,0.47
69,149.5,98,83.8,0.47
70,150,95.334,85.2,0.47
71,150.4,92.666,86.6,0.47
72,151,90,87.2,0.47
73,149.5,90.666,87.9,0.47
74,148,91.334,88.4,0.47
75,146.5,92,89,0.47
76,145,92.666,88.9,0.47
77,143.5,93.334,77.9,0.47
78,142,94,87.1,0.47
