#timPSTamp,	constant_power_A,constant_power_B,constant_power_C
2017-10-18 00:00:00,842.8+427.13j,842.8+427.13j,842.8+427.13j
2017-10-18 00:10:00,831.62+425.21j,831.62+425.21j,831.62+425.21j
2017-10-18 00:20:00,820.73+423.32j,820.73+423.32j,820.73+423.32j
2017-10-18 00:30:00,809.83+421.4j,809.83+421.4j,809.83+421.4j
2017-10-18 00:40:00,798.65+419.48j,798.65+419.48j,798.65+419.48j
2017-10-18 00:50:00,787.76+417.59j,787.76+417.59j,787.76+417.59j
2017-10-18 01:00:00,776.87+415.67j,776.87+415.67j,776.87+415.67j
2017-10-18 01:10:00,769.41+418.05j,769.41+418.05j,769.41+418.05j
2017-10-18 01:20:00,762.53+420.45j,762.53+420.45j,762.53+420.45j
2017-10-18 01:30:00,755.37+422.83j,755.37+422.83j,755.37+422.83j
2017-10-18 01:40:00,747.91+425.21j,747.91+425.21j,747.91+425.21j
2017-10-18 01:50:00,741.03+427.62j,741.03+427.62j,741.03+427.62j
2017-10-18 02:00:00,733.87+430j,733.87+430j,733.87+430j
2017-10-18 02:10:00,727.56+430j,727.56+430j,727.56+430j
2017-10-18 02:20:00,721.25+430j,721.25+430j,721.25+430j
2017-10-18 02:30:00,715.23+430j,715.23+430j,715.23+430j
2017-10-18 02:40:00,708.93+430j,708.93+430j,708.93+430j
2017-10-18 02:50:00,702.62+430j,702.62+430j,702.62+430j
2017-10-18 03:00:00,696.6+430j,696.6+430j,696.6+430j
2017-10-18 03:10:00,696.89+429.51j,696.89+429.51j,696.89+429.51j
2017-10-18 03:20:00,697.46+429.05j,697.46+429.05j,697.46+429.05j
2017-10-18 03:30:00,698.03+428.57j,698.03+428.57j,698.03+428.57j
2017-10-18 03:40:00,698.32+428.08j,698.32+428.08j,698.32+428.08j
2017-10-18 03:50:00,698.89+427.62j,698.89+427.62j,698.89+427.62j
2017-10-18 04:00:00,699.47+427.13j,699.47+427.13j,699.47+427.13j
2017-10-18 04:10:00,699.47+427.62j,699.47+427.62j,699.47+427.62j
2017-10-18 04:20:00,699.18+428.08j,699.18+428.08j,699.18+428.08j
2017-10-18 04:30:00,699.47+428.57j,699.47+428.57j,699.47+428.57j
2017-10-18 04:40:00,699.47+429.05j,699.47+429.05j,699.47+429.05j
2017-10-18 04:50:00,699.18+429.51j,699.18+429.51j,699.18+429.51j
2017-10-18 05:00:00,699.47+430j,699.47+430j,699.47+430j
2017-10-18 05:10:00,703.19+429.51j,703.19+429.51j,703.19+429.51j
2017-10-18 05:20:00,706.92+429.05j,706.92+429.05j,706.92+429.05j
2017-10-18 05:30:00,710.93+428.57j,710.93+428.57j,710.93+428.57j
2017-10-18 05:40:00,714.66+428.08j,714.66+428.08j,714.66+428.08j
2017-10-18 05:50:00,718.39+427.62j,718.39+427.62j,718.39+427.62j
2017-10-18 06:00:00,722.4+427.13j,722.4+427.13j,722.4+427.13j
2017-10-18 06:10:00,729.57+419.96j,729.57+419.96j,729.57+419.96j
2017-10-18 06:20:00,736.45+412.81j,736.45+412.81j,736.45+412.81j
2017-10-18 06:30:00,743.9+405.63j,743.9+405.63j,743.9+405.63j
2017-10-18 06:40:00,751.07+398.46j,751.07+398.46j,751.07+398.46j
2017-10-18 06:50:00,757.95+391.31j,757.95+391.31j,757.95+391.31j
2017-10-18 07:00:00,765.4+384.13j,765.4+384.13j,765.4+384.13j
2017-10-18 07:10:00,728.42+376.97j,728.42+376.97j,728.42+376.97j
2017-10-18 07:20:00,691.73+369.8j,691.73+369.8j,691.73+369.8j
2017-10-18 07:30:00,655.03+362.63j,655.03+362.63j,655.03+362.63j
2017-10-18 07:40:00,618.05+355.47j,618.05+355.47j,618.05+355.47j
2017-10-18 07:50:00,581.36+348.3j,581.36+348.3j,581.36+348.3j
