#timPSTamp,	constant_power_A,constant_power_C
2017-10-18 00:00:00,294+149j,294+149j
2017-10-18 00:10:00,290.1+148.33j,290.1+148.33j
2017-10-18 00:20:00,286.3+147.67j,286.3+147.67j
2017-10-18 00:30:00,282.5+147j,282.5+147j
2017-10-18 00:40:00,278.6+146.33j,278.6+146.33j
2017-10-18 00:50:00,274.8+145.67j,274.8+145.67j
2017-10-18 01:00:00,271+145j,271+145j
2017-10-18 01:10:00,268.4+145.83j,268.4+145.83j
2017-10-18 01:20:00,266+146.67j,266+146.67j
2017-10-18 01:30:00,263.5+147.5j,263.5+147.5j
2017-10-18 01:40:00,260.9+148.33j,260.9+148.33j
2017-10-18 01:50:00,258.5+149.17j,258.5+149.17j
2017-10-18 02:00:00,256+150j,256+150j
2017-10-18 02:10:00,253.8+150j,253.8+150j
2017-10-18 02:20:00,251.6+150j,251.6+150j
2017-10-18 02:30:00,249.5+150j,249.5+150j
2017-10-18 02:40:00,247.3+150j,247.3+150j
2017-10-18 02:50:00,245.1+150j,245.1+150j
2017-10-18 03:00:00,243+150j,243+150j
2017-10-18 03:10:00,243.1+149.83j,243.1+149.83j
2017-10-18 03:20:00,243.3+149.67j,243.3+149.67j
2017-10-18 03:30:00,243.5+149.5j,243.5+149.5j
2017-10-18 03:40:00,243.6+149.33j,243.6+149.33j
2017-10-18 03:50:00,243.8+149.17j,243.8+149.17j
2017-10-18 04:00:00,244+149j,244+149j
2017-10-18 04:10:00,244+149.17j,244+149.17j
2017-10-18 04:20:00,243.9+149.33j,243.9+149.33j
2017-10-18 04:30:00,244+149.5j,244+149.5j
2017-10-18 04:40:00,244+149.67j,244+149.67j
2017-10-18 04:50:00,243.9+149.83j,243.9+149.83j
2017-10-18 05:00:00,244+150j,244+150j
2017-10-18 05:10:00,245.3+149.83j,245.3+149.83j
2017-10-18 05:20:00,246.6+149.67j,246.6+149.67j
2017-10-18 05:30:00,248+149.5j,248+149.5j
2017-10-18 05:40:00,249.3+149.33j,249.3+149.33j
2017-10-18 05:50:00,250.6+149.17j,250.6+149.17j
2017-10-18 06:00:00,252+149j,252+149j
2017-10-18 06:10:00,254.5+146.5j,254.5+146.5j
2017-10-18 06:20:00,256.9+144j,256.9+144j
2017-10-18 06:30:00,259.5+141.5j,259.5+141.5j
2017-10-18 06:40:00,262+139j,262+139j
2017-10-18 06:50:00,264.4+136.5j,264.4+136.5j
2017-10-18 07:00:00,267+134j,267+134j
2017-10-18 07:10:00,254.1+131.5j,254.1+131.5j
2017-10-18 07:20:00,241.3+129j,241.3+129j
2017-10-18 07:30:00,228.5+126.5j,228.5+126.5j
2017-10-18 07:40:00,215.6+124j,215.6+124j
2017-10-18 07:50:00,202.8+121.5j,202.8+121.5j
2017-10-18 08:00:00,190+119j,190+119j
2017-10-18 08:10:00,193.6+117.67j,193.6+117.67j
2017-10-18 08:20:00,197.3+116.33j,197.3+116.33j
2017-10-18 08:30:00,201+115j,201+115j
2017-10-18 08:40:00,204.6+113.67j,204.6+113.67j
2017-10-18 08:50:00,208.3+112.33j,208.3+112.33j
2017-10-18 09:00:00,212+111j,212+111j
2017-10-18 09:10:00,209.6+114.17j,209.6+114.17j
2017-10-18 09:20:00,207.3+117.33j,207.3+117.33j
2017-10-18 09:30:00,205+120.5j,205+120.5j
2017-10-18 09:40:00,202.6+123.67j,202.6+123.67j
2017-10-18 09:50:00,200.3+126.83j,200.3+126.83j
2017-10-18 10:00:00,198+130j,198+130j
2017-10-18 10:10:00,197.6+129.17j,197.6+129.17j
2017-10-18 10:20:00,197.3+128.33j,197.3+128.33j
2017-10-18 10:30:00,197+127.5j,197+127.5j
2017-10-18 10:40:00,196.6+126.67j,196.6+126.67j
2017-10-18 10:50:00,196.3+125.83j,196.3+125.83j
2017-10-18 11:00:00,196+125j,196+125j
2017-10-18 11:10:00,198.6+126.33j,198.6+126.33j
2017-10-18 11:20:00,201.3+127.67j,201.3+127.67j
2017-10-18 11:30:00,204+129j,204+129j
2017-10-18 11:40:00,206.6+130.34j,206.6+130.34j
2017-10-18 11:50:00,209.3+131.66j,209.3+131.66j
2017-10-18 12:00:00,212+133j,212+133j
2017-10-18 12:10:00,213.3+142.5j,213.3+142.5j
2017-10-18 12:20:00,214.6+152j,214.6+152j
2017-10-18 12:30:00,216+161.5j,216+161.5j
2017-10-18 12:40:00,217.3+171j,217.3+171j
2017-10-18 12:50:00,218.6+180.5j,218.6+180.5j
2017-10-18 13:00:00,220+190j,220+190j
2017-10-18 13:10:00,219.1+184.84j,219.1+184.84j
2017-10-18 13:20:00,218.3+179.66j,218.3+179.66j
2017-10-18 13:30:00,217.5+174.5j,217.5+174.5j
2017-10-18 13:40:00,216.6+169.34j,216.6+169.34j
2017-10-18 13:50:00,215.8+164.16j,215.8+164.16j
2017-10-18 14:00:00,215+159j,215+159j
2017-10-18 14:10:00,214.3+164j,214.3+164j
2017-10-18 14:20:00,213.6+169j,213.6+169j
2017-10-18 14:30:00,213+174j,213+174j
2017-10-18 14:40:00,212.3+179j,212.3+179j
2017-10-18 14:50:00,211.6+184j,211.6+184j
2017-10-18 15:00:00,211+189j,211+189j
2017-10-18 15:10:00,214.8+187.67j,214.8+187.67j
2017-10-18 15:20:00,218.6+186.33j,218.6+186.33j
2017-10-18 15:30:00,222.5+185j,222.5+185j
2017-10-18 15:40:00,226.3+183.67j,226.3+183.67j
2017-10-18 15:50:00,230.1+182.33j,230.1+182.33j
2017-10-18 16:00:00,234+181j,234+181j
2017-10-18 16:10:00,237.1+181.5j,237.1+181.5j
2017-10-18 16:20:00,240.3+182j,240.3+182j
2017-10-18 16:30:00,243.5+182.5j,243.5+182.5j
2017-10-18 16:40:00,246.6+183j,246.6+183j
2017-10-18 16:50:00,249.8+183.5j,249.8+183.5j
