# file...... Medidor_linha.csv
# date...... Fri Jun 03 15:40:09 2022
# user...... leona
# host...... (null)
# target.... meter 6
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power, measured_reactive_power
2017-10-18 00:00:00 PDT,+276528,-52207.5
2017-10-18 00:10:00 PDT,+278228,-52166.1
2017-10-18 00:20:00 PDT,+278146,-52196.1
2017-10-18 00:30:00 PDT,+277698,-52241
2017-10-18 00:40:00 PDT,+276981,-52297.1
2017-10-18 00:50:00 PDT,+275993,-52362.8
2017-10-18 01:00:00 PDT,+272153,-52543.1
2017-10-18 01:10:00 PDT,+269529,-52664.2
2017-10-18 01:20:00 PDT,+267108,-52774.6
2017-10-18 01:30:00 PDT,+264586,-52889
2017-10-18 01:40:00 PDT,+261963,-53006.7
2017-10-18 01:50:00 PDT,+259542,-53113.8
2017-10-18 02:00:00 PDT,+257021,-53224.8
2017-10-18 02:10:00 PDT,+254801,-53321.9
2017-10-18 02:20:00 PDT,+252581,-53418.1
2017-10-18 02:30:00 PDT,+250462,-53509.2
2017-10-18 02:40:00 PDT,+248243,-53603.8
2017-10-18 02:50:00 PDT,+246023,-53697.5
2017-10-18 03:00:00 PDT,+243905,-53786.1
2017-10-18 03:10:00 PDT,+245329,-53734.5
2017-10-18 03:20:00 PDT,+246814,-53679.4
2017-10-18 03:30:00 PDT,+248181,-53628.7
2017-10-18 03:40:00 PDT,+248828,-53604.7
2017-10-18 03:50:00 PDT,+249779,-53568.5
2017-10-18 04:00:00 PDT,+250345,-53546.8
2017-10-18 04:10:00 PDT,+249979,-53560
2017-10-18 04:20:00 PDT,+249321,-53584.9
2017-10-18 04:30:00 PDT,+248826,-53602.2
2017-10-18 04:40:00 PDT,+247757,-53641
2017-10-18 04:50:00 PDT,+246321,-53693.9
2017-10-18 05:00:00 PDT,+244833,-53746.9
2017-10-18 05:10:00 PDT,+244356,-53756.6
2017-10-18 05:20:00 PDT,+243721,-53771.5
2017-10-18 05:30:00 PDT,+243426,-53774
2017-10-18 05:40:00 PDT,+243030,-53780.6
2017-10-18 05:50:00 PDT,+242938,-53775.9
2017-10-18 06:00:00 PDT,+242964,-53766.7
2017-10-18 06:10:00 PDT,+245248,-53670.6
2017-10-18 06:20:00 PDT,+250299,-53473.1
2017-10-18 06:30:00 PDT,+256540,-53225.2
2017-10-18 06:40:00 PDT,+263050,-52961.5
