# file...... Medidor_potencia_inverosr_bateria.txt
# date...... Fri Jun 03 15:40:09 2022
# user...... leona
# host...... (null)
# target.... meter 21
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power, measured_reactive_power
2017-10-18 00:00:00 PDT,-18711.5,-207927
2017-10-18 00:10:00 PDT,-13116.8,-207257
2017-10-18 00:20:00 PDT,-9389.18,-206597
2017-10-18 00:30:00 PDT,-6025.88,-205927
2017-10-18 00:40:00 PDT,-2827.61,-205257
2017-10-18 00:50:00 PDT,+7.50333e-12,-204597
2017-10-18 01:00:00 PDT,+7.27596e-12,-203927
2017-10-18 01:10:00 PDT,-2.27374e-13,-204757
2017-10-18 01:20:00 PDT,+3.63798e-12,-205597
2017-10-18 01:30:00 PDT,+3.86535e-12,-206427
2017-10-18 01:40:00 PDT,+0,-207257
2017-10-18 01:50:00 PDT,-3.63798e-12,-208097
2017-10-18 02:00:00 PDT,-3.63798e-12,-208927
2017-10-18 02:10:00 PDT,-7.50333e-12,-208927
2017-10-18 02:20:00 PDT,+7.27596e-12,-208927
2017-10-18 02:30:00 PDT,+3.86535e-12,-208927
2017-10-18 02:40:00 PDT,-7.27596e-12,-208927
2017-10-18 02:50:00 PDT,+7.27596e-12,-208927
2017-10-18 03:00:00 PDT,+3.86535e-12,-208927
2017-10-18 03:10:00 PDT,+1313.78,-208757
2017-10-18 03:20:00 PDT,+2587.12,-208597
2017-10-18 03:30:00 PDT,+3744.5,-208427
2017-10-18 03:40:00 PDT,+4286.92,-208257
2017-10-18 03:50:00 PDT,+5030.9,-208097
2017-10-18 04:00:00 PDT,+5392.1,-207927
2017-10-18 04:10:00 PDT,+5029.02,-208097
2017-10-18 04:20:00 PDT,+4475.1,-208257
2017-10-18 04:30:00 PDT,+3883.48,-208427
2017-10-18 04:40:00 PDT,+2822.84,-208597
2017-10-18 04:50:00 PDT,+1497.4,-208757
2017-10-18 05:00:00 PDT,-80.2971,-208927
2017-10-18 05:10:00 PDT,-1854.43,-208757
2017-10-18 05:20:00 PDT,-3785.62,-208597
2017-10-18 05:30:00 PDT,-5480.07,-208427
2017-10-18 05:40:00 PDT,-7173.95,-208257
2017-10-18 05:50:00 PDT,-8565.98,-208097
2017-10-18 06:00:00 PDT,-9941.32,-207927
2017-10-18 06:10:00 PDT,-10171.5,-205424
2017-10-18 06:20:00 PDT,-7556.09,-202930
2017-10-18 06:30:00 PDT,-3960.82,-200427
2017-10-18 06:40:00 PDT,+3.63798e-12,-197924
2017-10-18 06:50:00 PDT,+7.27596e-12,-195430
2017-10-18 07:00:00 PDT,+0,-192927
2017-10-18 07:10:00 PDT,+3.86535e-12,-190427
2017-10-18 07:20:00 PDT,-3.41061e-12,-187927
2017-10-18 07:30:00 PDT,+2.27374e-13,-185427
2017-10-18 07:40:00 PDT,-3.52429e-12,-182927
2017-10-18 07:50:00 PDT,-3.52429e-12,-180427
2017-10-18 08:00:00 PDT,+1.13687e-13,-177927
2017-10-18 08:10:00 PDT,+1.13687e-13,-176594
2017-10-18 08:20:00 PDT,-3.52429e-12,-175260
