# file...... tensao_PCC.csv
# date...... Fri Jun 03 15:40:09 2022
# user...... leona
# host...... (null)
# target.... node 15
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,voltage_A.real, voltage_A.imag, voltage_B.real, voltage_B.imag, voltage_C.real, voltage_C.imag
2017-10-18 00:00:00 PDT,+7958.22,-168.983,-4126.72,-6818.34,-3831.19,+6986.04
2017-10-18 00:10:00 PDT,+7958.06,-169.967,-4127.52,-6817.58,-3830.24,+6986.27
2017-10-18 00:20:00 PDT,+7958.15,-169.909,-4127.54,-6817.56,-3830.32,+6986.21
2017-10-18 00:30:00 PDT,+7958.3,-169.637,-4127.4,-6817.7,-3830.62,+6986.09
2017-10-18 00:40:00 PDT,+7958.49,-169.209,-4127.15,-6817.95,-3831.07,+6985.93
2017-10-18 00:50:00 PDT,+7958.72,-168.621,-4126.77,-6818.32,-3831.68,+6985.72
2017-10-18 01:00:00 PDT,+7959.37,-166.366,-4125.16,-6819.88,-3833.95,+6985.04
2017-10-18 01:10:00 PDT,+7959.8,-164.804,-4124.08,-6820.97,-3835.47,+6984.57
2017-10-18 01:20:00 PDT,+7960.2,-163.361,-4123.08,-6821.97,-3836.88,+6984.14
2017-10-18 01:30:00 PDT,+7960.62,-161.859,-4122.04,-6823.01,-3838.34,+6983.68
2017-10-18 01:40:00 PDT,+7961.05,-160.297,-4120.96,-6824.09,-3839.87,+6983.21
2017-10-18 01:50:00 PDT,+7961.45,-158.854,-4119.96,-6825.09,-3841.27,+6982.77
2017-10-18 02:00:00 PDT,+7961.86,-157.352,-4118.91,-6826.14,-3842.74,+6982.32
2017-10-18 02:10:00 PDT,+7962.23,-156.041,-4117.99,-6827.04,-3844.04,+6981.92
2017-10-18 02:20:00 PDT,+7962.59,-154.73,-4117.06,-6827.95,-3845.34,+6981.52
2017-10-18 02:30:00 PDT,+7962.95,-153.479,-4116.17,-6828.81,-3846.58,+6981.14
2017-10-18 02:40:00 PDT,+7963.31,-152.168,-4115.24,-6829.71,-3847.88,+6980.74
2017-10-18 02:50:00 PDT,+7963.68,-150.857,-4114.31,-6830.62,-3849.18,+6980.34
2017-10-18 03:00:00 PDT,+7964.03,-149.606,-4113.43,-6831.48,-3850.42,+6979.96
2017-10-18 03:10:00 PDT,+7963.82,-150.443,-4114.04,-6830.88,-3849.6,+6980.2
2017-10-18 03:20:00 PDT,+7963.6,-151.315,-4114.68,-6830.26,-3848.74,+6980.45
2017-10-18 03:30:00 PDT,+7963.4,-152.119,-4115.27,-6829.69,-3847.95,+6980.68
