#timPSTamp,	constant_power_A,constant_power_C
2017-11-03 00:00:00,217.44+92j,217.44+92j
2017-11-03 00:10:00,212.64+90.93j,212.64+90.93j
2017-11-03 00:20:00,207.84+89.87j,207.84+89.87j
2017-11-03 00:30:00,203.12+88.8j,203.12+88.8j
2017-11-03 00:40:00,198.32+87.73j,198.32+87.73j
2017-11-03 00:50:00,193.52+86.67j,193.52+86.67j
2017-11-03 01:00:00,188.8+85.6j,188.8+85.6j
2017-11-03 01:10:00,186.24+85.47j,186.24+85.47j
2017-11-03 01:20:00,183.68+85.33j,183.68+85.33j
2017-11-03 01:30:00,181.2+85.2j,181.2+85.2j
2017-11-03 01:40:00,178.64+85.07j,178.64+85.07j
2017-11-03 01:50:00,176.08+84.93j,176.08+84.93j
2017-11-03 02:00:00,173.6+84.8j,173.6+84.8j
2017-11-03 02:10:00,172.64+85.2j,172.64+85.2j
2017-11-03 02:20:00,171.68+85.6j,171.68+85.6j
2017-11-03 02:30:00,170.8+86j,170.8+86j
2017-11-03 02:40:00,169.84+86.4j,169.84+86.4j
2017-11-03 02:50:00,168.88+86.8j,168.88+86.8j
2017-11-03 03:00:00,168+87.2j,168+87.2j
2017-11-03 03:10:00,168.72+87.47j,168.72+87.47j
2017-11-03 03:20:00,169.6+87.73j,169.6+87.73j
2017-11-03 03:30:00,170.4+88j,170.4+88j
2017-11-03 03:40:00,171.12+88.27j,171.12+88.27j
2017-11-03 03:50:00,172+88.53j,172+88.53j
2017-11-03 04:00:00,172.8+88.8j,172.8+88.8j
2017-11-03 04:10:00,172.48+88.53j,172.48+88.53j
2017-11-03 04:20:00,172.24+88.27j,172.24+88.27j
2017-11-03 04:30:00,172+88j,172+88j
2017-11-03 04:40:00,171.68+87.73j,171.68+87.73j
2017-11-03 04:50:00,171.44+87.47j,171.44+87.47j
2017-11-03 05:00:00,171.2+87.2j,171.2+87.2j
2017-11-03 05:10:00,172.8+86.67j,172.8+86.67j
2017-11-03 05:20:00,174.4+86.13j,174.4+86.13j
2017-11-03 05:30:00,176+85.6j,176+85.6j
2017-11-03 05:40:00,177.6+85.07j,177.6+85.07j
2017-11-03 05:50:00,179.2+84.53j,179.2+84.53j
2017-11-03 06:00:00,180.8+84j,180.8+84j
2017-11-03 06:10:00,180.24+83.6j,180.24+83.6j
2017-11-03 06:20:00,179.68+83.2j,179.68+83.2j
2017-11-03 06:30:00,179.2+82.8j,179.2+82.8j
2017-11-03 06:40:00,178.64+82.4j,178.64+82.4j
2017-11-03 06:50:00,178.08+82j,178.08+82j
2017-11-03 07:00:00,177.6+81.6j,177.6+81.6j
2017-11-03 07:10:00,171.44+81.6j,171.44+81.6j
2017-11-03 07:20:00,165.28+81.6j,165.28+81.6j
2017-11-03 07:30:00,159.2+81.6j,159.2+81.6j
2017-11-03 07:40:00,153.04+81.6j,153.04+81.6j
2017-11-03 07:50:00,146.88+81.6j,146.88+81.6j
2017-11-03 08:00:00,140.8+81.6j,140.8+81.6j
2017-11-03 08:10:00,144.48+80j,144.48+80j
2017-11-03 08:20:00,148.24+78.4j,148.24+78.4j
2017-11-03 08:30:00,152+76.8j,152+76.8j
2017-11-03 08:40:00,155.68+75.2j,155.68+75.2j
2017-11-03 08:50:00,159.44+73.6j,159.44+73.6j
2017-11-03 09:00:00,163.2+72j,163.2+72j
2017-11-03 09:10:00,159.28+70.27j,159.28+70.27j
2017-11-03 09:20:00,155.44+68.53j,155.44+68.53j
2017-11-03 09:30:00,151.6+66.8j,151.6+66.8j
2017-11-03 09:40:00,147.68+65.07j,147.68+65.07j
2017-11-03 09:50:00,143.84+63.33j,143.84+63.33j
2017-11-03 10:00:00,140+61.6j,140+61.6j
2017-11-03 10:10:00,141.2+61.2j,141.2+61.2j
2017-11-03 10:20:00,142.4+60.8j,142.4+60.8j
2017-11-03 10:30:00,143.6+60.4j,143.6+60.4j
2017-11-03 10:40:00,144.8+60j,144.8+60j
2017-11-03 10:50:00,146+59.6j,146+59.6j
2017-11-03 11:00:00,147.2+59.2j,147.2+59.2j
2017-11-03 11:10:00,146.48+59.87j,146.48+59.87j
2017-11-03 11:20:00,145.84+60.53j,145.84+60.53j
2017-11-03 11:30:00,145.2+61.2j,145.2+61.2j
2017-11-03 11:40:00,144.48+61.87j,144.48+61.87j
2017-11-03 11:50:00,143.84+62.53j,143.84+62.53j
2017-11-03 12:00:00,143.2+63.2j,143.2+63.2j
2017-11-03 12:10:00,144+62.93j,144+62.93j
2017-11-03 12:20:00,144.8+62.67j,144.8+62.67j
2017-11-03 12:30:00,145.6+62.4j,145.6+62.4j
2017-11-03 12:40:00,146.4+62.13j,146.4+62.13j
2017-11-03 12:50:00,147.2+61.87j,147.2+61.87j
2017-11-03 13:00:00,148+61.6j,148+61.6j
2017-11-03 13:10:00,151.44+62j,151.44+62j
2017-11-03 13:20:00,154.88+62.4j,154.88+62.4j
2017-11-03 13:30:00,158.4+62.8j,158.4+62.8j
2017-11-03 13:40:00,161.84+63.2j,161.84+63.2j
2017-11-03 13:50:00,165.28+63.6j,165.28+63.6j
2017-11-03 14:00:00,168.8+64j,168.8+64j
2017-11-03 14:10:00,168.64+63.47j,168.64+63.47j
2017-11-03 14:20:00,168.48+62.93j,168.48+62.93j
2017-11-03 14:30:00,168.4+62.4j,168.4+62.4j
2017-11-03 14:40:00,168.24+61.87j,168.24+61.87j
2017-11-03 14:50:00,168.08+61.33j,168.08+61.33j
2017-11-03 15:00:00,168+60.8j,168+60.8j
2017-11-03 15:10:00,168.24+61.73j,168.24+61.73j
2017-11-03 15:20:00,168.48+62.67j,168.48+62.67j
2017-11-03 15:30:00,168.8+63.6j,168.8+63.6j
2017-11-03 15:40:00,169.04+64.53j,169.04+64.53j
2017-11-03 15:50:00,169.28+65.47j,169.28+65.47j
2017-11-03 16:00:00,169.6+66.4j,169.6+66.4j
2017-11-03 16:10:00,172.08+66.4j,172.08+66.4j
2017-11-03 16:20:00,174.64+66.4j,174.64+66.4j
2017-11-03 16:30:00,177.2+66.4j,177.2+66.4j
2017-11-03 16:40:00,179.68+66.4j,179.68+66.4j
2017-11-03 16:50:00,182.24+66.4j,182.24+66.4j
2017-11-03 17:00:00,184.8+66.4j,184.8+66.4j
2017-11-03 17:10:00,182.4+66.13j,182.4+66.13j
2017-11-03 17:20:00,180+65.87j,180+65.87j
2017-11-03 17:30:00,177.6+65.6j,177.6+65.6j
2017-11-03 17:40:00,175.2+65.33j,175.2+65.33j
2017-11-03 17:50:00,172.8+65.07j,172.8+65.07j
2017-11-03 18:00:00,170.4+64.8j,170.4+64.8j
2017-11-03 18:10:00,170.64+64j,170.64+64j
2017-11-03 18:20:00,170.88+63.2j,170.88+63.2j
2017-11-03 18:30:00,171.2+62.4j,171.2+62.4j
2017-11-03 18:40:00,171.44+61.6j,171.44+61.6j
2017-11-03 18:50:00,171.68+60.8j,171.68+60.8j
2017-11-03 19:00:00,172+60j,172+60j
2017-11-03 19:10:00,174.64+61.47j,174.64+61.47j
2017-11-03 19:20:00,177.28+62.93j,177.28+62.93j
2017-11-03 19:30:00,180+64.4j,180+64.4j
2017-11-03 19:40:00,182.64+65.87j,182.64+65.87j
2017-11-03 19:50:00,185.28+67.33j,185.28+67.33j
2017-11-03 20:00:00,188+68.8j,188+68.8j
2017-11-03 20:10:00,200+71.2j,200+71.2j
2017-11-03 20:20:00,211.92+73.6j,211.92+73.6j
2017-11-03 20:30:00,224+76j,224+76j
2017-11-03 20:40:00,236+78.4j,236+78.4j
2017-11-03 20:50:00,247.92+80.8j,247.92+80.8j
2017-11-03 21:00:00,260+83.2j,260+83.2j
2017-11-03 21:10:00,252.24+81.73j,252.24+81.73j
2017-11-03 21:20:00,244.48+80.27j,244.48+80.27j
2017-11-03 21:30:00,236.8+78.8j,236.8+78.8j
2017-11-03 21:40:00,229.04+77.33j,229.04+77.33j
2017-11-03 21:50:00,221.28+75.87j,221.28+75.87j
2017-11-03 22:00:00,213.6+74.4j,213.6+74.4j
2017-11-03 22:10:00,213.28+76.13j,213.28+76.13j
2017-11-03 22:20:00,213.04+77.87j,213.04+77.87j
2017-11-03 22:30:00,212.8+79.6j,212.8+79.6j
2017-11-03 22:40:00,212.48+81.33j,212.48+81.33j
2017-11-03 22:50:00,212.24+83.07j,212.24+83.07j
2017-11-03 23:00:00,212+84.8j,212+84.8j
2017-11-03 23:10:00,212.88+86.53j,212.88+86.53j
2017-11-03 23:20:00,213.84+88.27j,213.84+88.27j
2017-11-03 23:30:00,214.8+90j,214.8+90j
2017-11-03 23:40:00,215.68+91.73j,215.68+91.73j
2017-11-03 23:50:00,216.64+93.47j,216.64+93.47j
2017-11-04 00:00:00,217.6+95.2j,217.6+95.2j
2017-11-04 00:10:00,213.44+93.87j,213.44+93.87j
2017-11-04 00:20:00,209.28+92.53j,209.28+92.53j
2017-11-04 00:30:00,205.2+91.2j,205.2+91.2j
2017-11-04 00:40:00,201.04+89.87j,201.04+89.87j
2017-11-04 00:50:00,196.88+88.53j,196.88+88.53j
2017-11-04 01:00:00,192.8+87.2j,192.8+87.2j
2017-11-04 01:10:00,191.44+87.33j,191.44+87.33j
2017-11-04 01:20:00,190.08+87.47j,190.08+87.47j
2017-11-04 01:30:00,188.8+87.6j,188.8+87.6j
2017-11-04 01:40:00,187.44+87.73j,187.44+87.73j
2017-11-04 01:50:00,186.08+87.87j,186.08+87.87j
2017-11-04 02:00:00,184.8+88j,184.8+88j
2017-11-04 02:10:00,184.24+88j,184.24+88j
2017-11-04 02:20:00,183.68+88j,183.68+88j
2017-11-04 02:30:00,183.2+88j,183.2+88j
2017-11-04 02:40:00,182.64+88j,182.64+88j
2017-11-04 02:50:00,182.08+88j,182.08+88j
2017-11-04 03:00:00,181.6+88j,181.6+88j
2017-11-04 03:10:00,180.72+88.27j,180.72+88.27j
2017-11-04 03:20:00,180+88.53j,180+88.53j
2017-11-04 03:30:00,179.2+88.8j,179.2+88.8j
2017-11-04 03:40:00,178.32+89.07j,178.32+89.07j
2017-11-04 03:50:00,177.6+89.33j,177.6+89.33j
2017-11-04 04:00:00,176.8+89.6j,176.8+89.6j
2017-11-04 04:10:00,176.88+89.2j,176.88+89.2j
2017-11-04 04:20:00,177.04+88.8j,177.04+88.8j
2017-11-04 04:30:00,177.2+88.4j,177.2+88.4j
2017-11-04 04:40:00,177.28+88j,177.28+88j
2017-11-04 04:50:00,177.44+87.6j,177.44+87.6j
2017-11-04 05:00:00,177.6+87.2j,177.6+87.2j
2017-11-04 05:10:00,177.28+87.2j,177.28+87.2j
2017-11-04 05:20:00,177.04+87.2j,177.04+87.2j
2017-11-04 05:30:00,176.8+87.2j,176.8+87.2j
2017-11-04 05:40:00,176.48+87.2j,176.48+87.2j
2017-11-04 05:50:00,176.24+87.2j,176.24+87.2j
2017-11-04 06:00:00,176+87.2j,176+87.2j
2017-11-04 06:10:00,172.88+86.13j,172.88+86.13j
2017-11-04 06:20:00,169.84+85.07j,169.84+85.07j
2017-11-04 06:30:00,166.8+84j,166.8+84j
2017-11-04 06:40:00,163.68+82.93j,163.68+82.93j
2017-11-04 06:50:00,160.64+81.87j,160.64+81.87j
2017-11-04 07:00:00,157.6+80.8j,157.6+80.8j
2017-11-04 07:10:00,153.92+78.4j,153.92+78.4j
2017-11-04 07:20:00,150.4+76j,150.4+76j
2017-11-04 07:30:00,146.8+73.6j,146.8+73.6j
2017-11-04 07:40:00,143.12+71.2j,143.12+71.2j
2017-11-04 07:50:00,139.6+68.8j,139.6+68.8j
2017-11-04 08:00:00,136+66.4j,136+66.4j
2017-11-04 08:10:00,137.04+68.13j,137.04+68.13j
2017-11-04 08:20:00,138.08+69.87j,138.08+69.87j
