#time,P_Out
2017-11-03 00:00:00,-28190
2017-11-03 00:10:00,-34190
2017-11-03 00:20:00,-40190
2017-11-03 00:30:00,-46090
2017-11-03 00:40:00,-52090
2017-11-03 00:50:00,-58090
2017-11-03 01:00:00,-63990
2017-11-03 01:10:00,-67190
2017-11-03 01:20:00,-70390
2017-11-03 01:30:00,-73490
2017-11-03 01:40:00,-76690
2017-11-03 01:50:00,-79890
2017-11-03 02:00:00,-82990
2017-11-03 02:10:00,-84190
2017-11-03 02:20:00,-85390
2017-11-03 02:30:00,-83295.266
2017-11-03 02:40:00,-81.290237
2017-11-03 02:50:00,-29.380228
2017-11-03 03:00:00,-78.555691
2017-11-03 03:10:00,-217.39138
2017-11-03 03:20:00,0
2017-11-03 03:30:00,0
2017-11-03 03:40:00,0
2017-11-03 03:50:00,0
2017-11-03 04:00:00,0
2017-11-03 04:10:00,0
2017-11-03 04:20:00,0
2017-11-03 04:30:00,0
2017-11-03 04:40:00,0
2017-11-03 04:50:00,0
2017-11-03 05:00:00,0
2017-11-03 05:10:00,0
2017-11-03 05:20:00,0
2017-11-03 05:30:00,0
2017-11-03 05:40:00,0
2017-11-03 05:50:00,0
2017-11-03 06:00:00,908.70512
2017-11-03 06:10:00,13.418525
2017-11-03 06:20:00,208.03859
2017-11-03 06:30:00,537.91074
2017-11-03 06:40:00,924.38718
2017-11-03 06:50:00,1330.8236
2017-11-03 07:00:00,1769.5563
2017-11-03 07:10:00,2164.0936
2017-11-03 07:20:00,2581.0445
2017-11-03 07:30:00,764.99003
2017-11-03 07:40:00,-1338.6039
2017-11-03 07:50:00,-2393.3263
2017-11-03 08:00:00,-1826.9226
2017-11-03 08:10:00,447.61543
2017-11-03 08:20:00,3403.7606
2017-11-03 08:30:00,77.99057
2017-11-03 08:40:00,-254.98138
2017-11-03 08:50:00,-1176.4059
2017-11-03 09:00:00,4061.5551
2017-11-03 09:10:00,472.28302
2017-11-03 09:20:00,-6786.6825
2017-11-03 09:30:00,5025.4136
2017-11-03 09:40:00,5970.1518
2017-11-03 09:50:00,7721.423
2017-11-03 10:00:00,-17126.71
2017-11-03 10:10:00,18505.03
2017-11-03 10:20:00,-861.48026
2017-11-03 10:30:00,25642.325
2017-11-03 10:40:00,-18895.238
2017-11-03 10:50:00,-26411.522
2017-11-03 11:00:00,-14216.586
2017-11-03 11:10:00,0
2017-11-03 11:20:00,0
2017-11-03 11:30:00,0
