#time,Q_Out
2017-11-03 00:00:00,173927.275
2017-11-03 00:10:00,172594.275
2017-11-03 00:20:00,171260.275
2017-11-03 00:30:00,169927.275
2017-11-03 00:40:00,168594.275
2017-11-03 00:50:00,167260.275
2017-11-03 01:00:00,165927.275
2017-11-03 01:10:00,165760.275
2017-11-03 01:20:00,165594.275
2017-11-03 01:30:00,165427.275
2017-11-03 01:40:00,165260.275
2017-11-03 01:50:00,165094.275
2017-11-03 02:00:00,164927.275
2017-11-03 02:10:00,165427.275
2017-11-03 02:20:00,165927.275
2017-11-03 02:30:00,166427.275
2017-11-03 02:40:00,166927.275
2017-11-03 02:50:00,167427.275
2017-11-03 03:00:00,167927.275
2017-11-03 03:10:00,168260.275
2017-11-03 03:20:00,168594.275
2017-11-03 03:30:00,168927.275
2017-11-03 03:40:00,169260.275
2017-11-03 03:50:00,169594.275
2017-11-03 04:00:00,169927.275
2017-11-03 04:10:00,169594.275
2017-11-03 04:20:00,169260.275
2017-11-03 04:30:00,168927.275
2017-11-03 04:40:00,168594.275
2017-11-03 04:50:00,168260.275
2017-11-03 05:00:00,167927.275
2017-11-03 05:10:00,167260.275
2017-11-03 05:20:00,166594.275
2017-11-03 05:30:00,165927.275
2017-11-03 05:40:00,165260.275
2017-11-03 05:50:00,164594.275
2017-11-03 06:00:00,163927.275
2017-11-03 06:10:00,163427.275
2017-11-03 06:20:00,162927.275
2017-11-03 06:30:00,162427.275
2017-11-03 06:40:00,161927.275
2017-11-03 06:50:00,161427.275
2017-11-03 07:00:00,160927.275
2017-11-03 07:10:00,160927.275
2017-11-03 07:20:00,160927.275
2017-11-03 07:30:00,160927.275
2017-11-03 07:40:00,160927.275
2017-11-03 07:50:00,160927.275
2017-11-03 08:00:00,160927.275
2017-11-03 08:10:00,158927.275
2017-11-03 08:20:00,156927.275
2017-11-03 08:30:00,154927.275
2017-11-03 08:40:00,152927.275
2017-11-03 08:50:00,150927.275
2017-11-03 09:00:00,148927.275
2017-11-03 09:10:00,146761.275
2017-11-03 09:20:00,144593.275
2017-11-03 09:30:00,142427.275
2017-11-03 09:40:00,140261.275
2017-11-03 09:50:00,138093.275
2017-11-03 10:00:00,135927.275
2017-11-03 10:10:00,135427.275
2017-11-03 10:20:00,134927.275
2017-11-03 10:30:00,134427.275
2017-11-03 10:40:00,133927.275
2017-11-03 10:50:00,133427.275
2017-11-03 11:00:00,132927.275
2017-11-03 11:10:00,133761.275
2017-11-03 11:20:00,134593.275
2017-11-03 11:30:00,135427.275
2017-11-03 11:40:00,136261.275
2017-11-03 11:50:00,137093.275
2017-11-03 12:00:00,137927.275
2017-11-03 12:10:00,137594.275
2017-11-03 12:20:00,137260.275
2017-11-03 12:30:00,136927.275
2017-11-03 12:40:00,136594.275
2017-11-03 12:50:00,136260.275
2017-11-03 13:00:00,135927.275
2017-11-03 13:10:00,136427.275
2017-11-03 13:20:00,136927.275
2017-11-03 13:30:00,137427.275
2017-11-03 13:40:00,137927.275
2017-11-03 13:50:00,138427.275
2017-11-03 14:00:00,138927.275
2017-11-03 14:10:00,138260.275
2017-11-03 14:20:00,137594.275
2017-11-03 14:30:00,136927.275
2017-11-03 14:40:00,136260.275
2017-11-03 14:50:00,135594.275
2017-11-03 15:00:00,134927.275
2017-11-03 15:10:00,136094.275
2017-11-03 15:20:00,137260.275
2017-11-03 15:30:00,138427.275
2017-11-03 15:40:00,139594.275
2017-11-03 15:50:00,140760.275
2017-11-03 16:00:00,141927.275
2017-11-03 16:10:00,141927.275
2017-11-03 16:20:00,141927.275
2017-11-03 16:30:00,141927.275
2017-11-03 16:40:00,141927.275
2017-11-03 16:50:00,141927.275
2017-11-03 17:00:00,141927.275
2017-11-03 17:10:00,141593.275
2017-11-03 17:20:00,141261.275
2017-11-03 17:30:00,140927.275
2017-11-03 17:40:00,140593.275
2017-11-03 17:50:00,140261.275
2017-11-03 18:00:00,139927.275
2017-11-03 18:10:00,138927.275
2017-11-03 18:20:00,137927.275
2017-11-03 18:30:00,136927.275
2017-11-03 18:40:00,135927.275
2017-11-03 18:50:00,134927.275
2017-11-03 19:00:00,133927.275
2017-11-03 19:10:00,135760.275
2017-11-03 19:20:00,137594.275
2017-11-03 19:30:00,139427.275
2017-11-03 19:40:00,141260.275
2017-11-03 19:50:00,143094.275
2017-11-03 20:00:00,144927.275
2017-11-03 20:10:00,147927.275
2017-11-03 20:20:00,150927.275
2017-11-03 20:30:00,153927.275
2017-11-03 20:40:00,156927.275
2017-11-03 20:50:00,159927.275
2017-11-03 21:00:00,162927.275
2017-11-03 21:10:00,161093.275
2017-11-03 21:20:00,159261.275
2017-11-03 21:30:00,157427.275
2017-11-03 21:40:00,155593.275
2017-11-03 21:50:00,153761.275
2017-11-03 22:00:00,151927.275
2017-11-03 22:10:00,154094.275
2017-11-03 22:20:00,156260.275
2017-11-03 22:30:00,158427.275
2017-11-03 22:40:00,160594.275
2017-11-03 22:50:00,162760.275
2017-11-03 23:00:00,164927.275
2017-11-03 23:10:00,167093.275
2017-11-03 23:20:00,169261.275
2017-11-03 23:30:00,171427.275
2017-11-03 23:40:00,173593.275
2017-11-03 23:50:00,175761.275
2017-11-04 00:00:00,177927.275
2017-11-04 00:10:00,176261.275
2017-11-04 00:20:00,174593.275
2017-11-04 00:30:00,172927.275
2017-11-04 00:40:00,171261.275
2017-11-04 00:50:00,169593.275
2017-11-04 01:00:00,167927.275
2017-11-04 01:10:00,168094.275
2017-11-04 01:20:00,168260.275
2017-11-04 01:30:00,168427.275
2017-11-04 01:40:00,168594.275
2017-11-04 01:50:00,168760.275
2017-11-04 02:00:00,168927.275
2017-11-04 02:10:00,168927.275
