# file...... estado_de_carga_SAE.txt
# date...... Thu Nov 11 11:34:45 2021
# user...... leona
# host...... (null)
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,bateria:state_of_charge, bateria:battery_load, bateria:Energy
2017-11-03 00:00:00 PDT,+0.20614,+27062.4,-1
2017-11-03 00:10:00 PDT,+0.214194,+27062.4,-1
2017-11-03 00:20:00 PDT,+0.223963,+32822.4,-1
2017-11-03 00:30:00 PDT,+0.235446,+38582.4,-1
2017-11-03 00:40:00 PDT,+0.248614,+44246.4,-1
2017-11-03 00:50:00 PDT,+0.263497,+50006.4,-1
2017-11-03 01:00:00 PDT,+0.280094,+55766.4,-1
2017-11-03 01:10:00 PDT,+0.298377,+61430.4,-1
2017-11-03 01:20:00 PDT,+0.317574,+64502.4,-1
2017-11-03 01:30:00 PDT,+0.337686,+67574.4,-1
2017-11-03 01:40:00 PDT,+0.358683,+70550.4,-1
2017-11-03 01:50:00 PDT,+0.380594,+73622.4,-1
2017-11-03 02:00:00 PDT,+0.40342,+76694.4,-1
2017-11-03 02:10:00 PDT,+0.427132,+79670.4,-1
2017-11-03 02:20:00 PDT,+0.451186,+80822.4,-1
2017-11-03 02:30:00 PDT,+0.475583,+81974.4,-1
2017-11-03 02:40:00 PDT,+0.499382,+79963.5,-1
2017-11-03 02:50:00 PDT,+0.499405,+78.0386,-1
2017-11-03 03:00:00 PDT,+0.499413,+28.205,-1
2017-11-03 03:10:00 PDT,+0.499436,+75.4135,-1
2017-11-03 03:20:00 PDT,+0.499498,+208.696,-1
2017-11-03 03:30:00 PDT,+0.499498,-0,-1
2017-11-03 03:40:00 PDT,+0.499498,-0,-1
2017-11-03 03:50:00 PDT,+0.499498,-0,-1
2017-11-03 04:00:00 PDT,+0.499498,-0,-1
2017-11-03 04:10:00 PDT,+0.499498,-0,-1
2017-11-03 04:20:00 PDT,+0.499498,-0,-1
2017-11-03 04:30:00 PDT,+0.499498,-0,-1
2017-11-03 04:40:00 PDT,+0.499498,-0,-1
2017-11-03 04:50:00 PDT,+0.499498,-0,-1
2017-11-03 05:00:00 PDT,+0.499498,-0,-1
2017-11-03 05:10:00 PDT,+0.499498,-0,-1
2017-11-03 05:20:00 PDT,+0.499498,-0,-1
2017-11-03 05:30:00 PDT,+0.499498,-0,-1
2017-11-03 05:40:00 PDT,+0.499498,-0,-1
2017-11-03 05:50:00 PDT,+0.499498,-0,-1
2017-11-03 06:00:00 PDT,+0.499498,-0,-1
2017-11-03 06:10:00 PDT,+0.499216,-946.568,-1
2017-11-03 06:20:00 PDT,+0.499212,-13.9776,-1
2017-11-03 06:30:00 PDT,+0.499147,-216.707,-1
2017-11-03 06:40:00 PDT,+0.498981,-560.324,-1
2017-11-03 06:50:00 PDT,+0.498694,-962.903,-1
2017-11-03 07:00:00 PDT,+0.498282,-1386.27,-1
2017-11-03 07:10:00 PDT,+0.497733,-1843.29,-1
2017-11-03 07:20:00 PDT,+0.497062,-2254.26,-1
2017-11-03 07:30:00 PDT,+0.496262,-2688.59,-1
2017-11-03 07:40:00 PDT,+0.496025,-796.865,-1
2017-11-03 07:50:00 PDT,+0.496407,+1285.06,-1
2017-11-03 08:00:00 PDT,+0.497091,+2297.59,-1
2017-11-03 08:10:00 PDT,+0.497613,+1753.85,-1
2017-11-03 08:20:00 PDT,+0.497474,-466.266,-1
2017-11-03 08:30:00 PDT,+0.496419,-3545.58,-1
2017-11-03 08:40:00 PDT,+0.496395,-81.2402,-1
2017-11-03 08:50:00 PDT,+0.496468,+244.782,-1
2017-11-03 09:00:00 PDT,+0.496804,+1129.35,-1
2017-11-03 09:10:00 PDT,+0.495545,-4230.79,-1
2017-11-03 09:20:00 PDT,+0.495398,-491.961,-1
2017-11-03 09:30:00 PDT,+0.497337,+6515.22,-1
