tempo,potencia_ativa_prevista,potencia_reativa_prevista,potencia_PV_prevista,custo_energia,PV_ref
0,322.8,193.83,0.0,0.47,0.0
1,315.20425,175.42427,0.0,0.47,0.0
2,311.5824,174.55693,0.0,0.47,0.0
3,308.32727,173.48944,0.0,0.47,0.0
4,305.26794,173.28633,0.0,0.47,0.0
5,302.57504,172.53615,0.0,0.47,0.0
6,299.59857,171.68417,0.0,0.47,0.0
7,297.02112,171.03458,0.0,0.47,0.0
8,294.39752,170.27151,0.0,0.47,0.0
9,291.9584,169.22493,0.0,0.47,0.0
10,289.5647,168.43944,0.0,0.47,0.0
11,287.07333,167.51952,0.0,0.47,0.0
12,284.63632,166.97247,0.0,0.47,0.0
13,282.37186,165.6938,0.0,0.47,0.0
14,280.1585,164.64333,0.0,0.47,0.0
15,277.9539,164.07019,0.0,0.47,0.0
16,275.9686,162.7034,0.0,0.47,0.0
17,274.07162,162.65457,0.0,0.47,0.0
18,272.42502,160.99174,0.0,0.47,0.0
19,271.0721,161.28969,0.0,0.47,0.0
20,270.04596,159.29451,0.0,0.47,0.0
21,269.15884,159.12419,0.0,0.47,0.0
22,268.99692,157.9577,0.0,0.47,0.0
23,268.56717,158.12404,0.0,0.47,0.0
24,268.6433,157.34216,0.0,0.47,0.0
25,269.49097,157.2198,0.0,0.47,0.0
26,270.50275,157.41846,0.0,0.47,0.0
27,271.49945,157.82162,0.0,0.47,0.0
28,272.93292,157.86449,0.0,0.47,0.0
29,274.5775,158.37628,0.0,0.47,0.0
30,276.4177,158.69649,0.0,0.47,0.0
31,278.26974,158.99081,0.0,0.47,0.0
32,280.2238,159.69405,0.0,0.47,0.3024933338165283
33,281.79593,159.81508,0.0,0.47,0.9446052551269531
34,283.27487,160.35056,0.0,0.47,1.8847445487976073
35,284.32748,161.17645,0.0,0.47,3.157855987548828
36,285.2607,161.7906,0.0,0.47,4.763062858581543
37,284.9226,161.82759,3.0249333,0.47,6.675949287414551
38,284.2095,162.32051,6.421119,0.47,8.870311164855957
39,283.12448,162.9566,9.401393,0.47,11.352328681945801
40,281.51028,163.5144,12.731114,0.47,14.116501998901366
41,279.31744,163.8862,16.052069,0.47,17.178397750854494
42,277.03418,164.00568,19.128864,0.47,20.1753032207489
43,273.45993,164.91022,21.943619,0.47,23.094331741333008
44,269.87845,165.25821,24.820175,0.47,25.96161241531372
45,266.12048,165.24896,27.641733,0.47,28.680792236328124
46,262.28046,165.85161,30.618958,0.47,31.28248233795166
47,258.5597,165.83165,32.993988,0.47,33.790733909606935
48,254.73743,166.48991,35.611404,0.47,36.191630363464355
49,251.22954,166.61502,38.0742,0.47,38.51690731048584
50,248.09425,167.6087,39.922913,0.47,40.8137866973877
51,245.11076,167.75896,42.06897,0.47,42.99752960205078
52,242.34955,168.25826,44.21138,0.47,45.18960838317871
53,240.10867,167.74916,45.952583,0.47,47.32510490417481
54,238.43813,168.8714,48.072945,0.47,49.38492279052734
55,237.5083,168.79063,50.610527,0.47,51.401858520507815
56,237.11261,169.49295,52.456387,0.47,53.36471748352051
57,237.18861,169.78905,54.914776,0.47,55.29558334350586
58,237.50671,170.04132,56.96637,0.47,57.15507507324219
59,237.7966,170.42628,58.67238,0.47,58.9211784362793
60,238.97868,170.88203,60.09227,0.47,60.55931777954102
61,240.03087,171.96265,61.69756,0.47,62.09818229675293
62,241.35841,172.85037,63.52004,0.47,63.48712844848633
63,243.4832,173.80699,64.5475,0.47,64.75683288574218
