tempo,potencia_ativa,potencia_reativa,potencia_PV,custo_energia
0,288.4,147.5,0,0.47
1,282,146,0,0.47
2,275.5,144.5,0,0.47
3,268.9,143,0,0.47
4,262.5,141.5,0,0.47
5,256,140,0,0.47
6,254.1,140.83,0,0.47
7,252.3,141.67,0,0.47
8,250.5,142.5,0,0.47
9,248.6,143.33,0,0.47
10,246.8,144.17,0,0.47
11,245,145,0,0.47
12,244.1,145.17,0,0.47
13,243.3,145.33,0,0.47
14,242.5,145.5,0,0.47
15,241.6,145.67,0,0.47
16,240.8,145.83,0,0.47
17,240,146,0,0.47
18,239.1,145.83,0,0.47
19,238.3,145.67,0,0.47
20,237.5,145.5,0,0.47
21,236.6,145.33,0,0.47
22,235.8,145.17,0,0.47
23,235,145,0,0.47
24,236.1,144.67,0,0.47
25,237.3,144.33,0,0.47
26,238.5,144,0,0.47
27,239.6,143.67,0,0.47
28,240.8,143.33,0,0.47
29,242,143,0,0.47
30,242,142.5,0,0.47
31,242,142,0,0.47
32,242,141.5,0,0.47
33,242,141,0,0.47
34,242,140.5,0,0.47
35,242,140,0,0.47
36,246.6,138.663,0,0.47
37,251.3,137.337,0,0.47
38,256,136,0,0.47
39,260.6,134.663,0,0.47
40,265.3,133.337,0,0.47
41,270,132,0,0.47
42,255.8,128.497,2.4,0.47
43,241.6,125,3.2,0.47
44,227.5,121.5,7.2,0.47
45,213.3,118,5.6,0.47
46,199.1,114.5,7.8,0.47
47,185,111,17.7,0.47
48,187.8,111.834,18.7,0.47
49,190.6,112.666,13.6,0.47
50,193.5,113.5,7.1,0.47
51,196.3,114.334,15.3,0.47
52,199.1,115.166,33.2,0.47
53,202,116,37.7,0.47
54,201,116,69.1,0.47
55,200,116,13.5,0.47
56,199,116,23.8,0.47
57,198,116,39,0.47
58,197,116,17.2,0.47
59,196,116,16,0.47
60,197.8,115.833,49.5,0.47
61,199.6,115.667,68.6,0.47
62,201.5,115.5,107.2,0.47
63,203.3,115.333,105.6,0.47
64,205.1,115.167,15,0.47
65,207,115,62.9,0.47
66,207.6,115.167,6.5,0.47
67,208.3,115.333,16.1,0.47
68,209,115.5,48.4,0.47
69,209.6,115.667,8.3,0.47
70,210.3,115.833,30.5,0.47
71,211,116,36.6,0.47
72,209.6,118,137.2,0.47
73,208.3,120,52.6,0.47
74,207,122,130.4,0.47
75,205.6,124,39.4,0.47
76,204.3,126,37.1,0.47
77,203,128,62.6,0.47
78,204.6,128.667,102.7,0.47
79,206.3,129.333,71.5,0.47
80,208,130,40.7,0.47
81,209.6,130.667,70,0.47
82,211.3,131.333,45.4,0.47
83,213,132,26.2,0.47
84,213,132.997,58.2,0.47
85,212.9,134.003,40.6,0.47
86,213,135,31.7,0.47
87,213,135.997,28.2,0.47
88,212.9,137.003,22.3,0.47
89,213,138,22.7,0.47
90,212.5,137.997,15.9,0.47
91,212,138.003,42.4,0.47
92,211.5,138,36.5,0.47
93,211,137.997,21.9,0.47
94,210.5,138.003,79.1,0.47
95,210,138,61,0.47
96,211.5,138.167,57.6,0.47
97,213,138.333,44.6,0.47
98,214.5,138.5,35.2,0.47
99,216,138.667,11.4,0.47
100,217.5,138.833,26.4,0.47
101,219,139,15.8,0.65
102,218.6,138.997,18.9,0.65
103,218.3,139.003,26.6,0.65
104,218,139,18.8,0.65
105,217.6,138.997,4.4,0.65
106,217.3,139.003,8,0.65
107,217,139,2.2,1
108,220.6,138.503,1.5,1
109,224.3,137.997,0,1
110,228,137.5,0,1
111,231.6,137.003,0,1
112,235.3,136.497,0,1
113,239,136,0,1
114,246.4,138.003,0,1
115,254,139.997,0,1
116,261.5,142,0,1
117,268.9,144.003,0,1
118,276.5,145.997,0,1
119,284,148,0,1
120,309.5,149.497,0,1
121,334.9,151.003,0,1
122,360.5,152.5,0,1
123,386,153.997,0,1
124,411.5,155.503,0,1
125,437,157,0,0.65
126,423,156.503,0,0.65
127,409,155.997,0,0.65
128,395,155.5,0,0.65
129,381,155.003,0,0.65
130,366.9,154.497,0,0.65
131,353,154,0,0.47
132,348.1,153.837,0,0.47
133,343.3,153.663,0,0.47
134,338.5,153.5,0,0.47
135,333.6,153.337,0,0.47
136,328.8,153.163,0,0.47
137,324,153,0,0.47
138,319,152.337,0,0.47
139,314,151.663,0,0.47
140,309,151,0,0.47
141,304,150.337,0,0.47
142,299,149.663,0,0.47
143,294,149,0,0.47
