tempo,potencia_ativa,potencia_reativa,potencia_PV,custo_energia
0,295,149,0,0.47
1,288.4,147.5,0,0.47
2,282,146,0,0.47
3,275.5,144.5,0,0.47
4,268.9,143,0,0.47
5,262.5,141.5,0,0.47
6,256,140,0,0.47
7,254.1,140.83,0,0.47
8,252.3,141.67,0,0.47
9,250.5,142.5,0,0.47
10,248.6,143.33,0,0.47
11,246.8,144.17,0,0.47
12,245,145,0,0.47
13,244.1,145.17,0,0.47
14,243.3,145.33,0,0.47
15,242.5,145.5,0,0.47
16,241.6,145.67,0,0.47
17,240.8,145.83,0,0.47
18,240,146,0,0.47
19,239.1,145.83,0,0.47
20,238.3,145.67,0,0.47
21,237.5,145.5,0,0.47
22,236.6,145.33,0,0.47
23,235.8,145.17,0,0.47
24,235,145,0,0.47
25,236.1,144.67,0,0.47
26,237.3,144.33,0,0.47
27,238.5,144,0,0.47
28,239.6,143.67,0,0.47
29,240.8,143.33,0,0.47
30,242,143,0,0.47
31,242,142.5,0,0.47
32,242,142,0,0.47
33,242,141.5,0,0.47
34,242,141,0,0.47
35,242,140.5,0,0.47
36,242,140,0,0.47
37,246.6,138.663,0,0.47
38,251.3,137.337,0,0.47
39,256,136,0,0.47
40,260.6,134.663,0,0.47
41,265.3,133.337,0,0.47
42,270,132,0,0.47
43,255.8,128.497,2.4,0.47
44,241.6,125,3.2,0.47
45,227.5,121.5,7.2,0.47
46,213.3,118,5.6,0.47
47,199.1,114.5,7.8,0.47
48,185,111,17.7,0.47
49,187.8,111.834,18.7,0.47
50,190.6,112.666,13.6,0.47
51,193.5,113.5,7.1,0.47
52,196.3,114.334,15.3,0.47
53,199.1,115.166,33.2,0.47
54,202,116,37.7,0.47
55,201,116,69.1,0.47
56,200,116,13.5,0.47
57,199,116,23.8,0.47
58,198,116,39,0.47
59,197,116,17.2,0.47
60,196,116,16,0.47
61,197.8,115.833,49.5,0.47
62,199.6,115.667,68.6,0.47
63,201.5,115.5,107.2,0.47
64,203.3,115.333,105.6,0.47
65,205.1,115.167,15,0.47
66,207,115,62.9,0.47
67,207.6,115.167,6.5,0.47
68,208.3,115.333,16.1,0.47
69,209,115.5,48.4,0.47
70,209.6,115.667,8.3,0.47
71,210.3,115.833,30.5,0.47
72,211,116,36.6,0.47
73,209.6,118,137.2,0.47
74,208.3,120,52.6,0.47
75,207,122,130.4,0.47
76,205.6,124,39.4,0.47
77,204.3,126,37.1,0.47
78,203,128,62.6,0.47
79,204.6,128.667,102.7,0.47
80,206.3,129.333,71.5,0.47
81,208,130,40.7,0.47
82,209.6,130.667,70,0.47
83,211.3,131.333,45.4,0.47
84,213,132,26.2,0.47
85,213,132.997,58.2,0.47
86,212.9,134.003,40.6,0.47
87,213,135,31.7,0.47
88,213,135.997,28.2,0.47
89,212.9,137.003,22.3,0.47
90,213,138,22.7,0.47
91,212.5,137.997,15.9,0.47
92,212,138.003,42.4,0.47
93,211.5,138,36.5,0.47
94,211,137.997,21.9,0.47
95,210.5,138.003,79.1,0.47
96,210,138,61,0.47
97,211.5,138.167,57.6,0.47
98,213,138.333,44.6,0.47
99,214.5,138.5,35.2,0.47
100,216,138.667,11.4,0.47
101,217.5,138.833,26.4,0.47
102,219,139,15.8,0.65
103,218.6,138.997,18.9,0.65
104,218.3,139.003,26.6,0.65
105,218,139,18.8,0.65
106,217.6,138.997,4.4,0.65
107,217.3,139.003,8,0.65
108,217,139,2.2,1
109,220.6,138.503,1.5,1
110,224.3,137.997,0,1
111,228,137.5,0,1
112,231.6,137.003,0,1
113,235.3,136.497,0,1
114,239,136,0,1
115,246.4,138.003,0,1
116,254,139.997,0,1
117,261.5,142,0,1
118,268.9,144.003,0,1
119,276.5,145.997,0,1
120,284,148,0,1
121,309.5,149.497,0,1
122,334.9,151.003,0,1
123,360.5,152.5,0,1
124,386,153.997,0,1
125,411.5,155.503,0,1
126,437,157,0,0.65
127,423,156.503,0,0.65
128,409,155.997,0,0.65
129,395,155.5,0,0.65
130,381,155.003,0,0.65
131,366.9,154.497,0,0.65
132,353,154,0,0.47
133,348.1,153.837,0,0.47
134,343.3,153.663,0,0.47
135,338.5,153.5,0,0.47
136,333.6,153.337,0,0.47
137,328.8,153.163,0,0.47
138,324,153,0,0.47
139,319,152.337,0,0.47
140,314,151.663,0,0.47
141,309,151,0,0.47
142,304,150.337,0,0.47
143,299,149.663,0,0.47
