Bateria_descarregar,Bateria_carregar,potencia_REDE,SoC,PV_ref,custo_energia,Q_rede,Q_bat_PU,P_bat_PU,V_PCC
0.0,0.99,299.99,0.5,0.0,0.47,-58.927275,0.8343611,-0.00396,1.0
0.0,5.99,299.99,0.50028286,0.0,0.47,-58.927275,0.8317091,-0.02396,1.0
0.0,9.89,299.99,0.50199433,0.0,0.47,-58.927275,0.8290291,-0.03956,1.0
0.0,13.69,299.99,0.5048201,0.0,0.47,-58.927275,0.8263891,-0.05476,1.0
0.0,17.49,299.99,0.5087316,0.0,0.47,-58.927275,0.8237091,-0.06996,1.0
0.0,21.39,299.99,0.51372885,0.0,0.47,-58.927275,0.8210291,-0.08556,1.0
0.0,25.19,299.99,0.5198404,0.0,0.47,-58.927275,0.8183891,-0.10076,1.0
0.0,28.99,299.99,0.52703768,0.0,0.47,-58.927275,0.8157091,-0.11596,1.0
0.0,31.59,299.99,0.53532071,0.0,0.47,-58.927275,0.8190291,-0.12636,1.0
0.0,33.99,299.99,0.5443466,0.0,0.47,-58.927275,0.8223891,-0.13596,1.0
0.0,36.49,299.99,0.55405822,0.0,0.47,-58.927275,0.8257091,-0.14596,1.0
0.0,39.09,299.99,0.56448415,0.0,0.47,-58.927275,0.8290291,-0.15636,1.0
0.0,41.49,299.99,0.57565294,0.0,0.47,-58.927275,0.8323891,-0.16596,1.0
0.0,43.99,299.99,0.58750746,0.0,0.47,-58.927275,0.8357091,-0.17596,1.0
0.0,46.19,299.99,0.60007629,0.0,0.47,-58.927275,0.8357091,-0.18476,1.0
0.0,48.39,299.99,0.61327369,0.0,0.47,-58.927275,0.8357091,-0.19356,1.0
0.0,50.49,299.99,0.62709968,0.0,0.47,-58.927275,0.8357091,-0.20196,1.0
0.0,52.69,299.99,0.64152569,0.0,0.47,-58.927275,0.8357091,-0.21076,1.0
0.0,54.89,299.99,0.65658027,0.0,0.47,-58.927275,0.8357091,-0.21956,1.0
0.0,56.99,299.99,0.67226345,0.0,0.47,-58.927275,0.8357091,-0.22796,1.0
0.0,56.89,299.99,0.68854663,0.0,0.47,-58.927275,0.8350291,-0.22756,1.0
0.0,56.69,299.99,0.70480124,0.0,0.47,-58.927275,0.8343891,-0.22676,1.0
0.0,56.49,299.99,0.72099871,0.0,0.47,-58.927275,0.8337091,-0.22596,1.0
0.0,56.39,299.99,0.73713903,0.0,0.47,-58.927275,0.8330291,-0.22556,1.0
0.0,56.19,299.99,0.75325078,0.0,0.47,-58.927275,0.8323891,-0.22476,1.0
0.0,55.99,299.99,0.76930539,0.0,0.47,-58.927275,0.8317091,-0.22396,1.0
0.0,47.710749,291.71075,0.78530285,0.0,0.47,-58.927275,0.8323891,-0.190843,1.0
0.0,0.0,243.9,0.79893476,0.0,0.47,-58.927275,0.8330291,0.0,1.0
0.0,0.0,244.0,0.79893476,0.0,0.47,-58.927275,0.8337091,0.0,1.0
0.0,0.0,244.0,0.79893476,0.0,0.47,-58.927275,0.8343891,0.0,1.0
0.0,0.0,243.9,0.79893476,0.0,0.47,-58.927275,0.8350291,0.0,1.0
0.0,0.0,244.0,0.79893476,0.0,0.47,-58.927275,0.8357091,0.0,1.0
0.0,0.0,245.3,0.79893476,0.0,0.47,-58.927275,0.8350291,0.0,1.0
0.0,0.0,246.6,0.79893476,0.0,0.47,-58.927275,0.8343891,0.0,1.0
0.0,0.0,248.0,0.79893476,0.0,0.47,-58.927275,0.8337091,0.0,1.0
0.0,0.0,249.3,0.79893476,0.0,0.47,-58.927275,0.8330291,0.0,1.0
0.46508579,0.0,250.13491,0.79893476,0.0,0.47,-58.927275,0.8323891,0.0018603432,1.0
0.2418535,0.0,251.75815,0.79879058,0.24185349941253664,0.47,-58.927275,0.8317091,0.000967414,1.0
0.76794231,0.0,253.73206,0.79871559,0.7679423093795776,0.47,-58.927275,0.8216971,0.0030717692,1.0
1.4811801,0.0,255.41882,0.79847751,1.481180095672607,0.47,-58.927275,0.8117211,0.0059247204,1.0
2.2722183,0.0,257.22778,0.79801831,2.2722182750701903,0.47,-58.927275,0.8017091,0.0090888731,1.0
3.086968,0.0,258.91303,0.79731386,3.0869680106639863,0.47,-58.927275,0.7916971,0.012347872,1.0
3.8652059,0.0,260.53479,0.79635682,3.865205883979797,0.47,-58.927275,0.7817211,0.015460824,1.0
4.476666,0.0,262.52333,0.79515851,4.4766660064458845,0.47,-58.927275,0.7717091,0.017906664,1.0
3.4822614,0.0,248.61774,0.79377062,5.482261419296265,0.47,-58.927275,0.7617091,0.013929046,1.0
