Pot_descarga_bateria,Pot_carga_bateria,potencia_demandada_REDE,SOC,P_ref,custo_energia,Q_rede,Q_bat_PU,P_bat_PU,V_PCC
22.81,0.0,299.99,0.31135865,0.0,0.47,-53.67,0.99,0.09124,0.99959853
0.0,100.0,415.20425,0.30428696,0.0,0.47,-53.76963,0.9167756,-0.4,0.99960613
0.0,200.0,511.5824,0.33285896,0.0,0.47,24.392996,0.60065574,-0.8,0.99363722
0.0,250.0,558.32727,0.39000296,0.0,0.47,155.75894,0.070921986,-1.0,0.98360542
0.0,200.39143,505.65937,0.46143296,0.0,0.47,23.630613,0.59862287,-0.80156572,0.99369544
0.0,100.39143,402.96647,0.5186888,0.0,0.47,-56.488898,0.91610019,-0.40156572,0.99981379
0.0,0.39143,299.99,0.54737264,0.0,0.47,-58.927275,0.92244578,-0.00156572,1.0
0.0,2.96888,299.99,0.54748448,0.0,0.47,-58.927275,0.91984742,-0.01187552,1.0
0.0,5.59248,299.99,0.54833275,0.0,0.47,-58.927275,0.91679514,-0.02236992,1.0
0.0,8.0316,299.99,0.54993063,0.0,0.47,-58.927275,0.91260882,-0.0321264,1.0
0.0,10.4253,299.99,0.55222542,0.0,0.47,-58.927275,0.90946686,-0.0417012,1.0
0.0,12.91667,299.99,0.55520414,0.0,0.47,-58.927275,0.90578718,-0.05166668,1.0
0.0,15.35368,299.99,0.55889469,0.0,0.47,-58.927275,0.90359898,-0.06141472,1.0
0.0,17.61814,299.99,0.56328154,0.0,0.47,-58.927275,0.8984843,-0.07047256,1.0
0.0,19.8315,299.99,0.5683154,0.0,0.47,-58.927275,0.89428242,-0.079326,1.0
0.0,22.0361,299.99,0.57398165,0.0,0.47,-58.927275,0.89198986,-0.0881444,1.0
0.0,24.0214,299.99,0.58027781,0.0,0.47,-58.927275,0.8865227,-0.0960856,1.0
0.0,25.91838,299.99,0.5871412,0.0,0.47,-58.927275,0.88632738,-0.10367352,1.0
0.0,27.56498,299.99,0.5945466,0.0,0.47,-58.927275,0.87967606,-0.11025992,1.0
0.0,28.9179,299.99,0.60242247,0.0,0.47,-58.927275,0.88086786,-0.1156716,1.0
0.0,29.94404,299.99,0.61068489,0.0,0.47,-58.927275,0.87288714,-0.11977616,1.0
0.0,30.83116,299.99,0.6192405,0.0,0.47,-58.927275,0.87220586,-0.12332464,1.0
0.0,30.99308,299.99,0.62804958,0.0,0.47,-58.927275,0.8675399,-0.12397232,1.0
0.0,31.42283,299.99,0.63690492,0.0,0.47,-58.927275,0.86820526,-0.12569132,1.0
0.0,31.3467,299.99,0.64588305,0.0,0.47,-58.927275,0.86507774,-0.1253868,1.0
0.0,30.49903,299.99,0.65483943,0.0,0.47,-58.927275,0.8645883,-0.12199612,1.0
0.0,29.48725,299.99,0.66355361,0.0,0.47,-58.927275,0.86538294,-0.117949,1.0
0.0,28.49055,299.99,0.67197871,0.0,0.47,-58.927275,0.86699558,-0.1139622,1.0
0.0,27.05708,299.99,0.68011903,0.0,0.47,-58.927275,0.86716706,-0.10822832,1.0
0.0,25.4125,299.99,0.68784978,0.0,0.47,-58.927275,0.86921422,-0.10165,1.0
0.0,23.5723,299.99,0.69511064,0.0,0.47,-58.927275,0.87049506,-0.0942892,1.0
0.0,21.72026,299.99,0.70184572,0.0,0.47,-58.927275,0.87167234,-0.08688104,1.0
0.30249333,0.0,279.92131,0.70805163,0.3024933338165283,0.47,-58.927275,0.8744853,0.0012099733,1.0
0.94460526,0.0,280.85132,0.70795785,0.9446052551269531,0.47,-58.927275,0.87496942,0.003778421,1.0
1.8847445,0.0,281.39013,0.707665,1.8847445487976076,0.47,-58.927275,0.87711134,0.0075389782,1.0
3.157856,0.0,281.16962,0.70708068,3.157855987548828,0.47,-58.927275,0.8804149,0.012631424,1.0
4.7630629,0.0,280.49764,0.70610166,4.763062858581543,0.47,-58.927275,0.8828715,0.019052251,1.0
3.651016,0.0,278.24665,0.70462499,6.675949287414551,0.47,-58.927275,0.88301946,0.014604064,1.0
2.4491922,0.0,275.33919,0.70349308,8.870311164855957,0.47,-58.927275,0.88499114,0.0097967687,1.0
1.9509357,0.0,271.77215,0.70273376,11.352328681945801,0.47,-58.927275,0.8875355,0.0078037427,1.0
1.385388,0.0,267.39378,0.70212892,14.116501998901365,0.47,-58.927275,0.8897667,0.005541552,1.0
1.1263288,0.0,262.13904,0.70169942,17.178397750854494,0.47,-58.927275,0.8912539,0.004505315,1.0
1.0464392,0.0,256.85888,0.70135022,20.175303220748898,0.47,-58.927275,0.89173182,0.0041857569,1.0
1.1507127,0.0,250.3656,0.7010258,23.09433174133301,0.47,-58.927275,0.89534998,0.004602851,1.0
1.1414374,0.0,243.91684,0.70066905,25.96161241531372,0.47,-58.927275,0.89674194,0.0045657497,1.0
