tempo,potencia_ativa_carga,potencia_reativa_carga,potencia_PV
0,281.1,125.997,0
1,273,126,0
2,267.9,125.163,0
3,263,124.334,0
4,258,123.5,0
5,252.9,122.666,0
6,248,121.834,0
7,243,121,0
8,240.1,121,0
9,237.3,121,0
10,234.5,121,0
11,231.6,121,0
12,228.8,121,0
13,226,121,0
14,225.9,121.334,0
15,226,121.666,0
16,226,122,0
17,225.9,122.334,0
18,226,122.666,0
19,226,123,0
20,225.8,123.167,0
21,225.6,123.333,0
22,225.5,123.5,0
23,225.3,123.667,0
24,225.1,123.833,0
25,225,124,0
26,225.5,123.167,0
27,226,122.333,0
28,226.5,121.5,0
29,227,120.667,0
30,227.5,119.833,0
31,228,119,0
32,228.5,119.167,0
33,229,119.333,0
34,229.5,119.5,0
35,230,119.667,0
36,230.5,119.833,0
37,231,120,0
38,233,117.667,0
39,235,115.333,0
40,237,113,0
41,239,110.667,0
42,241,108.333,0
43,243,106,0
44,235.4,104.166,0
45,228,102.334,0
46,220.5,100.5,2.3
47,212.9,98.666,7.9
48,205.5,96.834,10
49,198,95,17
50,199.8,93.833,21.3
51,201.6,92.667,24.2
52,203.5,91.5,30.1
53,205.3,90.333,34.6
54,207.1,89.167,39.5
55,209,88,43.3
56,209,88.334,44.7
57,209,88.666,51.4
58,209,89,54.8
59,209,89.334,58.2
60,209,89.666,61.4
61,209,90,64.9
62,208,90.167,66.6
63,207,90.333,67
64,206,90.5,73.7
65,205,90.667,76.2
66,204,90.833,78.7
67,203,91,81
68,202.4,90.5,82.9
69,202,90,83
70,201.5,89.5,86.3
71,200.9,89,87.4
72,200.5,88.5,88.5
73,200,88,89.9
74,195.6,89.833,90.4
75,191.3,91.667,90.6
76,187,93.5,90.8
77,182.6,95.333,90.7
78,178.3,97.167,90.3
79,174,99,89.9
80,174.6,99,89.3
81,175.3,99,88.3
82,176,99,87.2
83,176.6,99,85.3
84,177.3,99,83.8
85,178,99,82.2
86,178.1,99.167,80.3
87,178.3,99.333,78.2
88,178.5,99.5,75.6
89,178.6,99.667,73
90,178.8,99.833,69.9
91,179,100,66.8
92,180.6,100.166,62.8
93,182.3,100.334,60.4
94,184,100.5,56.8
95,185.6,100.666,53.2
96,187.3,100.834,49.6
97,189,101,45.5
98,190.6,101,41.3
99,192.3,101,13.4
100,194,101,29.1
101,195.6,101,28.5
102,197.3,101,24.1
103,199,101,18.2
104,197,101.167,14.9
105,195,101.333,5.2
106,193,101.5,2.9
107,191,101.667,1.7
108,189,101.833,0
109,187,102,0
110,189.5,101.666,0
111,191.9,101.334,0
112,194.5,101,0
113,197,100.666,0
114,199.4,100.334,0
115,202,100,0
116,206.3,101.666,0
117,210.6,103.334,0
118,215,105,0
119,219.3,106.666,0
120,223.6,108.334,0
121,228,110,0
122,250.8,114,0
123,273.6,118,0
124,296.5,122,0
125,319.3,126,0
126,342.1,130.003,0
127,365,134,0
128,362.8,132.497,0
129,360.6,131.003,0
130,358.5,129.5,0
131,356.3,128,0
132,354.1,126.5,0
133,352,125,0
134,346.6,126,0
135,341.3,127,0
136,336,128,0
137,330.6,129,0
138,325.3,130,0
139,320,131,0
