Bateria_descarregar,Bateria_carregar,potencia_REDE,SoC,PV_ref,custo_energia,Q_rede,Q_bat_PU,P_bat_PU,V_PCC
0.0,21.49,299.99,0.5,0.0,0.47,-58.927275,0.6970411,-0.08596,1.0
0.0,28.19,299.99,0.50614012,0.0,0.47,-58.927275,0.6957091,-0.11276,1.0
0.0,34.19,299.99,0.51419457,0.0,0.47,-58.927275,0.6903771,-0.13676,1.0
0.0,40.19,299.99,0.52396334,0.0,0.47,-58.927275,0.6850411,-0.16076,1.0
0.0,46.09,299.99,0.53544642,0.0,0.47,-58.927275,0.6797091,-0.18436,1.0
0.0,52.09,299.99,0.54861526,0.0,0.47,-58.927275,0.6743771,-0.20836,1.0
0.0,58.09,299.99,0.56349841,0.0,0.47,-58.927275,0.6690411,-0.23236,1.0
0.0,63.99,299.99,0.58009589,0.0,0.47,-58.927275,0.6637091,-0.25596,1.0
0.0,67.19,299.99,0.59837911,0.0,0.47,-58.927275,0.6630411,-0.26876,1.0
0.0,70.39,299.99,0.61757664,0.0,0.47,-58.927275,0.6623771,-0.28156,1.0
0.0,73.49,299.99,0.63768847,0.0,0.47,-58.927275,0.6617091,-0.29396,1.0
0.0,76.69,299.99,0.65868603,0.0,0.47,-58.927275,0.6610411,-0.30676,1.0
0.0,79.89,299.99,0.6805979,0.0,0.47,-58.927275,0.6603771,-0.31956,1.0
0.0,82.99,299.99,0.70342407,0.0,0.47,-58.927275,0.6597091,-0.33196,1.0
0.0,84.19,299.99,0.72713597,0.0,0.47,-58.927275,0.6617091,-0.33676,1.0
0.0,85.39,299.99,0.75119074,0.0,0.47,-58.927275,0.6637091,-0.34156,1.0
0.0,83.295266,296.79527,0.77558837,0.0,0.47,-58.927275,0.6657091,-0.33318106,1.0
0.0,0.081290237,212.38129,0.79938749,0.0,0.47,-58.927275,0.6677091,-0.00032516095,1.0
0.0,0.029380228,211.12938,0.79941072,0.0,0.47,-58.927275,0.6697091,-0.00011752091,1.0
0.0,0.078555691,210.07856,0.79941911,0.0,0.47,-58.927275,0.6717091,-0.00031422276,1.0
0.0,0.21739138,211.11739,0.79944156,0.0,0.47,-58.927275,0.6730411,-0.00086956551,1.0
0.0,0.0,212.0,0.79950367,0.0,0.47,-58.927275,0.6743771,0.0,1.0
0.0,0.0,213.0,0.79950367,0.0,0.47,-58.927275,0.6757091,0.0,1.0
0.0,0.0,213.9,0.79950367,0.0,0.47,-58.927275,0.6770411,0.0,1.0
