#timPSTamp,	constant_power_A,constant_power_B,constant_power_C
2017-10-18 00:00:00,960.4+486.73j,960.4+486.73j,960.4+486.73j
2017-10-18 00:10:00,947.66+484.54j,947.66+484.54j,947.66+484.54j
2017-10-18 00:20:00,935.25+482.39j,935.25+482.39j,935.25+482.39j
2017-10-18 00:30:00,922.83+480.2j,922.83+480.2j,922.83+480.2j
2017-10-18 00:40:00,910.09+478.01j,910.09+478.01j,910.09+478.01j
2017-10-18 00:50:00,897.68+475.86j,897.68+475.86j,897.68+475.86j
2017-10-18 01:00:00,885.27+473.67j,885.27+473.67j,885.27+473.67j
2017-10-18 01:10:00,876.77+476.38j,876.77+476.38j,876.77+476.38j
2017-10-18 01:20:00,868.93+479.12j,868.93+479.12j,868.93+479.12j
2017-10-18 01:30:00,860.77+481.83j,860.77+481.83j,860.77+481.83j
2017-10-18 01:40:00,852.27+484.54j,852.27+484.54j,852.27+484.54j
2017-10-18 01:50:00,844.43+487.29j,844.43+487.29j,844.43+487.29j
2017-10-18 02:00:00,836.27+490j,836.27+490j,836.27+490j
2017-10-18 02:10:00,829.08+490j,829.08+490j,829.08+490j
2017-10-18 02:20:00,821.89+490j,821.89+490j,821.89+490j
2017-10-18 02:30:00,815.03+490j,815.03+490j,815.03+490j
2017-10-18 02:40:00,807.85+490j,807.85+490j,807.85+490j
2017-10-18 02:50:00,800.66+490j,800.66+490j,800.66+490j
2017-10-18 03:00:00,793.8+490j,793.8+490j,793.8+490j
2017-10-18 03:10:00,794.13+489.44j,794.13+489.44j,794.13+489.44j
2017-10-18 03:20:00,794.78+488.92j,794.78+488.92j,794.78+488.92j
2017-10-18 03:30:00,795.43+488.37j,795.43+488.37j,795.43+488.37j
2017-10-18 03:40:00,795.76+487.81j,795.76+487.81j,795.76+487.81j
2017-10-18 03:50:00,796.41+487.29j,796.41+487.29j,796.41+487.29j
2017-10-18 04:00:00,797.07+486.73j,797.07+486.73j,797.07+486.73j
2017-10-18 04:10:00,797.07+487.29j,797.07+487.29j,797.07+487.29j
2017-10-18 04:20:00,796.74+487.81j,796.74+487.81j,796.74+487.81j
2017-10-18 04:30:00,797.07+488.37j,797.07+488.37j,797.07+488.37j
2017-10-18 04:40:00,797.07+488.92j,797.07+488.92j,797.07+488.92j
2017-10-18 04:50:00,796.74+489.44j,796.74+489.44j,796.74+489.44j
2017-10-18 05:00:00,797.07+490j,797.07+490j,797.07+490j
2017-10-18 05:10:00,801.31+489.44j,801.31+489.44j,801.31+489.44j
2017-10-18 05:20:00,805.56+488.92j,805.56+488.92j,805.56+488.92j
2017-10-18 05:30:00,810.13+488.37j,810.13+488.37j,810.13+488.37j
2017-10-18 05:40:00,814.38+487.81j,814.38+487.81j,814.38+487.81j
2017-10-18 05:50:00,818.63+487.29j,818.63+487.29j,818.63+487.29j
2017-10-18 06:00:00,823.2+486.73j,823.2+486.73j,823.2+486.73j
2017-10-18 06:10:00,831.37+478.56j,831.37+478.56j,831.37+478.56j
2017-10-18 06:20:00,839.21+470.41j,839.21+470.41j,839.21+470.41j
2017-10-18 06:30:00,847.7+462.23j,847.7+462.23j,847.7+462.23j
2017-10-18 06:40:00,855.87+454.06j,855.87+454.06j,855.87+454.06j
2017-10-18 06:50:00,863.71+445.91j,863.71+445.91j,863.71+445.91j
2017-10-18 07:00:00,872.2+437.73j,872.2+437.73j,872.2+437.73j
2017-10-18 07:10:00,830.06+429.57j,830.06+429.57j,830.06+429.57j
2017-10-18 07:20:00,788.25+421.4j,788.25+421.4j,788.25+421.4j
2017-10-18 07:30:00,746.43+413.23j,746.43+413.23j,746.43+413.23j
2017-10-18 07:40:00,704.29+405.07j,704.29+405.07j,704.29+405.07j
2017-10-18 07:50:00,662.48+396.9j,662.48+396.9j,662.48+396.9j
2017-10-18 08:00:00,620.67+388.73j,620.67+388.73j,620.67+388.73j
2017-10-18 08:10:00,632.43+384.38j,632.43+384.38j,632.43+384.38j
2017-10-18 08:20:00,644.51+380.02j,644.51+380.02j,644.51+380.02j
2017-10-18 08:30:00,656.6+375.67j,656.6+375.67j,656.6+375.67j
2017-10-18 08:40:00,668.36+371.31j,668.36+371.31j,668.36+371.31j
2017-10-18 08:50:00,680.45+366.95j,680.45+366.95j,680.45+366.95j
2017-10-18 09:00:00,692.53+362.6j,692.53+362.6j,692.53+362.6j
2017-10-18 09:10:00,684.69+372.95j,684.69+372.95j,684.69+372.95j
2017-10-18 09:20:00,677.18+383.29j,677.18+383.29j,677.18+383.29j
2017-10-18 09:30:00,669.67+393.63j,669.67+393.63j,669.67+393.63j
2017-10-18 09:40:00,661.83+403.98j,661.83+403.98j,661.83+403.98j
2017-10-18 09:50:00,654.31+414.32j,654.31+414.32j,654.31+414.32j
2017-10-18 10:00:00,646.8+424.67j,646.8+424.67j,646.8+424.67j
2017-10-18 10:10:00,645.49+421.96j,645.49+421.96j,645.49+421.96j
2017-10-18 10:20:00,644.51+419.22j,644.51+419.22j,644.51+419.22j
2017-10-18 10:30:00,643.53+416.5j,643.53+416.5j,643.53+416.5j
2017-10-18 10:40:00,642.23+413.78j,642.23+413.78j,642.23+413.78j
2017-10-18 10:50:00,641.25+411.05j,641.25+411.05j,641.25+411.05j
2017-10-18 11:00:00,640.27+408.33j,640.27+408.33j,640.27+408.33j
2017-10-18 11:10:00,648.76+412.69j,648.76+412.69j,648.76+412.69j
2017-10-18 11:20:00,657.58+417.04j,657.58+417.04j,657.58+417.04j
2017-10-18 11:30:00,666.4+421.4j,666.4+421.4j,666.4+421.4j
2017-10-18 11:40:00,674.89+425.77j,674.89+425.77j,674.89+425.77j
2017-10-18 11:50:00,683.71+430.1j,683.71+430.1j,683.71+430.1j
2017-10-18 12:00:00,692.53+434.47j,692.53+434.47j,692.53+434.47j
2017-10-18 12:10:00,696.78+465.49j,696.78+465.49j,696.78+465.49j
2017-10-18 12:20:00,701.03+496.54j,701.03+496.54j,701.03+496.54j
2017-10-18 12:30:00,705.6+527.57j,705.6+527.57j,705.6+527.57j
2017-10-18 12:40:00,709.85+558.59j,709.85+558.59j,709.85+558.59j
2017-10-18 12:50:00,714.09+589.64j,714.09+589.64j,714.09+589.64j
2017-10-18 13:00:00,718.67+620.67j,718.67+620.67j,718.67+620.67j
2017-10-18 13:10:00,715.73+603.8j,715.73+603.8j,715.73+603.8j
2017-10-18 13:20:00,713.11+586.9j,713.11+586.9j,713.11+586.9j
2017-10-18 13:30:00,710.5+570.03j,710.5+570.03j,710.5+570.03j
2017-10-18 13:40:00,707.56+553.17j,707.56+553.17j,707.56+553.17j
2017-10-18 13:50:00,704.95+536.27j,704.95+536.27j,704.95+536.27j
2017-10-18 14:00:00,702.33+519.4j,702.33+519.4j,702.33+519.4j
2017-10-18 14:10:00,700.05+535.74j,700.05+535.74j,700.05+535.74j
2017-10-18 14:20:00,697.76+552.06j,697.76+552.06j,697.76+552.06j
2017-10-18 14:30:00,695.8+568.4j,695.8+568.4j,695.8+568.4j
2017-10-18 14:40:00,693.51+584.74j,693.51+584.74j,693.51+584.74j
2017-10-18 14:50:00,691.23+601.06j,691.23+601.06j,691.23+601.06j
2017-10-18 15:00:00,689.27+617.4j,689.27+617.4j,689.27+617.4j
2017-10-18 15:10:00,701.68+613.05j,701.68+613.05j,701.68+613.05j
2017-10-18 15:20:00,714.09+608.69j,714.09+608.69j,714.09+608.69j
2017-10-18 15:30:00,726.83+604.33j,726.83+604.33j,726.83+604.33j
2017-10-18 15:40:00,739.25+599.98j,739.25+599.98j,739.25+599.98j
2017-10-18 15:50:00,751.66+595.62j,751.66+595.62j,751.66+595.62j
2017-10-18 16:00:00,764.4+591.27j,764.4+591.27j,764.4+591.27j
2017-10-18 16:10:00,774.53+592.89j,774.53+592.89j,774.53+592.89j
2017-10-18 16:20:00,784.98+594.54j,784.98+594.54j,784.98+594.54j
