#timPSTamp,	constant_power_A,constant_power_C
2017-10-18 00:00:00,441+223.5j,441+223.5j
2017-10-18 00:10:00,435.15+222.5j,435.15+222.5j
2017-10-18 00:20:00,429.45+221.51j,429.45+221.51j
2017-10-18 00:30:00,423.75+220.5j,423.75+220.5j
2017-10-18 00:40:00,417.9+219.5j,417.9+219.5j
2017-10-18 00:50:00,412.2+218.51j,412.2+218.51j
2017-10-18 01:00:00,406.5+217.5j,406.5+217.5j
2017-10-18 01:10:00,402.6+218.75j,402.6+218.75j
2017-10-18 01:20:00,399+220.01j,399+220.01j
2017-10-18 01:30:00,395.25+221.25j,395.25+221.25j
2017-10-18 01:40:00,391.35+222.5j,391.35+222.5j
2017-10-18 01:50:00,387.75+223.76j,387.75+223.76j
2017-10-18 02:00:00,384+225j,384+225j
2017-10-18 02:10:00,380.7+225j,380.7+225j
2017-10-18 02:20:00,377.4+225j,377.4+225j
2017-10-18 02:30:00,374.25+225j,374.25+225j
2017-10-18 02:40:00,370.95+225j,370.95+225j
2017-10-18 02:50:00,367.65+225j,367.65+225j
2017-10-18 03:00:00,364.5+225j,364.5+225j
2017-10-18 03:10:00,364.65+224.75j,364.65+224.75j
2017-10-18 03:20:00,364.95+224.51j,364.95+224.51j
2017-10-18 03:30:00,365.25+224.25j,365.25+224.25j
2017-10-18 03:40:00,365.4+224j,365.4+224j
2017-10-18 03:50:00,365.7+223.76j,365.7+223.76j
2017-10-18 04:00:00,366+223.5j,366+223.5j
2017-10-18 04:10:00,366+223.76j,366+223.76j
2017-10-18 04:20:00,365.85+224j,365.85+224j
2017-10-18 04:30:00,366+224.25j,366+224.25j
2017-10-18 04:40:00,366+224.51j,366+224.51j
2017-10-18 04:50:00,365.85+224.75j,365.85+224.75j
2017-10-18 05:00:00,366+225j,366+225j
2017-10-18 05:10:00,367.95+224.75j,367.95+224.75j
2017-10-18 05:20:00,369.9+224.51j,369.9+224.51j
2017-10-18 05:30:00,372+224.25j,372+224.25j
2017-10-18 05:40:00,373.95+224j,373.95+224j
2017-10-18 05:50:00,375.9+223.76j,375.9+223.76j
2017-10-18 06:00:00,378+223.5j,378+223.5j
2017-10-18 06:10:00,381.75+219.75j,381.75+219.75j
2017-10-18 06:20:00,385.35+216j,385.35+216j
2017-10-18 06:30:00,389.25+212.25j,389.25+212.25j
2017-10-18 06:40:00,393+208.5j,393+208.5j
2017-10-18 06:50:00,396.6+204.75j,396.6+204.75j
2017-10-18 07:00:00,400.5+201j,400.5+201j
2017-10-18 07:10:00,381.15+197.25j,381.15+197.25j
2017-10-18 07:20:00,361.95+193.5j,361.95+193.5j
2017-10-18 07:30:00,342.75+189.75j,342.75+189.75j
2017-10-18 07:40:00,323.4+186j,323.4+186j
2017-10-18 07:50:00,304.2+182.25j,304.2+182.25j
2017-10-18 08:00:00,285+178.5j,285+178.5j
2017-10-18 08:10:00,290.4+176.5j,290.4+176.5j
2017-10-18 08:20:00,295.95+174.5j,295.95+174.5j
2017-10-18 08:30:00,301.5+172.5j,301.5+172.5j
2017-10-18 08:40:00,306.9+170.5j,306.9+170.5j
2017-10-18 08:50:00,312.45+168.5j,312.45+168.5j
2017-10-18 09:00:00,318+166.5j,318+166.5j
2017-10-18 09:10:00,314.4+171.25j,314.4+171.25j
2017-10-18 09:20:00,310.95+176j,310.95+176j
2017-10-18 09:30:00,307.5+180.75j,307.5+180.75j
2017-10-18 09:40:00,303.9+185.5j,303.9+185.5j
2017-10-18 09:50:00,300.45+190.25j,300.45+190.25j
2017-10-18 10:00:00,297+195j,297+195j
2017-10-18 10:10:00,296.4+193.76j,296.4+193.76j
2017-10-18 10:20:00,295.95+192.5j,295.95+192.5j
2017-10-18 10:30:00,295.5+191.25j,295.5+191.25j
2017-10-18 10:40:00,294.9+190j,294.9+190j
2017-10-18 10:50:00,294.45+188.75j,294.45+188.75j
2017-10-18 11:00:00,294+187.5j,294+187.5j
2017-10-18 11:10:00,297.9+189.5j,297.9+189.5j
2017-10-18 11:20:00,301.95+191.5j,301.95+191.5j
2017-10-18 11:30:00,306+193.5j,306+193.5j
2017-10-18 11:40:00,309.9+195.51j,309.9+195.51j
2017-10-18 11:50:00,313.95+197.49j,313.95+197.49j
2017-10-18 12:00:00,318+199.5j,318+199.5j
2017-10-18 12:10:00,319.95+213.75j,319.95+213.75j
2017-10-18 12:20:00,321.9+228j,321.9+228j
2017-10-18 12:30:00,324+242.25j,324+242.25j
2017-10-18 12:40:00,325.95+256.5j,325.95+256.5j
2017-10-18 12:50:00,327.9+270.75j,327.9+270.75j
2017-10-18 13:00:00,330+285j,330+285j
2017-10-18 13:10:00,328.65+277.26j,328.65+277.26j
2017-10-18 13:20:00,327.45+269.49j,327.45+269.49j
2017-10-18 13:30:00,326.25+261.75j,326.25+261.75j
2017-10-18 13:40:00,324.9+254.01j,324.9+254.01j
2017-10-18 13:50:00,323.7+246.24j,323.7+246.24j
2017-10-18 14:00:00,322.5+238.5j,322.5+238.5j
2017-10-18 14:10:00,321.45+246j,321.45+246j
2017-10-18 14:20:00,320.4+253.5j,320.4+253.5j
2017-10-18 14:30:00,319.5+261j,319.5+261j
2017-10-18 14:40:00,318.45+268.5j,318.45+268.5j
2017-10-18 14:50:00,317.4+276j,317.4+276j
2017-10-18 15:00:00,316.5+283.5j,316.5+283.5j
2017-10-18 15:10:00,322.2+281.5j,322.2+281.5j
2017-10-18 15:20:00,327.9+279.5j,327.9+279.5j
2017-10-18 15:30:00,333.75+277.5j,333.75+277.5j
2017-10-18 15:40:00,339.45+275.5j,339.45+275.5j
2017-10-18 15:50:00,345.15+273.5j,345.15+273.5j
2017-10-18 16:00:00,351+271.5j,351+271.5j
