#imPSTamp,P_Out
2017-10-18 00:00:00,0
2017-10-18 00:10:00,0
2017-10-18 00:20:00,0
2017-10-18 00:30:00,0
2017-10-18 00:40:00,0
2017-10-18 00:50:00,0
2017-10-18 01:00:00,0
2017-10-18 01:10:00,0
2017-10-18 01:20:00,0
2017-10-18 01:30:00,0
2017-10-18 01:40:00,0
2017-10-18 01:50:00,0
2017-10-18 02:00:00,0
2017-10-18 02:10:00,0
2017-10-18 02:20:00,0
2017-10-18 02:30:00,0
2017-10-18 02:40:00,0
2017-10-18 02:50:00,0
2017-10-18 03:00:00,0
2017-10-18 03:10:00,0
2017-10-18 03:20:00,0
2017-10-18 03:30:00,0
2017-10-18 03:40:00,0
2017-10-18 03:50:00,0
2017-10-18 04:00:00,0
2017-10-18 04:10:00,0
2017-10-18 04:20:00,0
2017-10-18 04:30:00,0
2017-10-18 04:40:00,0
2017-10-18 04:50:00,0
2017-10-18 05:00:00,0
2017-10-18 05:10:00,0
2017-10-18 05:20:00,0
2017-10-18 05:30:00,0
2017-10-18 05:40:00,0
2017-10-18 05:50:00,0
2017-10-18 06:00:00,0
2017-10-18 06:10:00,0
2017-10-18 06:20:00,0
2017-10-18 06:30:00,0
2017-10-18 06:40:00,0
2017-10-18 06:50:00,0
2017-10-18 07:00:00,0
2017-10-18 07:10:00,2000
2017-10-18 07:20:00,11000
2017-10-18 07:30:00,14600
2017-10-18 07:40:00,19300
2017-10-18 07:50:00,25700
2017-10-18 08:00:00,30800
2017-10-18 08:10:00,35800
2017-10-18 08:20:00,40900
2017-10-18 08:30:00,45900
2017-10-18 08:40:00,50600
2017-10-18 08:50:00,55300
2017-10-18 09:00:00,58300
2017-10-18 09:10:00,64400
2017-10-18 09:20:00,68800
2017-10-18 09:30:00,73100
2017-10-18 09:40:00,76200
2017-10-18 09:50:00,80900
2017-10-18 10:00:00,84900
2017-10-18 10:10:00,90700
2017-10-18 10:20:00,96300
2017-10-18 10:30:00,95300
2017-10-18 10:40:00,97600
2017-10-18 10:50:00,99800
2017-10-18 11:00:00,102400
2017-10-18 11:10:00,104500
2017-10-18 11:20:00,106500
2017-10-18 11:30:00,108400
2017-10-18 11:40:00,109700
2017-10-18 11:50:00,110500
2017-10-18 12:00:00,111400
2017-10-18 12:10:00,112700
2017-10-18 12:20:00,112700
2017-10-18 12:30:00,112900
2017-10-18 12:40:00,112900
2017-10-18 12:50:00,112400
2017-10-18 13:00:00,112700
2017-10-18 13:10:00,111800
2017-10-18 13:20:00,111700
2017-10-18 13:30:00,110000
2017-10-18 13:40:00,91100
2017-10-18 13:50:00,31500
2017-10-18 14:00:00,108400
2017-10-18 14:10:00,103500
2017-10-18 14:20:00,100600
2017-10-18 14:30:00,97500
2017-10-18 14:40:00,93900
2017-10-18 14:50:00,90900
2017-10-18 15:00:00,96400
2017-10-18 15:10:00,38200
2017-10-18 15:20:00,92700
2017-10-18 15:30:00,23100
2017-10-18 15:40:00,43000
2017-10-18 15:50:00,79200
2017-10-18 16:00:00,39100
2017-10-18 16:10:00,49900
2017-10-18 16:20:00,20700
2017-10-18 16:30:00,18400
2017-10-18 16:40:00,53900
2017-10-18 16:50:00,49800
2017-10-18 17:00:00,10300
2017-10-18 17:10:00,7600
2017-10-18 17:20:00,29900
2017-10-18 17:30:00,20700
2017-10-18 17:40:00,9800
2017-10-18 17:50:00,7300
2017-10-18 18:00:00,2400
2017-10-18 18:10:00,1000
2017-10-18 18:20:00,0
2017-10-18 18:30:00,0
2017-10-18 18:40:00,0
2017-10-18 18:50:00,0
2017-10-18 19:00:00,0
2017-10-18 19:10:00,0
2017-10-18 19:20:00,0
2017-10-18 19:30:00,0
2017-10-18 19:40:00,0
2017-10-18 19:50:00,0
2017-10-18 20:00:00,0
2017-10-18 20:10:00,0
2017-10-18 20:20:00,0
2017-10-18 20:30:00,0
2017-10-18 20:40:00,0
2017-10-18 20:50:00,0
2017-10-18 21:00:00,0
2017-10-18 21:10:00,0
2017-10-18 21:20:00,0
2017-10-18 21:30:00,0
2017-10-18 21:40:00,0
2017-10-18 21:50:00,0
2017-10-18 22:00:00,0
2017-10-18 22:10:00,0
2017-10-18 22:20:00,0
2017-10-18 22:30:00,0
2017-10-18 22:40:00,0
2017-10-18 22:50:00,0
2017-10-18 23:00:00,0
2017-10-18 23:10:00,0
2017-10-18 23:20:00,0
2017-10-18 23:30:00,0
2017-10-18 23:40:00,0
2017-10-18 23:50:00,0
