# file...... Medidor_carga.csv
# date...... Fri Jun 03 15:40:09 2022
# user...... leona
# host...... (null)
# target.... meter 62
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power, measured_reactive_power
2017-10-18 00:00:00 PDT,+294006,+149845
2017-10-18 00:10:00 PDT,+290098,+149147
2017-10-18 00:20:00 PDT,+286289,+148460
2017-10-18 00:30:00 PDT,+282481,+147764
2017-10-18 00:40:00 PDT,+278573,+147067
2017-10-18 00:50:00 PDT,+274765,+146381
2017-10-18 01:00:00 PDT,+270957,+145686
2017-10-18 01:10:00 PDT,+268355,+146499
2017-10-18 01:20:00 PDT,+265954,+147324
2017-10-18 01:30:00 PDT,+263453,+148138
2017-10-18 01:40:00 PDT,+260851,+148952
2017-10-18 01:50:00 PDT,+258450,+149777
2017-10-18 02:00:00 PDT,+255949,+150592
2017-10-18 02:10:00 PDT,+253746,+150579
2017-10-18 02:20:00 PDT,+251543,+150565
2017-10-18 02:30:00 PDT,+249441,+150552
2017-10-18 02:40:00 PDT,+247239,+150539
2017-10-18 02:50:00 PDT,+245036,+150526
2017-10-18 03:00:00 PDT,+242934,+150513
2017-10-18 03:10:00 PDT,+243034,+150344
2017-10-18 03:20:00 PDT,+243233,+150185
2017-10-18 03:30:00 PDT,+243433,+150016
2017-10-18 03:40:00 PDT,+243533,+149847
2017-10-18 03:50:00 PDT,+243733,+149688
2017-10-18 04:00:00 PDT,+243933,+149519
2017-10-18 04:10:00 PDT,+243933,+149689
2017-10-18 04:20:00 PDT,+243833,+149848
2017-10-18 04:30:00 PDT,+243934,+150019
2017-10-18 04:40:00 PDT,+243934,+150189
2017-10-18 04:50:00 PDT,+243834,+150349
2017-10-18 05:00:00 PDT,+243935,+150519
2017-10-18 05:10:00 PDT,+245236,+150357
2017-10-18 05:20:00 PDT,+246537,+150205
2017-10-18 05:30:00 PDT,+247938,+150043
2017-10-18 05:40:00 PDT,+249239,+149880
2017-10-18 05:50:00 PDT,+250540,+149728
2017-10-18 06:00:00 PDT,+251941,+149567
2017-10-18 06:10:00 PDT,+254438,+147078
2017-10-18 06:20:00 PDT,+256835,+144598
2017-10-18 06:30:00 PDT,+259432,+142110
2017-10-18 06:40:00 PDT,+261930,+139623
2017-10-18 06:50:00 PDT,+264327,+137143
2017-10-18 07:00:00 PDT,+266925,+134656
2017-10-18 07:10:00 PDT,+254002,+132075
2017-10-18 07:20:00 PDT,+241182,+129497
2017-10-18 07:30:00 PDT,+228365,+126924
2017-10-18 07:40:00 PDT,+215451,+124355
2017-10-18 07:50:00 PDT,+202640,+121791
2017-10-18 08:00:00 PDT,+189832,+119231
2017-10-18 08:10:00 PDT,+193430,+117915
2017-10-18 08:20:00 PDT,+197128,+116598
2017-10-18 08:30:00 PDT,+200826,+115283
2017-10-18 08:40:00 PDT,+204425,+113968
2017-10-18 08:50:00 PDT,+208124,+112653
2017-10-18 09:00:00 PDT,+211823,+111339
2017-10-18 09:10:00 PDT,+209428,+114493
2017-10-18 09:20:00 PDT,+207133,+117646
2017-10-18 09:30:00 PDT,+204838,+120801
2017-10-18 09:40:00 PDT,+202444,+123956
2017-10-18 09:50:00 PDT,+200150,+127110
