# file...... Medidor_potencia_SE.csv
# date...... Fri Jun 03 15:40:09 2022
# user...... leona
# host...... (null)
# target.... meter 12
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power, measured_reactive_power
2017-10-18 00:00:00 PDT,+275300,-58077.1
2017-10-18 00:10:00 PDT,+276986,-58105
2017-10-18 00:20:00 PDT,+276905,-58131.7
2017-10-18 00:30:00 PDT,+276460,-58158.4
2017-10-18 00:40:00 PDT,+275750,-58185.3
2017-10-18 00:50:00 PDT,+274770,-58210.9
2017-10-18 01:00:00 PDT,+270962,-58236.6
2017-10-18 01:10:00 PDT,+268360,-58253.4
2017-10-18 01:20:00 PDT,+265959,-58268.4
2017-10-18 01:30:00 PDT,+263457,-58284.3
2017-10-18 01:40:00 PDT,+260856,-58300.6
2017-10-18 01:50:00 PDT,+258455,-58315.1
2017-10-18 02:00:00 PDT,+255953,-58330.5
2017-10-18 02:10:00 PDT,+253751,-58344.1
2017-10-18 02:20:00 PDT,+251548,-58357.7
2017-10-18 02:30:00 PDT,+249446,-58370.5
2017-10-18 02:40:00 PDT,+247243,-58383.8
2017-10-18 02:50:00 PDT,+245041,-58397
2017-10-18 03:00:00 PDT,+242938,-58409.5
2017-10-18 03:10:00 PDT,+244352,-58409
2017-10-18 03:20:00 PDT,+245825,-58407.6
2017-10-18 03:30:00 PDT,+247182,-58406.6
2017-10-18 03:40:00 PDT,+247824,-58406.2
2017-10-18 03:50:00 PDT,+248768,-58404.8
2017-10-18 04:00:00 PDT,+249329,-58403.8
2017-10-18 04:10:00 PDT,+248966,-58403.6
2017-10-18 04:20:00 PDT,+248313,-58404.4
2017-10-18 04:30:00 PDT,+247822,-58403.6
2017-10-18 04:40:00 PDT,+246761,-58403.4
2017-10-18 04:50:00 PDT,+245336,-58404.2
2017-10-18 05:00:00 PDT,+243859,-58403.5
2017-10-18 05:10:00 PDT,+243386,-58396.1
2017-10-18 05:20:00 PDT,+242756,-58388.2
2017-10-18 05:30:00 PDT,+242462,-58380.1
2017-10-18 05:40:00 PDT,+242069,-58372.5
2017-10-18 05:50:00 PDT,+241978,-58364.5
2017-10-18 06:00:00 PDT,+242004,-58356.2
2017-10-18 06:10:00 PDT,+244271,-58341.9
2017-10-18 06:20:00 PDT,+249283,-58328.2
2017-10-18 06:30:00 PDT,+255476,-58312.5
2017-10-18 06:40:00 PDT,+261934,-58297.2
2017-10-18 06:50:00 PDT,+264332,-58282.7
2017-10-18 07:00:00 PDT,+266930,-58266.3
2017-10-18 07:10:00 PDT,+252006,-58348.5
2017-10-18 07:20:00 PDT,+230186,-58426.2
2017-10-18 07:30:00 PDT,+213769,-58499.3
2017-10-18 07:40:00 PDT,+196154,-58568.8
2017-10-18 07:50:00 PDT,+176943,-58633.4
2017-10-18 08:00:00 PDT,+159035,-58693.8
2017-10-18 08:10:00 PDT,+157633,-58676.8
2017-10-18 08:20:00 PDT,+156231,-58659.4
2017-10-18 08:30:00 PDT,+154929,-58641.2
2017-10-18 08:40:00 PDT,+153827,-58623.2
2017-10-18 08:50:00 PDT,+152826,-58604.7
2017-10-18 09:00:00 PDT,+153525,-58585.3
2017-10-18 09:10:00 PDT,+145030,-58598.7
2017-10-18 09:20:00 PDT,+138335,-58611.6
2017-10-18 09:30:00 PDT,+131741,-58623.7
2017-10-18 09:40:00 PDT,+126247,-58635.9
2017-10-18 09:50:00 PDT,+119252,-58647.7
2017-10-18 10:00:00 PDT,+112959,-58658.7
2017-10-18 10:10:00 PDT,+107003,-58660.6
2017-10-18 10:20:00 PDT,+101803,-58662.4
2017-10-18 10:30:00 PDT,+101567,-58663.7
2017-10-18 10:40:00 PDT,+99407.2,-58665.5
2017-10-18 10:50:00 PDT,+96647.3,-58667.2
2017-10-18 11:00:00 PDT,+93352.4,-58668.5
2017-10-18 11:10:00 PDT,+93690.3,-58656.4
2017-10-18 11:20:00 PDT,+94385.3,-58643.1
2017-10-18 11:30:00 PDT,+94343.6,-58630.2
2017-10-18 11:40:00 PDT,+96020.9,-58617.4
2017-10-18 11:50:00 PDT,+98666,-58603.5
2017-10-18 12:00:00 PDT,+100470,-58589.9
2017-10-18 12:10:00 PDT,+100493,-58580.9
2017-10-18 12:20:00 PDT,+102985,-58570
2017-10-18 12:30:00 PDT,+105149,-58555.9
2017-10-18 12:40:00 PDT,+107443,-58540.2
2017-10-18 12:50:00 PDT,+109863,-58522.6
2017-10-18 13:00:00 PDT,+111769,-57074.4
2017-10-18 13:10:00 PDT,+112008,-58514.2
2017-10-18 13:20:00 PDT,+111860,-58524.8
2017-10-18 13:30:00 PDT,+112458,-58535.3
2017-10-18 13:40:00 PDT,+129776,-58545.1
2017-10-18 13:50:00 PDT,+187684,-58551.9
2017-10-18 14:00:00 PDT,+108264,-58563
2017-10-18 14:10:00 PDT,+110750,-58562.7
2017-10-18 14:20:00 PDT,+112964,-58561.3
2017-10-18 14:30:00 PDT,+115478,-58559.2
