# file...... Medidor_potencia_inverosr_PV.txt
# date...... Fri Jun 03 15:40:09 2022
# user...... leona
# host...... (null)
# target.... meter 32
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power, measured_reactive_power
2017-10-18 00:00:00 PDT,+0,+0
2017-10-18 00:10:00 PDT,+0,+0
2017-10-18 00:20:00 PDT,+0,+0
2017-10-18 00:30:00 PDT,+0,+0
2017-10-18 00:40:00 PDT,+0,+0
2017-10-18 00:50:00 PDT,+0,+0
2017-10-18 01:00:00 PDT,+0,+0
2017-10-18 01:10:00 PDT,+0,+0
2017-10-18 01:20:00 PDT,+0,+0
2017-10-18 01:30:00 PDT,+0,+0
2017-10-18 01:40:00 PDT,+0,+0
2017-10-18 01:50:00 PDT,+0,+0
2017-10-18 02:00:00 PDT,+0,+0
2017-10-18 02:10:00 PDT,+0,+0
2017-10-18 02:20:00 PDT,+0,+0
2017-10-18 02:30:00 PDT,+0,+0
2017-10-18 02:40:00 PDT,+0,+0
2017-10-18 02:50:00 PDT,+0,+0
2017-10-18 03:00:00 PDT,+0,+0
2017-10-18 03:10:00 PDT,+0,+0
2017-10-18 03:20:00 PDT,+0,+0
2017-10-18 03:30:00 PDT,+0,+0
2017-10-18 03:40:00 PDT,+0,+0
2017-10-18 03:50:00 PDT,+0,+0
2017-10-18 04:00:00 PDT,+0,+0
2017-10-18 04:10:00 PDT,+0,+0
2017-10-18 04:20:00 PDT,+0,+0
2017-10-18 04:30:00 PDT,+0,+0
2017-10-18 04:40:00 PDT,+0,+0
2017-10-18 04:50:00 PDT,+0,+0
2017-10-18 05:00:00 PDT,+0,+0
2017-10-18 05:10:00 PDT,+0,+0
2017-10-18 05:20:00 PDT,+0,+0
2017-10-18 05:30:00 PDT,+0,+0
2017-10-18 05:40:00 PDT,+0,+0
2017-10-18 05:50:00 PDT,+0,+0
2017-10-18 06:00:00 PDT,+0,+0
2017-10-18 06:10:00 PDT,+0,+0
2017-10-18 06:20:00 PDT,+0,+0
2017-10-18 06:30:00 PDT,+0,+0
2017-10-18 06:40:00 PDT,+0,+0
2017-10-18 06:50:00 PDT,+0,+0
2017-10-18 07:00:00 PDT,+0,+0
2017-10-18 07:10:00 PDT,-2000,-1.77636e-15
2017-10-18 07:20:00 PDT,-11000,+0
2017-10-18 07:30:00 PDT,-14600,+4.54747e-13
2017-10-18 07:40:00 PDT,-19300,+4.54747e-13
2017-10-18 07:50:00 PDT,-25700,-8.95284e-13
2017-10-18 08:00:00 PDT,-30800,+9.09495e-13
2017-10-18 08:10:00 PDT,-35800,+8.81073e-13
2017-10-18 08:20:00 PDT,-40900,+0
2017-10-18 08:30:00 PDT,-45900,+9.37916e-13
2017-10-18 08:40:00 PDT,-50600,+9.37916e-13
2017-10-18 08:50:00 PDT,-55300,+9.09495e-13
2017-10-18 09:00:00 PDT,-58300,-2.84217e-14
2017-10-18 09:10:00 PDT,-64400,+2.84217e-14
2017-10-18 09:20:00 PDT,-68800,+2.84217e-14
2017-10-18 09:30:00 PDT,-73100,-1.87583e-12
2017-10-18 09:40:00 PDT,-76200,+1.81899e-12
2017-10-18 09:50:00 PDT,-80900,+1.81899e-12
2017-10-18 10:00:00 PDT,-84900,-1.81899e-12
2017-10-18 10:10:00 PDT,-90700,-1.81899e-12
2017-10-18 10:20:00 PDT,-96300,-1.81899e-12
2017-10-18 10:30:00 PDT,-95300,-1.76215e-12
2017-10-18 10:40:00 PDT,-97600,-1.81899e-12
2017-10-18 10:50:00 PDT,-99800,-1.81899e-12
2017-10-18 11:00:00 PDT,-102400,+0
2017-10-18 11:10:00 PDT,-104500,+0
2017-10-18 11:20:00 PDT,-106500,-3.58114e-12
2017-10-18 11:30:00 PDT,-108400,+1.81899e-12
2017-10-18 11:40:00 PDT,-109700,-1.76215e-12
2017-10-18 11:50:00 PDT,-110500,-7.27596e-12
2017-10-18 12:00:00 PDT,-111400,+7.27596e-12
2017-10-18 12:10:00 PDT,-112700,+0
2017-10-18 12:20:00 PDT,-112700,-3.63798e-12
2017-10-18 12:30:00 PDT,-112900,+0
2017-10-18 12:40:00 PDT,-112900,+1.81899e-12
2017-10-18 12:50:00 PDT,-112400,+5.68434e-14
2017-10-18 13:00:00 PDT,-112700,-1.81899e-12
2017-10-18 13:10:00 PDT,-111800,+0
2017-10-18 13:20:00 PDT,-111700,+0
2017-10-18 13:30:00 PDT,-110000,+3.58114e-12
2017-10-18 13:40:00 PDT,-91100,-5.68434e-14
2017-10-18 13:50:00 PDT,-31500,+9.09495e-13
2017-10-18 14:00:00 PDT,-108400,-1.76215e-12
2017-10-18 14:10:00 PDT,-103500,-1.81899e-12
2017-10-18 14:20:00 PDT,-100600,-3.63798e-12
2017-10-18 14:30:00 PDT,-97500,-5.68434e-14
2017-10-18 14:40:00 PDT,-93900,-3.69482e-12
2017-10-18 14:50:00 PDT,-90900,+0
2017-10-18 15:00:00 PDT,-96400,+0
2017-10-18 15:10:00 PDT,-38200,+2.84217e-14
2017-10-18 15:20:00 PDT,-92700,+0
2017-10-18 15:30:00 PDT,-23100,+4.54747e-13
2017-10-18 15:40:00 PDT,-43000,+2.84217e-14
2017-10-18 15:50:00 PDT,-79200,+3.63798e-12
2017-10-18 16:00:00 PDT,-39100,+8.81073e-13
2017-10-18 16:10:00 PDT,-49900,+9.09495e-13
2017-10-18 16:20:00 PDT,-20700,-4.54747e-13
2017-10-18 16:30:00 PDT,-18400,+4.54747e-13
2017-10-18 16:40:00 PDT,-53900,-5.68434e-14
2017-10-18 16:50:00 PDT,-49800,+0
2017-10-18 17:00:00 PDT,-10300,+0
2017-10-18 17:10:00 PDT,-7600,+0
2017-10-18 17:20:00 PDT,-29900,+0
2017-10-18 17:30:00 PDT,-20700,-9.09495e-13
2017-10-18 17:40:00 PDT,-9800,-7.10543e-15
2017-10-18 17:50:00 PDT,-7300,+0
2017-10-18 18:00:00 PDT,-2400,+5.68434e-14
2017-10-18 18:10:00 PDT,-1000,-2.84217e-14
2017-10-18 18:20:00 PDT,+0,+0
2017-10-18 18:30:00 PDT,+0,+0
2017-10-18 18:40:00 PDT,+0,+0
2017-10-18 18:50:00 PDT,+0,+0
2017-10-18 19:00:00 PDT,+0,+0
2017-10-18 19:10:00 PDT,+0,+0
2017-10-18 19:20:00 PDT,+0,+0
2017-10-18 19:30:00 PDT,+0,+0
2017-10-18 19:40:00 PDT,+0,+0
2017-10-18 19:50:00 PDT,+0,+0
2017-10-18 20:00:00 PDT,+0,+0
2017-10-18 20:10:00 PDT,+0,+0
2017-10-18 20:20:00 PDT,+0,+0
2017-10-18 20:30:00 PDT,+0,+0
2017-10-18 20:40:00 PDT,+0,+0
2017-10-18 20:50:00 PDT,+0,+0
2017-10-18 21:00:00 PDT,+0,+0
2017-10-18 21:10:00 PDT,+0,+0
2017-10-18 21:20:00 PDT,+0,+0
2017-10-18 21:30:00 PDT,+0,+0
2017-10-18 21:40:00 PDT,+0,+0
2017-10-18 21:50:00 PDT,+0,+0
2017-10-18 22:00:00 PDT,+0,+0
2017-10-18 22:10:00 PDT,+0,+0
2017-10-18 22:20:00 PDT,+0,+0
2017-10-18 22:30:00 PDT,+0,+0
2017-10-18 22:40:00 PDT,+0,+0
2017-10-18 22:50:00 PDT,+0,+0
2017-10-18 23:00:00 PDT,+0,+0
2017-10-18 23:10:00 PDT,+0,+0
2017-10-18 23:20:00 PDT,+0,+0
2017-10-18 23:30:00 PDT,+0,+0
2017-10-18 23:40:00 PDT,+0,+0
2017-10-18 23:50:00 PDT,+0,+0
