#time,Q_Out
2017-10-18 00:00:00,207927.275
2017-10-18 00:10:00,207257.275
2017-10-18 00:20:00,206597.275
2017-10-18 00:30:00,205927.275
2017-10-18 00:40:00,205257.275
2017-10-18 00:50:00,204597.275
2017-10-18 01:00:00,203927.275
2017-10-18 01:10:00,204757.275
2017-10-18 01:20:00,205597.275
2017-10-18 01:30:00,206427.275
2017-10-18 01:40:00,207257.275
2017-10-18 01:50:00,208097.275
2017-10-18 02:00:00,208927.275
2017-10-18 02:10:00,208927.275
2017-10-18 02:20:00,208927.275
2017-10-18 02:30:00,208927.275
2017-10-18 02:40:00,208927.275
2017-10-18 02:50:00,208927.275
2017-10-18 03:00:00,208927.275
2017-10-18 03:10:00,208757.275
2017-10-18 03:20:00,208597.275
2017-10-18 03:30:00,208427.275
2017-10-18 03:40:00,208257.275
2017-10-18 03:50:00,208097.275
2017-10-18 04:00:00,207927.275
2017-10-18 04:10:00,208097.275
2017-10-18 04:20:00,208257.275
2017-10-18 04:30:00,208427.275
2017-10-18 04:40:00,208597.275
2017-10-18 04:50:00,208757.275
2017-10-18 05:00:00,208927.275
2017-10-18 05:10:00,208757.275
2017-10-18 05:20:00,208597.275
2017-10-18 05:30:00,208427.275
2017-10-18 05:40:00,208257.275
2017-10-18 05:50:00,208097.275
2017-10-18 06:00:00,207927.275
2017-10-18 06:10:00,205424.275
2017-10-18 06:20:00,202930.275
2017-10-18 06:30:00,200427.275
2017-10-18 06:40:00,197924.275
2017-10-18 06:50:00,195430.275
2017-10-18 07:00:00,192927.275
2017-10-18 07:10:00,190427.275
2017-10-18 07:20:00,187927.275
2017-10-18 07:30:00,185427.275
2017-10-18 07:40:00,182927.275
2017-10-18 07:50:00,180427.275
2017-10-18 08:00:00,177927.275
2017-10-18 08:10:00,176594.275
2017-10-18 08:20:00,175260.275
2017-10-18 08:30:00,173927.275
2017-10-18 08:40:00,172594.275
2017-10-18 08:50:00,171260.275
2017-10-18 09:00:00,169927.275
2017-10-18 09:10:00,173094.275
2017-10-18 09:20:00,176260.275
2017-10-18 09:30:00,179427.275
2017-10-18 09:40:00,182594.275
2017-10-18 09:50:00,185760.275
2017-10-18 10:00:00,188927.275
2017-10-18 10:10:00,188097.275
2017-10-18 10:20:00,187260.275
2017-10-18 10:30:00,186427.275
2017-10-18 10:40:00,185594.275
2017-10-18 10:50:00,184760.275
2017-10-18 11:00:00,183927.275
2017-10-18 11:10:00,185261.275
2017-10-18 11:20:00,186593.275
2017-10-18 11:30:00,187927.275
2017-10-18 11:40:00,189264.275
2017-10-18 11:50:00,190590.275
2017-10-18 12:00:00,191927.275
2017-10-18 12:10:00,201424.275
2017-10-18 12:20:00,210930.275
2017-10-18 12:30:00,220427.275
2017-10-18 12:40:00,229924.275
2017-10-18 12:50:00,239430.275
2017-10-18 13:00:00,247500
2017-10-18 13:10:00,243764.275
2017-10-18 13:20:00,238590.275
2017-10-18 13:30:00,233427.275
2017-10-18 13:40:00,228264.275
2017-10-18 13:50:00,223090.275
2017-10-18 14:00:00,217927.275
2017-10-18 14:10:00,222930.275
2017-10-18 14:20:00,227924.275
2017-10-18 14:30:00,232927.275
2017-10-18 14:40:00,237930.275
2017-10-18 14:50:00,242924.275
2017-10-18 15:00:00,247500
2017-10-18 15:10:00,246594.275
2017-10-18 15:20:00,245260.275
2017-10-18 15:30:00,243927.275
2017-10-18 15:40:00,242594.275
2017-10-18 15:50:00,241260.275
2017-10-18 16:00:00,239927.275
2017-10-18 16:10:00,240424.275
2017-10-18 16:20:00,240930.275
2017-10-18 16:30:00,241427.275
2017-10-18 16:40:00,241924.275
2017-10-18 16:50:00,242430.275
2017-10-18 17:00:00,242927.275
2017-10-18 17:10:00,242264.275
2017-10-18 17:20:00,241590.275
2017-10-18 17:30:00,240927.275
2017-10-18 17:40:00,240264.275
2017-10-18 17:50:00,239590.275
2017-10-18 18:00:00,238927.275
2017-10-18 18:10:00,238760.275
2017-10-18 18:20:00,238594.275
2017-10-18 18:30:00,238427.275
2017-10-18 18:40:00,238260.275
2017-10-18 18:50:00,238094.275
2017-10-18 19:00:00,237927.275
2017-10-18 19:10:00,239594.275
2017-10-18 19:20:00,241260.275
2017-10-18 19:30:00,242927.275
2017-10-18 19:40:00,244594.275
2017-10-18 19:50:00,246260.275
2017-10-18 20:00:00,247500
2017-10-18 20:10:00,247500
2017-10-18 20:20:00,245482.8775
2017-10-18 20:30:00,241192.9025
2017-10-18 20:40:00,235099.39
2017-10-18 20:50:00,226773.9
2017-10-18 21:00:00,216728.1675
2017-10-18 21:10:00,219978.745
2017-10-18 21:20:00,223229.32
2017-10-18 21:30:00,225738.605
2017-10-18 21:40:00,228197.43
2017-10-18 21:50:00,230656.2525
2017-10-18 22:00:00,233071.94
2017-10-18 22:10:00,236554.225
2017-10-18 22:20:00,239324.98
2017-10-18 22:30:00,242126.865
2017-10-18 22:40:00,244007.98
2017-10-18 22:50:00,243760.275
2017-10-18 23:00:00,241927.275
2017-10-18 23:10:00,244097.275
2017-10-18 23:20:00,246257.275
2017-10-18 23:30:00,247500
2017-10-18 23:40:00,247500
2017-10-18 23:50:00,247500
