# perfil_de_tensao_FDC.csv run at 2017-10-18 21:00:00 PDT on 470 powerflow objects (not all are nodes)
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
barra_Rede_principal,19918.500000,0.000000,19918.500000,4.188790,19918.500000,2.094395
medidor_linha,19918.499898,-0.000000,19918.499931,4.188790,19918.499921,2.094395
barra_1,19814.877046,-0.028264,19847.355553,4.161398,19841.532706,2.065199
medidor_SE,7920.061477,-0.029686,7933.826326,4.159992,7931.201257,2.063701
barra_2,7919.979854,-0.029695,7933.771835,4.159983,7931.138639,2.063690
barra_BAT_1,7920.025203,-0.029700,7933.813931,4.159979,7931.185086,2.063687
barra_BAT_2,7920.024420,-0.029700,7933.813149,4.159979,7931.184304,2.063686
medidor_BAT,7920.028844,-0.029701,7933.817256,4.159979,7931.188836,2.063686
barra_PV_1,7919.979854,-0.029695,7933.771835,4.159983,7931.138639,2.063690
barra_PV_2,7919.979854,-0.029695,7933.771835,4.159983,7931.138639,2.063690
medidor_PV,7919.979854,-0.029695,7933.771835,4.159983,7931.138639,2.063690
barra_2_saida,7919.725911,-0.029704,7933.578662,4.159972,7930.920507,2.063677
medidor_carga,7919.852882,-0.029700,7933.675248,4.159977,7931.029573,2.063684
barra_trafo_1,7916.270002,-0.029798,7930.657726,4.159805,7928.145454,2.063500
barra_trafo_2,7916.155760,-0.029800,7930.555811,4.159798,7928.065704,2.063494
barra_trafo_3,7918.042787,-0.029751,7932.162770,4.159891,7929.564413,2.063592
barra_trafo_4,7918.025950,-0.029751,7932.148467,4.159890,7929.554431,2.063591
barra_trafo_5,7918.031506,-0.029751,7932.153187,4.159890,7929.557725,2.063591
barra_trafo_6,7917.013510,-0.029780,7931.297406,4.159842,7928.722679,2.063539
barra_trafo_7,7916.984390,-0.029781,7931.272919,4.159841,7928.700743,2.063538
barra_trafo_8,7915.502080,-0.029829,7930.044355,4.159774,7927.444944,2.063463
barra_trafo_9,7915.095382,-0.029841,7929.705146,4.159755,7927.104428,2.063442
barra_trafo_10,7914.675803,-0.029842,7929.327254,4.159751,7926.723251,2.063436
barra_trafo_11,7914.339252,-0.029842,7929.027653,4.159748,7926.414604,2.063432
barra_trafo_12,7914.838217,-0.029841,7929.471597,4.159752,7926.872443,2.063438
barra_trafo_13,7916.124649,-0.029801,7930.538737,4.159809,7927.968401,2.063502
barra_trafo_14,7916.107021,-0.029801,7930.520961,4.159808,7927.955210,2.063501
barra_trafo_15,7916.095032,-0.029801,7930.510617,4.159808,7927.943828,2.063501
barra_trafo_16,7916.363884,-0.029796,7930.737152,4.159811,7928.212325,2.063506
barra_trafo_17,7916.367757,-0.029796,7930.739560,4.159811,7928.217304,2.063506
barra_trafo_18,7916.395564,-0.029796,7930.768414,4.159812,7928.230776,2.063508
barra_trafo_19,7916.294962,-0.029798,7930.679834,4.159806,7928.163145,2.063502
barra_trafo_20,7916.294962,-0.029798,7930.679834,4.159806,7928.163145,2.063502
barra_trafo_21,7916.294962,-0.029798,7930.679834,4.159806,7928.163145,2.063502
barra_trafo_22,7916.294962,-0.029798,7930.679834,4.159806,7928.163145,2.063502
barra_trafo_23,7916.294962,-0.029798,7930.679834,4.159806,7928.163145,2.063502
barra_trafo_24,7916.294962,-0.029798,7930.679834,4.159806,7928.163145,2.063502
barra_trafo_25,7916.294962,-0.029798,7930.679834,4.159806,7928.163145,2.063502
barra_trafo_26,7916.294962,-0.029798,7930.679834,4.159806,7928.163145,2.063502
barra_trafo_27,7916.377239,-0.029796,7930.751986,4.159811,7928.220388,2.063506
barra_trafo_28,7916.128068,-0.029800,7930.530369,4.159799,7928.035968,2.063495
barra_trafo_29,7916.127933,-0.029800,7930.527567,4.159798,7928.042652,2.063494
barra_trafo_30,7916.076418,-0.029799,7930.473975,4.159797,7928.004521,2.063493
barra_trafo_31,7916.079924,-0.029798,7930.473495,4.159797,7928.011869,2.063493
barra_trafo_32,7916.050137,-0.029799,7930.450260,4.159797,7927.980877,2.063492
barra_trafo_33,7915.992914,-0.029797,7930.393711,4.159797,7927.929215,2.063493
barra_trafo_34,7910.888089,-0.029806,7925.824524,4.159770,7923.145724,2.063439
barra_trafo_35,7909.237387,-0.029810,7924.346074,4.159757,7921.626607,2.063418
barra_trafo_36,7908.842402,-0.029811,7923.991938,4.159753,7921.263101,2.063412
barra_trafo_37,7908.745653,-0.029811,7923.905865,4.159752,7921.173918,2.063411
barra_trafo_38,7908.770322,-0.029811,7923.927371,4.159753,7921.196743,2.063411
barra_trafo_39,7908.861346,-0.029811,7924.009046,4.159753,7921.280504,2.063413
barra_trafo_40,7909.073050,-0.029805,7924.187142,4.159760,7921.469774,2.063420
barra_trafo_41,7908.935751,-0.029806,7924.064802,4.159759,7921.343299,2.063418
barra_trafo_42,7916.298910,-0.029795,7930.681868,4.159816,7928.120270,2.063510
barra_3,7918.816152,-0.029729,7932.813477,4.159929,7930.184047,2.063631
barra_4,7918.072354,-0.029750,7932.187886,4.159893,7929.581943,2.063593
barra_5,7917.079075,-0.029779,7931.352732,4.159846,7928.771256,2.063542
barra_6,7916.883957,-0.029785,7931.188693,4.159836,7928.611632,2.063532
barra_7,7916.495597,-0.029795,7930.858670,4.159818,7928.300686,2.063512
barra_8,7916.413091,-0.029796,7930.784819,4.159813,7928.245591,2.063508
barra_9,7916.387267,-0.029796,7930.761592,4.159811,7928.228569,2.063507
barra_10,7916.294962,-0.029798,7930.679834,4.159806,7928.163145,2.063502
barra_11,7916.180166,-0.029800,7930.577808,4.159800,7928.082250,2.063496
barra_12,7916.163559,-0.029800,7930.562742,4.159799,7928.071171,2.063495
barra_13,7918.031506,-0.029751,7932.153187,4.159890,7929.557725,2.063591
barra_14,7916.339464,-0.029802,7930.737138,4.159811,7928.154267,2.063505
barra_15,7914.861732,-0.029841,7929.494568,4.159753,7926.892289,2.063439
barra_16,7914.686442,-0.029842,7929.337188,4.159751,7926.732628,2.063437
barra_17,7916.112624,-0.029801,7930.527091,4.159809,7927.958741,2.063501
barra_18,7916.368687,-0.029796,7930.741849,4.159811,7928.216112,2.063506
barra_19,7916.294962,-0.029798,7930.679834,4.159806,7928.163145,2.063502
barra_20,7916.294962,-0.029798,7930.679834,4.159806,7928.163145,2.063502
barra_21,7916.294962,-0.029798,7930.679834,4.159806,7928.163145,2.063502
barra_22,7916.082487,-0.029799,7930.480343,4.159797,7928.008946,2.063493
barra_23,7909.758024,-0.029809,7924.811895,4.159761,7922.105866,2.063424
barra_24,7908.904840,-0.029810,7924.048073,4.159754,7921.320528,2.063413
barra_25,7908.861346,-0.029811,7924.009046,4.159753,7921.280504,2.063413
barra_26,7909.316044,-0.029809,7924.414086,4.159757,7921.699619,2.063418
barra_27,7909.084334,-0.029805,7924.197574,4.159760,7921.480085,2.063420
barra_trafo_43,7917.113756,-0.029831,7932.208834,4.159912,7928.292221,2.063534
barra_trafo_44,7917.590770,-0.029805,7932.443961,4.159922,7928.793283,2.063561
barra_trafo_45,7916.185804,-0.029847,7931.518646,4.159896,7927.447129,2.063503
barra_trafo_46,7916.305463,-0.029848,7931.629775,4.159898,7927.545066,2.063505
barra_trafo_47,7915.007088,-0.029914,7931.347801,4.159929,7925.756613,2.063470
barra_trafo_48,7915.143242,-0.029916,7931.479803,4.159932,7925.856451,2.063473
barra_trafo_49,7913.257009,-0.029894,0.000000,0.000000,7923.399779,2.063540
barra_trafo_50,7912.759053,-0.029889,0.000000,0.000000,7922.764282,2.063557
barra_trafo_51,7912.726934,-0.029888,0.000000,0.000000,7922.723286,2.063558
barra_trafo_52,7912.644973,-0.029887,0.000000,0.000000,7922.618685,2.063561
barra_trafo_53,7912.381405,-0.029884,0.000000,0.000000,7922.282312,2.063570
barra_trafo_54,7912.206155,-0.029882,0.000000,0.000000,7922.058661,2.063575
barra_trafo_55,7912.009772,-0.029880,0.000000,0.000000,7921.808034,2.063582
barra_trafo_56,7911.944562,-0.029879,0.000000,0.000000,7921.724814,2.063584
barra_trafo_57,7911.854325,-0.029878,0.000000,0.000000,7921.609654,2.063587
barra_trafo_58,7912.205494,-0.029882,0.000000,0.000000,7922.057806,2.063575
barra_trafo_59,7911.772467,-0.029877,0.000000,0.000000,7921.505133,2.063590
barra_trafo_60,7911.558971,-0.029875,0.000000,0.000000,7921.232633,2.063597
barra_trafo_61,7911.540588,-0.029875,0.000000,0.000000,7921.209171,2.063598
barra_trafo_62,7911.587538,-0.029875,0.000000,0.000000,7921.269092,2.063596
barra_trafo_63,7911.452135,-0.029873,0.000000,0.000000,7921.096275,2.063600
barra_trafo_64,7911.424164,-0.029873,0.000000,0.000000,7921.060574,2.063601
barra_trafo_65,7911.431558,-0.029873,0.000000,0.000000,7921.070011,2.063601
barra_trafo_66,7911.394720,-0.029873,0.000000,0.000000,7921.022993,2.063602
barra_trafo_67,7911.340257,-0.029872,0.000000,0.000000,7920.953478,2.063604
barra_trafo_68,7913.263420,-0.029894,0.000000,0.000000,7923.407972,2.063540
barra_trafo_69,7912.795385,-0.029889,0.000000,0.000000,7922.810672,2.063556
barra_trafo_70,7912.314522,-0.029883,0.000000,0.000000,7922.196972,2.063572
barra_trafo_71,7912.057461,-0.029880,0.000000,0.000000,7921.868900,2.063581
barra_trafo_72,7911.658725,-0.029876,0.000000,0.000000,7921.360018,2.063594
barra_trafo_73,7910.700411,-0.029865,0.000000,0.000000,7920.136975,2.063626
barra_trafo_74,7910.469708,-0.029862,0.000000,0.000000,7919.842538,2.063633
barra_trafo_75,7910.433579,-0.029861,0.000000,0.000000,7919.796429,2.063635
barra_trafo_76,7910.384721,-0.029861,0.000000,0.000000,7919.734075,2.063636
barra_trafo_77,7910.161418,-0.029858,0.000000,0.000000,7919.449084,2.063644
barra_trafo_78,7910.065819,-0.029857,0.000000,0.000000,7919.327077,2.063647
barra_trafo_79,7910.058313,-0.029857,0.000000,0.000000,7919.317496,2.063647
barra_trafo_80,7909.955771,-0.029856,0.000000,0.000000,7919.186640,2.063651
barra_trafo_81,7909.970729,-0.029856,0.000000,0.000000,7919.205731,2.063650
barra_trafo_82,7909.956437,-0.029856,0.000000,0.000000,7919.187484,2.063651
barra_trafo_83,7910.996994,-0.029868,0.000000,0.000000,7920.515525,2.063616
barra_trafo_84,7910.906455,-0.029867,0.000000,0.000000,7920.400004,2.063619
barra_trafo_85,7910.893532,-0.029867,0.000000,0.000000,7920.383516,2.063619
barra_trafo_86,7910.878179,-0.029867,0.000000,0.000000,7920.363922,2.063620
barra_trafo_87,7910.976517,-0.029868,0.000000,0.000000,7920.489398,2.063617
barra_trafo_88,7910.976517,-0.029868,0.000000,0.000000,7920.489398,2.063617
barra_trafo_89,7916.042266,-0.029880,7931.711542,4.159907,7927.091252,2.063486
barra_28,7919.269255,-0.029726,7933.338731,4.159962,7930.462156,2.063652
barra_29,7917.612330,-0.029806,7932.468160,4.159923,7928.799089,2.063562
barra_30,7917.611555,-0.029806,7932.467426,4.159923,7928.799108,2.063562
barra_31,7916.717587,-0.029853,7932.023345,4.159906,7927.857481,2.063512
barra_32,7916.384270,-0.029880,7931.930092,4.159909,7927.413363,2.063492
barra_33,7916.163624,-0.029885,7931.842331,4.159912,7927.147896,2.063489
barra_34,7915.242149,-0.029917,7931.573683,4.159934,7925.933248,2.063474
barra_35,7913.718696,-0.029900,0.000000,0.000000,7923.988993,2.063525
barra_36,7912.781757,-0.029889,0.000000,0.000000,7922.793252,2.063556
barra_37,7912.652848,-0.029887,0.000000,0.000000,7922.628735,2.063561
barra_38,7911.812472,-0.029878,0.000000,0.000000,7921.556185,2.063589
barra_39,7911.591089,-0.029875,0.000000,0.000000,7921.273626,2.063596
barra_40,7911.668635,-0.029876,0.000000,0.000000,7921.372666,2.063594
barra_41,7911.122731,-0.029869,0.000000,0.000000,7920.675969,2.063612
barra_42,7910.707662,-0.029865,0.000000,0.000000,7920.146229,2.063626
barra_43,7910.084458,-0.029857,0.000000,0.000000,7919.350868,2.063646
barra_44,7909.982854,-0.029856,0.000000,0.000000,7919.221204,2.063650
barra_45,7910.976517,-0.029868,0.000000,0.000000,7920.489398,2.063617
carga_1,126.131954,-0.554993,126.162344,3.635710,126.356450,1.540153
carga_2,126.161582,-0.554843,126.192111,3.635862,126.386266,1.540302
carga_4,126.189370,-0.554759,126.217469,3.635918,126.409957,1.540389
carga_6,126.114432,-0.555101,126.143864,3.635592,126.337358,1.540047
carga_7,126.079525,-0.555273,126.109002,3.635420,126.302574,1.539875
carga_8,124.342707,-0.563799,124.374565,3.626920,124.572235,1.531377
carga_9,125.926028,-0.555977,125.958004,3.634744,126.153496,1.539170
carga_10,126.046569,-0.555353,126.078854,3.635372,126.274384,1.539792
carga_11,125.173799,-0.559641,125.206585,3.631088,125.403678,1.535518
carga_12,126.134453,-0.554929,126.166584,3.635794,126.361890,1.540214
carga_13,125.862746,-0.556312,125.893291,3.634393,126.087886,1.538839
carga_14,126.217102,-0.554558,126.247575,3.636146,126.441631,1.540586
carga_15,126.107905,-0.555097,126.138413,3.635607,126.332645,1.540049
carga_16,126.179709,-0.554758,126.209956,3.635943,126.403903,1.540387
carga_17,126.253953,-0.554391,126.284179,3.636310,126.478009,1.540753
carga_18,126.117602,-0.555067,126.147826,3.635635,126.341845,1.540080
carga_27,126.158312,-0.554865,126.188553,3.635836,126.382527,1.540280
carga_28,125.985977,-0.555709,126.016560,3.634996,126.210994,1.539439
carga_29,126.091973,-0.555185,126.122538,3.635520,126.316812,1.539961
carga_30,126.209223,-0.554602,126.239803,3.636103,126.433921,1.540542
carga_31,126.249616,-0.554402,126.280183,3.636303,126.474236,1.540741
carga_32,126.065311,-0.555312,126.095947,3.635394,126.290301,1.539834
carga_33,126.143901,-0.554918,126.174550,3.635788,126.368804,1.540227
carga_34,126.018350,-0.555185,126.053012,3.635566,126.250154,1.539956
carga_35,124.925721,-0.560476,124.962036,3.630293,125.161828,1.534683
carga_36,125.439095,-0.557914,125.475578,3.632858,125.674753,1.537235
carga_37,125.066370,-0.559749,125.103044,3.631024,125.302875,1.535407
carga_38,125.352679,-0.558336,125.389247,3.632436,125.588600,1.536814
carga_40,125.868919,-0.555798,125.905034,3.634969,126.103355,1.539343
carga_41,125.116128,-0.559511,125.152575,3.631260,125.352179,1.535644
carga_42,126.164634,-0.554824,126.194886,3.635877,126.388864,1.540321
carga_43,126.139122,-0.554982,126.173192,3.635758,126.369542,1.540157
carga_44,126.230298,-0.554544,126.262795,3.636179,126.457997,1.540596
carga_45,125.914249,-0.556048,125.950169,3.634712,126.148016,1.539093
carga_46,126.092486,-0.555175,126.128259,3.635584,126.325764,1.539963
carga_47,125.943553,-0.555828,125.986676,3.634983,126.186449,1.539288
carga_48,125.763138,-0.556729,125.806212,3.634082,126.006208,1.538391
carga_49,126.040183,-0.031114,0.000000,0.000000,126.202025,2.062324
carga_50,125.861706,-0.032942,0.000000,0.000000,126.021571,2.060512
carga_51,125.993906,-0.031515,0.000000,0.000000,126.153459,2.061936
carga_52,126.002056,-0.031412,0.000000,0.000000,126.161237,2.062040
carga_53,125.969464,-0.031714,0.000000,0.000000,126.127518,2.061744
carga_54,125.824361,-0.033242,0.000000,0.000000,125.981822,2.060224
carga_55,126.001376,-0.031303,0.000000,0.000000,126.157744,2.062162
carga_56,125.934078,-0.032015,0.000000,0.000000,126.090241,2.061453
carga_57,125.921265,-0.032136,0.000000,0.000000,126.077044,2.061334
carga_58,125.681426,-0.034774,0.000000,0.000000,125.839066,2.058696
carga_59,125.902892,-0.032319,0.000000,0.000000,126.058331,2.061154
carga_60,126.013089,-0.031095,0.000000,0.000000,126.167445,2.062380
carga_61,125.974970,-0.031502,0.000000,0.000000,126.129292,2.061974
carga_62,126.081519,-0.030363,0.000000,0.000000,126.235918,2.063109
carga_63,126.011384,-0.031093,0.000000,0.000000,126.165269,2.062384
carga_64,126.010938,-0.031093,0.000000,0.000000,126.164700,2.062384
carga_65,125.973230,-0.031500,0.000000,0.000000,126.127071,2.061978
carga_66,126.010468,-0.031093,0.000000,0.000000,126.164100,2.062385
carga_67,126.009599,-0.031092,0.000000,0.000000,126.162991,2.062387
carga_68,126.078059,-0.030707,0.000000,0.000000,126.239880,2.062730
carga_69,125.647868,-0.035241,0.000000,0.000000,125.808172,2.058218
carga_70,126.025144,-0.031103,0.000000,0.000000,126.182832,2.062355
carga_71,126.089014,-0.030368,0.000000,0.000000,126.245484,2.063094
carga_72,126.014680,-0.031096,0.000000,0.000000,126.169478,2.062377
carga_73,125.961560,-0.031492,0.000000,0.000000,126.112179,2.062002
carga_74,125.995708,-0.031082,0.000000,0.000000,126.145264,2.062416
carga_75,125.995131,-0.031082,0.000000,0.000000,126.144529,2.062417
carga_76,125.880728,-0.032304,0.000000,0.000000,126.030046,2.061199
carga_77,125.982686,-0.031166,0.000000,0.000000,126.130893,2.062339
carga_78,125.951431,-0.031485,0.000000,0.000000,126.099252,2.062023
carga_79,125.989143,-0.031077,0.000000,0.000000,126.136886,2.062430
carga_80,125.868186,-0.032360,0.000000,0.000000,126.015618,2.061152
carga_81,125.771512,-0.033401,0.000000,0.000000,125.919125,2.060113
carga_82,125.987518,-0.031076,0.000000,0.000000,126.134812,2.062433
carga_83,126.004121,-0.031088,0.000000,0.000000,126.156003,2.062399
carga_84,126.002677,-0.031087,0.000000,0.000000,126.154159,2.062402
carga_85,125.545624,-0.035989,0.000000,0.000000,125.697609,2.057511
carga_86,125.888609,-0.032309,0.000000,0.000000,126.040105,2.061183
carga_89,126.160182,-0.554833,126.198232,3.635945,126.396656,1.540298
