#timPSTamp,	constant_power_A,constant_power_C
2017-11-03 00:00:00,475.65+201.25j,475.65+201.25j
2017-11-03 00:10:00,465.15+198.92j,465.15+198.92j
2017-11-03 00:20:00,454.65+196.58j,454.65+196.58j
2017-11-03 00:30:00,444.33+194.25j,444.33+194.25j
2017-11-03 00:40:00,433.83+191.92j,433.83+191.92j
2017-11-03 00:50:00,423.33+189.58j,423.33+189.58j
2017-11-03 01:00:00,413+187.25j,413+187.25j
2017-11-03 01:10:00,407.4+186.96j,407.4+186.96j
2017-11-03 01:20:00,401.8+186.67j,401.8+186.67j
2017-11-03 01:30:00,396.38+186.38j,396.38+186.38j
2017-11-03 01:40:00,390.78+186.08j,390.78+186.08j
2017-11-03 01:50:00,385.18+185.79j,385.18+185.79j
2017-11-03 02:00:00,379.75+185.5j,379.75+185.5j
2017-11-03 02:10:00,377.65+186.38j,377.65+186.38j
2017-11-03 02:20:00,375.55+187.25j,375.55+187.25j
2017-11-03 02:30:00,373.63+188.13j,373.63+188.13j
2017-11-03 02:40:00,371.53+189j,371.53+189j
2017-11-03 02:50:00,369.43+189.88j,369.43+189.88j
2017-11-03 03:00:00,367.5+190.75j,367.5+190.75j
2017-11-03 03:10:00,369.08+191.33j,369.08+191.33j
2017-11-03 03:20:00,371+191.92j,371+191.92j
2017-11-03 03:30:00,372.75+192.5j,372.75+192.5j
2017-11-03 03:40:00,374.33+193.08j,374.33+193.08j
2017-11-03 03:50:00,376.25+193.67j,376.25+193.67j
2017-11-03 04:00:00,378+194.25j,378+194.25j
2017-11-03 04:10:00,377.3+193.67j,377.3+193.67j
2017-11-03 04:20:00,376.78+193.08j,376.78+193.08j
2017-11-03 04:30:00,376.25+192.5j,376.25+192.5j
2017-11-03 04:40:00,375.55+191.92j,375.55+191.92j
2017-11-03 04:50:00,375.03+191.33j,375.03+191.33j
2017-11-03 05:00:00,374.5+190.75j,374.5+190.75j
2017-11-03 05:10:00,378+189.58j,378+189.58j
2017-11-03 05:20:00,381.5+188.42j,381.5+188.42j
2017-11-03 05:30:00,385+187.25j,385+187.25j
2017-11-03 05:40:00,388.5+186.08j,388.5+186.08j
2017-11-03 05:50:00,392+184.92j,392+184.92j
2017-11-03 06:00:00,395.5+183.75j,395.5+183.75j
2017-11-03 06:10:00,394.28+182.88j,394.28+182.88j
2017-11-03 06:20:00,393.05+182j,393.05+182j
2017-11-03 06:30:00,392+181.13j,392+181.13j
2017-11-03 06:40:00,390.78+180.25j,390.78+180.25j
2017-11-03 06:50:00,389.55+179.38j,389.55+179.38j
2017-11-03 07:00:00,388.5+178.5j,388.5+178.5j
2017-11-03 07:10:00,375.03+178.5j,375.03+178.5j
