#timPSTamp,	constant_power_A,constant_power_B,constant_power_C
2017-11-03 00:00:00,6269.52+2652.67j,6269.52+2652.67j,6269.52+2652.67j
2017-11-03 00:10:00,6131.12+2621.92j,6131.12+2621.92j,6131.12+2621.92j
2017-11-03 00:20:00,5992.72+2591.15j,5992.72+2591.15j,5992.72+2591.15j
2017-11-03 00:30:00,5856.63+2560.4j,5856.63+2560.4j,5856.63+2560.4j
2017-11-03 00:40:00,5718.23+2529.65j,5718.23+2529.65j,5718.23+2529.65j
2017-11-03 00:50:00,5579.83+2498.88j,5579.83+2498.88j,5579.83+2498.88j
2017-11-03 01:00:00,5443.73+2468.13j,5443.73+2468.13j,5443.73+2468.13j
2017-11-03 01:10:00,5369.92+2464.28j,5369.92+2464.28j,5369.92+2464.28j
2017-11-03 01:20:00,5296.11+2460.45j,5296.11+2460.45j,5296.11+2460.45j
2017-11-03 01:30:00,5224.6+2456.6j,5224.6+2456.6j,5224.6+2456.6j
2017-11-03 01:40:00,5150.79+2452.75j,5150.79+2452.75j,5150.79+2452.75j
2017-11-03 01:50:00,5076.97+2448.92j,5076.97+2448.92j,5076.97+2448.92j
2017-11-03 02:00:00,5005.47+2445.07j,5005.47+2445.07j,5005.47+2445.07j
2017-11-03 02:10:00,4977.79+2456.6j,4977.79+2456.6j,4977.79+2456.6j
2017-11-03 02:20:00,4950.11+2468.13j,4950.11+2468.13j,4950.11+2468.13j
2017-11-03 02:30:00,4924.73+2479.67j,4924.73+2479.67j,4924.73+2479.67j
2017-11-03 02:40:00,4897.05+2491.2j,4897.05+2491.2j,4897.05+2491.2j
2017-11-03 02:50:00,4869.37+2502.73j,4869.37+2502.73j,4869.37+2502.73j
2017-11-03 03:00:00,4844+2514.27j,4844+2514.27j,4844+2514.27j
2017-11-03 03:10:00,4864.76+2521.95j,4864.76+2521.95j,4864.76+2521.95j
2017-11-03 03:20:00,4890.13+2529.65j,4890.13+2529.65j,4890.13+2529.65j
2017-11-03 03:30:00,4913.2+2537.33j,4913.2+2537.33j,4913.2+2537.33j
2017-11-03 03:40:00,4933.96+2545.01j,4933.96+2545.01j,4933.96+2545.01j
2017-11-03 03:50:00,4959.33+2552.72j,4959.33+2552.72j,4959.33+2552.72j
2017-11-03 04:00:00,4982.4+2560.4j,4982.4+2560.4j,4982.4+2560.4j
2017-11-03 04:10:00,4973.17+2552.72j,4973.17+2552.72j,4973.17+2552.72j
2017-11-03 04:20:00,4966.25+2545.01j,4966.25+2545.01j,4966.25+2545.01j
2017-11-03 04:30:00,4959.33+2537.33j,4959.33+2537.33j,4959.33+2537.33j
2017-11-03 04:40:00,4950.11+2529.65j,4950.11+2529.65j,4950.11+2529.65j
2017-11-03 04:50:00,4943.19+2521.95j,4943.19+2521.95j,4943.19+2521.95j
2017-11-03 05:00:00,4936.27+2514.27j,4936.27+2514.27j,4936.27+2514.27j
2017-11-03 05:10:00,4982.4+2498.88j,4982.4+2498.88j,4982.4+2498.88j
2017-11-03 05:20:00,5028.53+2483.52j,5028.53+2483.52j,5028.53+2483.52j
2017-11-03 05:30:00,5074.67+2468.13j,5074.67+2468.13j,5074.67+2468.13j
2017-11-03 05:40:00,5120.8+2452.75j,5120.8+2452.75j,5120.8+2452.75j
2017-11-03 05:50:00,5166.93+2437.39j,5166.93+2437.39j,5166.93+2437.39j
2017-11-03 06:00:00,5213.07+2422j,5213.07+2422j,5213.07+2422j
2017-11-03 06:10:00,5196.92+2410.47j,5196.92+2410.47j,5196.92+2410.47j
2017-11-03 06:20:00,5180.77+2398.93j,5180.77+2398.93j,5180.77+2398.93j
2017-11-03 06:30:00,5166.93+2387.4j,5166.93+2387.4j,5166.93+2387.4j
2017-11-03 06:40:00,5150.79+2375.87j,5150.79+2375.87j,5150.79+2375.87j
2017-11-03 06:50:00,5134.64+2364.33j,5134.64+2364.33j,5134.64+2364.33j
2017-11-03 07:00:00,5120.8+2352.8j,5120.8+2352.8j,5120.8+2352.8j
2017-11-03 07:10:00,4943.19+2352.8j,4943.19+2352.8j,4943.19+2352.8j
2017-11-03 07:20:00,4765.57+2352.8j,4765.57+2352.8j,4765.57+2352.8j
2017-11-03 07:30:00,4590.27+2352.8j,4590.27+2352.8j,4590.27+2352.8j
2017-11-03 07:40:00,4412.65+2352.8j,4412.65+2352.8j,4412.65+2352.8j
2017-11-03 07:50:00,4235.04+2352.8j,4235.04+2352.8j,4235.04+2352.8j
2017-11-03 08:00:00,4059.73+2352.8j,4059.73+2352.8j,4059.73+2352.8j
2017-11-03 08:10:00,4165.84+2306.67j,4165.84+2306.67j,4165.84+2306.67j
2017-11-03 08:20:00,4274.25+2260.53j,4274.25+2260.53j,4274.25+2260.53j
2017-11-03 08:30:00,4382.67+2214.4j,4382.67+2214.4j,4382.67+2214.4j
2017-11-03 08:40:00,4488.77+2168.27j,4488.77+2168.27j,4488.77+2168.27j
2017-11-03 08:50:00,4597.19+2122.13j,4597.19+2122.13j,4597.19+2122.13j
2017-11-03 09:00:00,4705.6+2076j,4705.6+2076j,4705.6+2076j
2017-11-03 09:10:00,4592.57+2026.04j,4592.57+2026.04j,4592.57+2026.04j
2017-11-03 09:20:00,4481.85+1976.03j,4481.85+1976.03j,4481.85+1976.03j
2017-11-03 09:30:00,4371.13+1926.07j,4371.13+1926.07j,4371.13+1926.07j
2017-11-03 09:40:00,4258.11+1876.1j,4258.11+1876.1j,4258.11+1876.1j
2017-11-03 09:50:00,4147.39+1826.1j,4147.39+1826.1j,4147.39+1826.1j
2017-11-03 10:00:00,4036.67+1776.13j,4036.67+1776.13j,4036.67+1776.13j
2017-11-03 10:10:00,4071.27+1764.6j,4071.27+1764.6j,4071.27+1764.6j
2017-11-03 10:20:00,4105.87+1753.07j,4105.87+1753.07j,4105.87+1753.07j
2017-11-03 10:30:00,4140.47+1741.53j,4140.47+1741.53j,4140.47+1741.53j
2017-11-03 10:40:00,4175.07+1730j,4175.07+1730j,4175.07+1730j
2017-11-03 10:50:00,4209.67+1718.47j,4209.67+1718.47j,4209.67+1718.47j
2017-11-03 11:00:00,4244.27+1706.93j,4244.27+1706.93j,4244.27+1706.93j
2017-11-03 11:10:00,4223.51+1726.17j,4223.51+1726.17j,4223.51+1726.17j
2017-11-03 11:20:00,4205.05+1745.36j,4205.05+1745.36j,4205.05+1745.36j
2017-11-03 11:30:00,4186.6+1764.6j,4186.6+1764.6j,4186.6+1764.6j
2017-11-03 11:40:00,4165.84+1783.84j,4165.84+1783.84j,4165.84+1783.84j
2017-11-03 11:50:00,4147.39+1803.03j,4147.39+1803.03j,4147.39+1803.03j
2017-11-03 12:00:00,4128.93+1822.27j,4128.93+1822.27j,4128.93+1822.27j
2017-11-03 12:10:00,4152+1814.59j,4152+1814.59j,4152+1814.59j
2017-11-03 12:20:00,4175.07+1806.88j,4175.07+1806.88j,4175.07+1806.88j
2017-11-03 12:30:00,4198.13+1799.2j,4198.13+1799.2j,4198.13+1799.2j
2017-11-03 12:40:00,4221.2+1791.52j,4221.2+1791.52j,4221.2+1791.52j
2017-11-03 12:50:00,4244.27+1783.81j,4244.27+1783.81j,4244.27+1783.81j
2017-11-03 13:00:00,4267.33+1776.13j,4267.33+1776.13j,4267.33+1776.13j
2017-11-03 13:10:00,4366.52+1787.67j,4366.52+1787.67j,4366.52+1787.67j
2017-11-03 13:20:00,4465.71+1799.2j,4465.71+1799.2j,4465.71+1799.2j
2017-11-03 13:30:00,4567.2+1810.73j,4567.2+1810.73j,4567.2+1810.73j
2017-11-03 13:40:00,4666.39+1822.27j,4666.39+1822.27j,4666.39+1822.27j
2017-11-03 13:50:00,4765.57+1833.8j,4765.57+1833.8j,4765.57+1833.8j
2017-11-03 14:00:00,4867.07+1845.33j,4867.07+1845.33j,4867.07+1845.33j
2017-11-03 14:10:00,4862.45+1829.95j,4862.45+1829.95j,4862.45+1829.95j
2017-11-03 14:20:00,4857.84+1814.59j,4857.84+1814.59j,4857.84+1814.59j
2017-11-03 14:30:00,4855.53+1799.2j,4855.53+1799.2j,4855.53+1799.2j
2017-11-03 14:40:00,4850.92+1783.81j,4850.92+1783.81j,4850.92+1783.81j
2017-11-03 14:50:00,4846.31+1768.45j,4846.31+1768.45j,4846.31+1768.45j
2017-11-03 15:00:00,4844+1753.07j,4844+1753.07j,4844+1753.07j
2017-11-03 15:10:00,4850.92+1779.99j,4850.92+1779.99j,4850.92+1779.99j
2017-11-03 15:20:00,4857.84+1806.88j,4857.84+1806.88j,4857.84+1806.88j
2017-11-03 15:30:00,4867.07+1833.8j,4867.07+1833.8j,4867.07+1833.8j
2017-11-03 15:40:00,4873.99+1860.72j,4873.99+1860.72j,4873.99+1860.72j
2017-11-03 15:50:00,4880.91+1887.61j,4880.91+1887.61j,4880.91+1887.61j
2017-11-03 16:00:00,4890.13+1914.53j,4890.13+1914.53j,4890.13+1914.53j
2017-11-03 16:10:00,4961.64+1914.53j,4961.64+1914.53j,4961.64+1914.53j
2017-11-03 16:20:00,5035.45+1914.53j,5035.45+1914.53j,5035.45+1914.53j
2017-11-03 16:30:00,5109.27+1914.53j,5109.27+1914.53j,5109.27+1914.53j
2017-11-03 16:40:00,5180.77+1914.53j,5180.77+1914.53j,5180.77+1914.53j
2017-11-03 16:50:00,5254.59+1914.53j,5254.59+1914.53j,5254.59+1914.53j
2017-11-03 17:00:00,5328.4+1914.53j,5328.4+1914.53j,5328.4+1914.53j
2017-11-03 17:10:00,5259.2+1906.83j,5259.2+1906.83j,5259.2+1906.83j
2017-11-03 17:20:00,5190+1899.17j,5190+1899.17j,5190+1899.17j
2017-11-03 17:30:00,5120.8+1891.47j,5120.8+1891.47j,5120.8+1891.47j
2017-11-03 17:40:00,5051.6+1883.76j,5051.6+1883.76j,5051.6+1883.76j
2017-11-03 17:50:00,4982.4+1876.1j,4982.4+1876.1j,4982.4+1876.1j
2017-11-03 18:00:00,4913.2+1868.4j,4913.2+1868.4j,4913.2+1868.4j
2017-11-03 18:10:00,4920.12+1845.33j,4920.12+1845.33j,4920.12+1845.33j
2017-11-03 18:20:00,4927.04+1822.27j,4927.04+1822.27j,4927.04+1822.27j
2017-11-03 18:30:00,4936.27+1799.2j,4936.27+1799.2j,4936.27+1799.2j
2017-11-03 18:40:00,4943.19+1776.13j,4943.19+1776.13j,4943.19+1776.13j
2017-11-03 18:50:00,4950.11+1753.07j,4950.11+1753.07j,4950.11+1753.07j
2017-11-03 19:00:00,4959.33+1730j,4959.33+1730j,4959.33+1730j
2017-11-03 19:10:00,5035.45+1772.28j,5035.45+1772.28j,5035.45+1772.28j
2017-11-03 19:20:00,5111.57+1814.59j,5111.57+1814.59j,5111.57+1814.59j
2017-11-03 19:30:00,5190+1856.87j,5190+1856.87j,5190+1856.87j
2017-11-03 19:40:00,5266.12+1899.15j,5266.12+1899.15j,5266.12+1899.15j
2017-11-03 19:50:00,5342.24+1941.45j,5342.24+1941.45j,5342.24+1941.45j
2017-11-03 20:00:00,5420.67+1983.73j,5420.67+1983.73j,5420.67+1983.73j
2017-11-03 20:10:00,5766.67+2052.93j,5766.67+2052.93j,5766.67+2052.93j
2017-11-03 20:20:00,6110.36+2122.13j,6110.36+2122.13j,6110.36+2122.13j
2017-11-03 20:30:00,6458.67+2191.33j,6458.67+2191.33j,6458.67+2191.33j
2017-11-03 20:40:00,6804.67+2260.53j,6804.67+2260.53j,6804.67+2260.53j
2017-11-03 20:50:00,7148.36+2329.73j,7148.36+2329.73j,7148.36+2329.73j
2017-11-03 21:00:00,7496.67+2398.93j,7496.67+2398.93j,7496.67+2398.93j
2017-11-03 21:10:00,7272.92+2356.63j,7272.92+2356.63j,7272.92+2356.63j
2017-11-03 21:20:00,7049.17+2314.37j,7049.17+2314.37j,7049.17+2314.37j
2017-11-03 21:30:00,6827.73+2272.07j,6827.73+2272.07j,6827.73+2272.07j
2017-11-03 21:40:00,6603.99+2229.76j,6603.99+2229.76j,6603.99+2229.76j
2017-11-03 21:50:00,6380.24+2187.5j,6380.24+2187.5j,6380.24+2187.5j
2017-11-03 22:00:00,6158.8+2145.2j,6158.8+2145.2j,6158.8+2145.2j
2017-11-03 22:10:00,6149.57+2195.19j,6149.57+2195.19j,6149.57+2195.19j
2017-11-03 22:20:00,6142.65+2245.15j,6142.65+2245.15j,6142.65+2245.15j
2017-11-03 22:30:00,6135.73+2295.13j,6135.73+2295.13j,6135.73+2295.13j
2017-11-03 22:40:00,6126.51+2345.12j,6126.51+2345.12j,6126.51+2345.12j
2017-11-03 22:50:00,6119.59+2395.08j,6119.59+2395.08j,6119.59+2395.08j
2017-11-03 23:00:00,6112.67+2445.07j,6112.67+2445.07j,6112.67+2445.07j
2017-11-03 23:10:00,6138.04+2495.03j,6138.04+2495.03j,6138.04+2495.03j
2017-11-03 23:20:00,6165.72+2545.04j,6165.72+2545.04j,6165.72+2545.04j
2017-11-03 23:30:00,6193.4+2595j,6193.4+2595j,6193.4+2595j
2017-11-03 23:40:00,6218.77+2644.96j,6218.77+2644.96j,6218.77+2644.96j
