#imPSTamp,P_Out
2017-11-03 00:00:00,0
2017-11-03 00:10:00,0
2017-11-03 00:20:00,0
2017-11-03 00:30:00,0
2017-11-03 00:40:00,0
2017-11-03 00:50:00,0
2017-11-03 01:00:00,0
2017-11-03 01:10:00,0
2017-11-03 01:20:00,0
2017-11-03 01:30:00,0
2017-11-03 01:40:00,0
2017-11-03 01:50:00,0
2017-11-03 02:00:00,0
2017-11-03 02:10:00,0
2017-11-03 02:20:00,0
2017-11-03 02:30:00,0
2017-11-03 02:40:00,0
2017-11-03 02:50:00,0
2017-11-03 03:00:00,0
2017-11-03 03:10:00,0
2017-11-03 03:20:00,0
2017-11-03 03:30:00,0
2017-11-03 03:40:00,0
2017-11-03 03:50:00,0
2017-11-03 04:00:00,0
2017-11-03 04:10:00,0
2017-11-03 04:20:00,0
2017-11-03 04:30:00,0
2017-11-03 04:40:00,0
2017-11-03 04:50:00,0
2017-11-03 05:00:00,0
2017-11-03 05:10:00,0
2017-11-03 05:20:00,0
2017-11-03 05:30:00,0
2017-11-03 05:40:00,0
2017-11-03 05:50:00,0
2017-11-03 06:00:00,0
2017-11-03 06:10:00,0
2017-11-03 06:20:00,0
2017-11-03 06:30:00,0
2017-11-03 06:40:00,0
2017-11-03 06:50:00,0
2017-11-03 07:00:00,0
2017-11-03 07:10:00,0
2017-11-03 07:20:00,0
2017-11-03 07:30:00,3200
2017-11-03 07:40:00,8600
2017-11-03 07:50:00,14500
2017-11-03 08:00:00,19300
2017-11-03 08:10:00,21600
2017-11-03 08:20:00,21800
2017-11-03 08:30:00,28200
2017-11-03 08:40:00,31300
2017-11-03 08:50:00,35100
2017-11-03 09:00:00,31900
2017-11-03 09:10:00,37600
2017-11-03 09:20:00,48400
2017-11-03 09:30:00,37900
2017-11-03 09:40:00,38300
2017-11-03 09:50:00,36900
2017-11-03 10:00:00,65800
2017-11-03 10:10:00,29300
2017-11-03 10:20:00,50800
2017-11-03 10:30:00,21300
2017-11-03 10:40:00,68000
2017-11-03 10:50:00,83900
2017-11-03 11:00:00,81300
2017-11-03 11:10:00,83200
2017-11-03 11:20:00,87500
2017-11-03 11:30:00,87300
2017-11-03 11:40:00,40100
2017-11-03 11:50:00,77500
2017-11-03 12:00:00,86100
2017-11-03 12:10:00,94800
2017-11-03 12:20:00,88500
2017-11-03 12:30:00,81900
2017-11-03 12:40:00,79900
2017-11-03 12:50:00,104100
2017-11-03 13:00:00,83000
2017-11-03 13:10:00,94000
2017-11-03 13:20:00,44900
2017-11-03 13:30:00,93900
2017-11-03 13:40:00,84400
2017-11-03 13:50:00,82000
2017-11-03 14:00:00,80100
2017-11-03 14:10:00,77900
2017-11-03 14:20:00,75700
2017-11-03 14:30:00,73200
2017-11-03 14:40:00,70300
2017-11-03 14:50:00,67200
2017-11-03 15:00:00,64100
2017-11-03 15:10:00,60200
2017-11-03 15:20:00,58000
2017-11-03 15:30:00,54100
2017-11-03 15:40:00,50500
2017-11-03 15:50:00,46600
2017-11-03 16:00:00,42800
2017-11-03 16:10:00,38500
2017-11-03 16:20:00,14100
2017-11-03 16:30:00,26500
2017-11-03 16:40:00,5600
2017-11-03 16:50:00,4300
2017-11-03 17:00:00,3800
2017-11-03 17:10:00,12100
2017-11-03 17:20:00,3500
2017-11-03 17:30:00,2400
2017-11-03 17:40:00,1300
2017-11-03 17:50:00,0
2017-11-03 18:00:00,0
2017-11-03 18:10:00,0
2017-11-03 18:20:00,0
2017-11-03 18:30:00,0
2017-11-03 18:40:00,0
2017-11-03 18:50:00,0
2017-11-03 19:00:00,0
2017-11-03 19:10:00,0
2017-11-03 19:20:00,0
2017-11-03 19:30:00,0
2017-11-03 19:40:00,0
2017-11-03 19:50:00,0
2017-11-03 20:00:00,0
2017-11-03 20:10:00,0
2017-11-03 20:20:00,0
2017-11-03 20:30:00,0
2017-11-03 20:40:00,0
2017-11-03 20:50:00,0
2017-11-03 21:00:00,0
2017-11-03 21:10:00,0
2017-11-03 21:20:00,0
2017-11-03 21:30:00,0
2017-11-03 21:40:00,0
2017-11-03 21:50:00,0
2017-11-03 22:00:00,0
2017-11-03 22:10:00,0
2017-11-03 22:20:00,0
2017-11-03 22:30:00,0
2017-11-03 22:40:00,0
2017-11-03 22:50:00,0
2017-11-03 23:00:00,0
2017-11-03 23:10:00,0
2017-11-03 23:20:00,0
2017-11-03 23:30:00,0
2017-11-03 23:40:00,0
2017-11-03 23:50:00,0
2017-11-04 00:00:00,0
2017-11-04 00:10:00,0
2017-11-04 00:20:00,0
2017-11-04 00:30:00,0
2017-11-04 00:40:00,0
2017-11-04 00:50:00,0
2017-11-04 01:00:00,0
2017-11-04 01:10:00,0
2017-11-04 01:20:00,0
2017-11-04 01:30:00,0
2017-11-04 01:40:00,0
2017-11-04 01:50:00,0
2017-11-04 02:00:00,0
2017-11-04 02:10:00,0
2017-11-04 02:20:00,0
2017-11-04 02:30:00,0
2017-11-04 02:40:00,0
2017-11-04 02:50:00,0
2017-11-04 03:00:00,0
2017-11-04 03:10:00,0
2017-11-04 03:20:00,0
2017-11-04 03:30:00,0
2017-11-04 03:40:00,0
2017-11-04 03:50:00,0
2017-11-04 04:00:00,0
2017-11-04 04:10:00,0
2017-11-04 04:20:00,0
2017-11-04 04:30:00,0
2017-11-04 04:40:00,0
2017-11-04 04:50:00,0
2017-11-04 05:00:00,0
2017-11-04 05:10:00,0
2017-11-04 05:20:00,0
2017-11-04 05:30:00,0
2017-11-04 05:40:00,0
2017-11-04 05:50:00,0
2017-11-04 06:00:00,0
2017-11-04 06:10:00,0
2017-11-04 06:20:00,0
2017-11-04 06:30:00,0
2017-11-04 06:40:00,0
2017-11-04 06:50:00,0
2017-11-04 07:00:00,0
2017-11-04 07:10:00,0
2017-11-04 07:20:00,0
2017-11-04 07:30:00,2400
2017-11-04 07:40:00,6600
2017-11-04 07:50:00,8600
2017-11-04 08:00:00,12800
2017-11-04 08:10:00,17100
2017-11-04 08:20:00,20600
2017-11-04 08:30:00,26800
2017-11-04 08:40:00,31100
2017-11-04 08:50:00,35500
2017-11-04 09:00:00,39700
2017-11-04 09:10:00,38900
2017-11-04 09:20:00,47200
2017-11-04 09:30:00,51400
2017-11-04 09:40:00,55000
2017-11-04 09:50:00,58500
2017-11-04 10:00:00,61800
2017-11-04 10:10:00,62200
2017-11-04 10:20:00,67800
2017-11-04 10:30:00,70700
2017-11-04 10:40:00,73200
2017-11-04 10:50:00,75700
2017-11-04 11:00:00,77900
2017-11-04 11:10:00,79900
2017-11-04 11:20:00,80700
2017-11-04 11:30:00,83300
2017-11-04 11:40:00,84900
2017-11-04 11:50:00,85900
2017-11-04 12:00:00,86800
2017-11-04 12:10:00,87600
2017-11-04 12:20:00,88100
2017-11-04 12:30:00,88300
2017-11-04 12:40:00,88200
2017-11-04 12:50:00,88100
2017-11-04 13:00:00,87500
2017-11-04 13:10:00,86700
2017-11-04 13:20:00,85600
2017-11-04 13:30:00,84400
2017-11-04 13:40:00,82900
2017-11-04 13:50:00,81400
2017-11-04 14:00:00,79700
2017-11-04 14:10:00,77400
2017-11-04 14:20:00,74900
2017-11-04 14:30:00,73000
2017-11-04 14:40:00,70200
2017-11-04 14:50:00,67100
2017-11-04 15:00:00,64400
2017-11-04 15:10:00,60900
2017-11-04 15:20:00,58000
2017-11-04 15:30:00,54700
2017-11-04 15:40:00,50500
2017-11-04 15:50:00,47800
2017-11-04 16:00:00,43100
2017-11-04 16:10:00,39100
2017-11-04 16:20:00,15400
2017-11-04 16:30:00,28100
2017-11-04 16:40:00,26500
2017-11-04 16:50:00,18100
2017-11-04 17:00:00,4600
2017-11-04 17:10:00,12600
2017-11-04 17:20:00,5100
2017-11-04 17:30:00,3400
2017-11-04 17:40:00,1800
2017-11-04 17:50:00,0
2017-11-04 18:00:00,0
2017-11-04 18:10:00,0
2017-11-04 18:20:00,0
2017-11-04 18:30:00,0
2017-11-04 18:40:00,0
2017-11-04 18:50:00,0
2017-11-04 19:00:00,0
2017-11-04 19:10:00,0
2017-11-04 19:20:00,0
2017-11-04 19:30:00,0
2017-11-04 19:40:00,0
2017-11-04 19:50:00,0
2017-11-04 20:00:00,0
2017-11-04 20:10:00,0
2017-11-04 20:20:00,0
2017-11-04 20:30:00,0
2017-11-04 20:40:00,0
2017-11-04 20:50:00,0
2017-11-04 21:00:00,0
2017-11-04 21:10:00,0
2017-11-04 21:20:00,0
2017-11-04 21:30:00,0
2017-11-04 21:40:00,0
2017-11-04 21:50:00,0
2017-11-04 22:00:00,0
2017-11-04 22:10:00,0
2017-11-04 22:20:00,0
2017-11-04 22:30:00,0
2017-11-04 22:40:00,0
2017-11-04 22:50:00,0
2017-11-04 23:00:00,0
2017-11-04 23:10:00,0
2017-11-04 23:20:00,0
2017-11-04 23:30:00,0
2017-11-04 23:40:00,0
2017-11-04 23:50:00,0
2017-11-05 00:00:00,0
2017-11-05 00:10:00,0
2017-11-05 00:20:00,0
2017-11-05 00:30:00,0
2017-11-05 00:40:00,0
2017-11-05 00:50:00,0
2017-11-05 01:00:00,0
2017-11-05 01:10:00,0
2017-11-05 01:20:00,0
2017-11-05 01:30:00,0
2017-11-05 01:40:00,0
2017-11-05 01:50:00,0
2017-11-05 02:00:00,0
2017-11-05 02:10:00,0
2017-11-05 02:20:00,0
2017-11-05 02:30:00,0
2017-11-05 02:40:00,0
2017-11-05 02:50:00,0
2017-11-05 03:00:00,0
2017-11-05 03:10:00,0
2017-11-05 03:20:00,0
2017-11-05 03:30:00,0
2017-11-05 03:40:00,0
2017-11-05 03:50:00,0
2017-11-05 04:00:00,0
2017-11-05 04:10:00,0
2017-11-05 04:20:00,0
2017-11-05 04:30:00,0
2017-11-05 04:40:00,0
2017-11-05 04:50:00,0
2017-11-05 05:00:00,0
2017-11-05 05:10:00,0
2017-11-05 05:20:00,0
2017-11-05 05:30:00,0
2017-11-05 05:40:00,0
2017-11-05 05:50:00,0
2017-11-05 06:00:00,0
2017-11-05 06:10:00,0
2017-11-05 06:20:00,0
2017-11-05 06:30:00,0
2017-11-05 06:40:00,0
2017-11-05 06:50:00,0
2017-11-05 07:00:00,0
