# file...... Medidor_carga.csv
# date...... Thu Nov 11 11:34:45 2021
# user...... leona
# host...... (null)
# target.... meter 61
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power, measured_reactive_power
2017-11-03 00:00:00 PDT,+271692,+115690
2017-11-03 00:10:00 PDT,+265681,+114319
2017-11-03 00:20:00 PDT,+259670,+112947
2017-11-03 00:30:00 PDT,+253761,+111578
2017-11-03 00:40:00 PDT,+247751,+110209
2017-11-03 00:50:00 PDT,+241742,+108840
2017-11-03 01:00:00 PDT,+235834,+107474
2017-11-03 01:10:00 PDT,+232631,+107289
2017-11-03 01:20:00 PDT,+229428,+107105
2017-11-03 01:30:00 PDT,+226326,+106921
2017-11-03 01:40:00 PDT,+223123,+106737
2017-11-03 01:50:00 PDT,+219921,+106554
2017-11-03 02:00:00 PDT,+216819,+106371
2017-11-03 02:10:00 PDT,+215619,+106864
2017-11-03 02:20:00 PDT,+214419,+107358
2017-11-03 02:30:00 PDT,+213319,+107852
2017-11-03 02:40:00 PDT,+212118,+108344
2017-11-03 02:50:00 PDT,+210919,+108837
2017-11-03 03:00:00 PDT,+209819,+109331
2017-11-03 03:10:00 PDT,+210720,+109669
2017-11-03 03:20:00 PDT,+211821,+110008
2017-11-03 03:30:00 PDT,+212822,+110346
2017-11-03 03:40:00 PDT,+213723,+110684
2017-11-03 03:50:00 PDT,+214825,+111023
2017-11-03 04:00:00 PDT,+215826,+111361
2017-11-03 04:10:00 PDT,+215425,+111026
2017-11-03 04:20:00 PDT,+215124,+110691
2017-11-03 04:30:00 PDT,+214823,+110357
2017-11-03 04:40:00 PDT,+214423,+110022
2017-11-03 04:50:00 PDT,+214122,+109686
2017-11-03 05:00:00 PDT,+213821,+109352
2017-11-03 05:10:00 PDT,+215821,+108695
2017-11-03 05:20:00 PDT,+217821,+108040
2017-11-03 05:30:00 PDT,+219821,+107384
2017-11-03 05:40:00 PDT,+221821,+106728
2017-11-03 05:50:00 PDT,+223821,+106073
2017-11-03 06:00:00 PDT,+225821,+105418
2017-11-03 06:10:00 PDT,+225120,+104914
2017-11-03 06:20:00 PDT,+224418,+104410
2017-11-03 06:30:00 PDT,+223817,+103908
2017-11-03 06:40:00 PDT,+223116,+103404
2017-11-03 06:50:00 PDT,+222414,+102901
2017-11-03 07:00:00 PDT,+221813,+102398
2017-11-03 07:10:00 PDT,+214109,+102357
2017-11-03 07:20:00 PDT,+206405,+102318
2017-11-03 07:30:00 PDT,+198803,+102281
2017-11-03 07:40:00 PDT,+191101,+102245
2017-11-03 07:50:00 PDT,+183400,+102210
2017-11-03 08:00:00 PDT,+175801,+102177
2017-11-03 08:10:00 PDT,+180397,+100198
2017-11-03 08:20:00 PDT,+185094,+98220
2017-11-03 08:30:00 PDT,+189790,+96242.7
2017-11-03 08:40:00 PDT,+194388,+94265.5
2017-11-03 08:50:00 PDT,+199086,+92289.4
2017-11-03 09:00:00 PDT,+203784,+90314
2017-11-03 09:10:00 PDT,+198879,+88126.1
2017-11-03 09:20:00 PDT,+194075,+85938
2017-11-03 09:30:00 PDT,+189271,+83752
2017-11-03 09:40:00 PDT,+184368,+81566.2
2017-11-03 09:50:00 PDT,+179565,+79380
2017-11-03 10:00:00 PDT,+174763,+77196.1
2017-11-03 10:10:00 PDT,+176262,+76703.1
2017-11-03 10:20:00 PDT,+177761,+76210.1
2017-11-03 10:30:00 PDT,+179261,+75717.2
2017-11-03 10:40:00 PDT,+180760,+75224.3
2017-11-03 10:50:00 PDT,+182259,+74731.4
2017-11-03 11:00:00 PDT,+183758,+74238.4
2017-11-03 11:10:00 PDT,+182859,+75066.9
2017-11-03 11:20:00 PDT,+182060,+75894.7
2017-11-03 11:30:00 PDT,+181261,+76724
2017-11-03 11:40:00 PDT,+180363,+77553
2017-11-03 11:50:00 PDT,+179564,+78381
2017-11-03 12:00:00 PDT,+178765,+79210.4
2017-11-03 12:10:00 PDT,+179764,+78881.8
2017-11-03 12:20:00 PDT,+180764,+78552.4
2017-11-03 12:30:00 PDT,+181763,+78224.3
2017-11-03 12:40:00 PDT,+182763,+77896.3
2017-11-03 12:50:00 PDT,+183762,+77566.4
2017-11-03 13:00:00 PDT,+184762,+77238.7
