# file...... Medidor_potencia_SE.csv
# date...... Thu Nov 11 11:34:45 2021
# user...... leona
# host...... (null)
# target.... meter 11
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power, measured_reactive_power
2017-11-03 00:00:00 PDT,+299887,-58232.3
2017-11-03 00:10:00 PDT,+299876,-58270.8
2017-11-03 00:20:00 PDT,+299865,-58308.8
2017-11-03 00:30:00 PDT,+299855,-58344.7
2017-11-03 00:40:00 PDT,+299846,-58380.3
2017-11-03 00:50:00 PDT,+299837,-58415.5
2017-11-03 01:00:00 PDT,+299829,-58448.8
2017-11-03 01:10:00 PDT,+299826,-58466.9
2017-11-03 01:20:00 PDT,+299823,-58484.4
2017-11-03 01:30:00 PDT,+299820,-58501.5
2017-11-03 01:40:00 PDT,+299817,-58519
2017-11-03 01:50:00 PDT,+299815,-58535.8
2017-11-03 02:00:00 PDT,+299813,-58552.1
2017-11-03 02:10:00 PDT,+299813,-58558.6
2017-11-03 02:20:00 PDT,+299813,-58565.1
2017-11-03 02:30:00 PDT,+296619,-58571.1
2017-11-03 02:40:00 PDT,+212203,-58580.7
2017-11-03 02:50:00 PDT,+210951,-58587
2017-11-03 03:00:00 PDT,+209901,-58592.9
2017-11-03 03:10:00 PDT,+210941,-58588.6
2017-11-03 03:20:00 PDT,+211824,-58582.8
2017-11-03 03:30:00 PDT,+212825,-58578
2017-11-03 03:40:00 PDT,+213727,-58573.6
2017-11-03 03:50:00 PDT,+214828,-58567.8
2017-11-03 04:00:00 PDT,+215829,-58562.8
2017-11-03 04:10:00 PDT,+215428,-58564.6
2017-11-03 04:20:00 PDT,+215127,-58566.3
2017-11-03 04:30:00 PDT,+214826,-58567.6
2017-11-03 04:40:00 PDT,+214426,-58569.3
2017-11-03 04:50:00 PDT,+214125,-58571.1
2017-11-03 05:00:00 PDT,+213824,-58572.4
2017-11-03 05:10:00 PDT,+215824,-58561.8
2017-11-03 05:20:00 PDT,+217824,-58550.7
2017-11-03 05:30:00 PDT,+219824,-58539.9
2017-11-03 05:40:00 PDT,+221824,-58529
2017-11-03 05:50:00 PDT,+223824,-58517.5
2017-11-03 06:00:00 PDT,+224916,-58506.5
2017-11-03 06:10:00 PDT,+225110,-58509.9
2017-11-03 06:20:00 PDT,+224214,-58513.5
2017-11-03 06:30:00 PDT,+223282,-58516.5
2017-11-03 06:40:00 PDT,+222195,-58520
2017-11-03 06:50:00 PDT,+221087,-58523.5
2017-11-03 07:00:00 PDT,+220047,-58526.4
2017-11-03 07:10:00 PDT,+211948,-58567.1
2017-11-03 07:20:00 PDT,+203827,-58606.3
2017-11-03 07:30:00 PDT,+194840,-58643.6
2017-11-03 07:40:00 PDT,+183842,-58680
2017-11-03 07:50:00 PDT,+171296,-58714.9
2017-11-03 08:00:00 PDT,+158330,-58748
2017-11-03 08:10:00 PDT,+158352,-58727
2017-11-03 08:20:00 PDT,+159892,-58705
2017-11-03 08:30:00 PDT,+161515,-58682.3
2017-11-03 08:40:00 PDT,+163345,-58659.4
2017-11-03 08:50:00 PDT,+165165,-58635.5
2017-11-03 09:00:00 PDT,+167825,-58610.9
2017-11-03 09:10:00 PDT,+160809,-58632.9
2017-11-03 09:20:00 PDT,+152464,-58653.1
2017-11-03 09:30:00 PDT,+146348,-58673.2
2017-11-03 09:40:00 PDT,+140100,-58693.1
2017-11-03 09:50:00 PDT,+134946,-58711.4
2017-11-03 10:00:00 PDT,+126091,-58729.3
2017-11-03 10:10:00 PDT,+128459,-58722.4
2017-11-03 10:20:00 PDT,+127824,-58715.4
2017-11-03 10:30:00 PDT,+132320,-58708.3
2017-11-03 10:40:00 PDT,+131657,-58701.1
2017-11-03 10:50:00 PDT,+124772,-58694
2017-11-03 11:00:00 PDT,+116677,-58687
2017-11-03 11:10:00 PDT,+99660.9,-58692.5
2017-11-03 11:20:00 PDT,+94561.9,-58696.7
2017-11-03 11:30:00 PDT,+93963,-58701.5
2017-11-03 11:40:00 PDT,+112178,-58706.5
2017-11-03 11:50:00 PDT,+112351,-58710.5
2017-11-03 12:00:00 PDT,+110962,-58715
2017-11-03 12:10:00 PDT,+86860.2,-58710.6
2017-11-03 12:20:00 PDT,+92265.4,-58706.1
2017-11-03 12:30:00 PDT,+99865,-58701.1
2017-11-03 12:40:00 PDT,+102865,-58696.2
2017-11-03 12:50:00 PDT,+79663.8,-58692
2017-11-03 13:00:00 PDT,+101764,-58686.7
2017-11-03 13:10:00 PDT,+95064.5,-58668.1
2017-11-03 13:20:00 PDT,+115677,-58648.8
2017-11-03 13:30:00 PDT,+120832,-58628.5
2017-11-03 13:40:00 PDT,+124978,-58608.5
2017-11-03 13:50:00 PDT,+130680,-58587.9
2017-11-03 14:00:00 PDT,+131948,-58566.5
2017-11-03 14:10:00 PDT,+133956,-58566.8
2017-11-03 14:20:00 PDT,+135453,-58566.7
2017-11-03 14:30:00 PDT,+137240,-58566.5
2017-11-03 14:40:00 PDT,+139143,-58566.8
2017-11-03 14:50:00 PDT,+141297,-58566.6
2017-11-03 15:00:00 PDT,+143956,-58566.4
2017-11-03 15:10:00 PDT,+147551,-58566.2
2017-11-03 15:20:00 PDT,+151376,-58566.2
2017-11-03 15:30:00 PDT,+155694,-58565.3
2017-11-03 15:40:00 PDT,+160021,-58565
2017-11-03 15:50:00 PDT,+164324,-58564.9
2017-11-03 16:00:00 PDT,+168409,-58563.9
2017-11-03 16:10:00 PDT,+174750,-58547.9
2017-11-03 16:20:00 PDT,+184046,-58531
2017-11-03 16:30:00 PDT,+191568,-58513.9
2017-11-03 16:40:00 PDT,+201658,-58496.9
2017-11-03 16:50:00 PDT,+212200,-58479.2
2017-11-03 17:00:00 PDT,+220644,-58461.3
2017-11-03 17:10:00 PDT,+222031,-58477.2
