# file...... Medidor_potencia_inverosr_PV.txt
# date...... Thu Nov 11 11:34:45 2021
# user...... leona
# host...... (null)
# target.... meter 31
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power, measured_reactive_power
2017-11-03 00:00:00 PDT,+0,+0
2017-11-03 00:10:00 PDT,+0,+0
2017-11-03 00:20:00 PDT,+0,+0
2017-11-03 00:30:00 PDT,+0,+0
2017-11-03 00:40:00 PDT,+0,+0
2017-11-03 00:50:00 PDT,+0,+0
2017-11-03 01:00:00 PDT,+0,+0
2017-11-03 01:10:00 PDT,+0,+0
2017-11-03 01:20:00 PDT,+0,+0
2017-11-03 01:30:00 PDT,+0,+0
2017-11-03 01:40:00 PDT,+0,+0
2017-11-03 01:50:00 PDT,+0,+0
2017-11-03 02:00:00 PDT,+0,+0
2017-11-03 02:10:00 PDT,+0,+0
2017-11-03 02:20:00 PDT,+0,+0
2017-11-03 02:30:00 PDT,+0,+0
2017-11-03 02:40:00 PDT,+0,+0
2017-11-03 02:50:00 PDT,+0,+0
2017-11-03 03:00:00 PDT,+0,+0
2017-11-03 03:10:00 PDT,+0,+0
2017-11-03 03:20:00 PDT,+0,+0
2017-11-03 03:30:00 PDT,+0,+0
2017-11-03 03:40:00 PDT,+0,+0
2017-11-03 03:50:00 PDT,+0,+0
2017-11-03 04:00:00 PDT,+0,+0
2017-11-03 04:10:00 PDT,+0,+0
2017-11-03 04:20:00 PDT,+0,+0
2017-11-03 04:30:00 PDT,+0,+0
2017-11-03 04:40:00 PDT,+0,+0
2017-11-03 04:50:00 PDT,+0,+0
2017-11-03 05:00:00 PDT,+0,+0
2017-11-03 05:10:00 PDT,+0,+0
2017-11-03 05:20:00 PDT,+0,+0
2017-11-03 05:30:00 PDT,+0,+0
2017-11-03 05:40:00 PDT,+0,+0
2017-11-03 05:50:00 PDT,+0,+0
2017-11-03 06:00:00 PDT,+0,+0
2017-11-03 06:10:00 PDT,+0,+0
2017-11-03 06:20:00 PDT,+0,+0
2017-11-03 06:30:00 PDT,+0,+0
2017-11-03 06:40:00 PDT,+0,+0
2017-11-03 06:50:00 PDT,+0,+0
2017-11-03 07:00:00 PDT,+0,+0
2017-11-03 07:10:00 PDT,+0,+0
2017-11-03 07:20:00 PDT,+0,+0
2017-11-03 07:30:00 PDT,-3200,+5.68434e-014
2017-11-03 07:40:00 PDT,-8600,+7.10543e-015
2017-11-03 07:50:00 PDT,-14500,+4.54747e-013
2017-11-03 08:00:00 PDT,-19300,-1.42109e-014
2017-11-03 08:10:00 PDT,-21600,+4.54747e-013
2017-11-03 08:20:00 PDT,-21800,+4.68958e-013
2017-11-03 08:30:00 PDT,-28200,+1.80478e-012
2017-11-03 08:40:00 PDT,-31300,+8.81073e-013
2017-11-03 08:50:00 PDT,-35100,+2.84217e-014
2017-11-03 09:00:00 PDT,-31900,+8.81073e-013
2017-11-03 09:10:00 PDT,-37600,+1.81899e-012
2017-11-03 09:20:00 PDT,-48400,+9.09495e-013
2017-11-03 09:30:00 PDT,-37900,+0
2017-11-03 09:40:00 PDT,-38300,-9.09495e-013
2017-11-03 09:50:00 PDT,-36900,+9.09495e-013
2017-11-03 10:00:00 PDT,-65800,+1.81899e-012
2017-11-03 10:10:00 PDT,-29300,+9.23706e-013
2017-11-03 10:20:00 PDT,-50800,-9.09495e-013
2017-11-03 10:30:00 PDT,-21300,+0
2017-11-03 10:40:00 PDT,-68000,+1.76215e-012
2017-11-03 10:50:00 PDT,-83900,-1.76215e-012
2017-11-03 11:00:00 PDT,-81300,-5.68434e-014
2017-11-03 11:10:00 PDT,-83200,+2.84217e-014
2017-11-03 11:20:00 PDT,-87500,+0
2017-11-03 11:30:00 PDT,-87300,-1.84741e-012
2017-11-03 11:40:00 PDT,-40100,-8.95284e-013
2017-11-03 11:50:00 PDT,-77500,-1.81899e-012
2017-11-03 12:00:00 PDT,-86100,+0
2017-11-03 12:10:00 PDT,-94800,+3.6664e-012
2017-11-03 12:20:00 PDT,-88500,+0
2017-11-03 12:30:00 PDT,-81900,-3.63798e-012
2017-11-03 12:40:00 PDT,-79900,+0
2017-11-03 12:50:00 PDT,-104100,-1.84741e-012
2017-11-03 13:00:00 PDT,-83000,+0
2017-11-03 13:10:00 PDT,-94000,-2.84217e-014
2017-11-03 13:20:00 PDT,-44900,-8.81073e-013
2017-11-03 13:30:00 PDT,-93900,+5.68434e-014
2017-11-03 13:40:00 PDT,-84400,-3.69482e-012
2017-11-03 13:50:00 PDT,-82000,-5.68434e-014
2017-11-03 14:00:00 PDT,-80100,-1.81899e-012
2017-11-03 14:10:00 PDT,-77900,-1.81899e-012
2017-11-03 14:20:00 PDT,-75700,+0
2017-11-03 14:30:00 PDT,-73200,+0
