# file...... Medidor_potencia_inverosr_bateria.txt
# date...... Thu Nov 11 11:34:45 2021
# user...... leona
# host...... (null)
# target.... meter 20
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power, measured_reactive_power
2017-11-03 00:00:00 PDT,+28190,-173927
2017-11-03 00:10:00 PDT,+34190,-172594
2017-11-03 00:20:00 PDT,+40190,-171260
2017-11-03 00:30:00 PDT,+46090,-169927
2017-11-03 00:40:00 PDT,+52090,-168594
2017-11-03 00:50:00 PDT,+58090,-167260
2017-11-03 01:00:00 PDT,+63990,-165927
2017-11-03 01:10:00 PDT,+67190,-165760
2017-11-03 01:20:00 PDT,+70390,-165594
2017-11-03 01:30:00 PDT,+73490,-165427
2017-11-03 01:40:00 PDT,+76690,-165260
2017-11-03 01:50:00 PDT,+79890,-165094
2017-11-03 02:00:00 PDT,+82990,-164927
2017-11-03 02:10:00 PDT,+84190,-165427
2017-11-03 02:20:00 PDT,+85390,-165927
2017-11-03 02:30:00 PDT,+83295.3,-166427
2017-11-03 02:40:00 PDT,+81.2902,-166927
2017-11-03 02:50:00 PDT,+29.3802,-167427
2017-11-03 03:00:00 PDT,+78.5557,-167927
2017-11-03 03:10:00 PDT,+217.391,-168260
2017-11-03 03:20:00 PDT,+3.52429e-012,-168594
2017-11-03 03:30:00 PDT,+3.63798e-012,-168927
2017-11-03 03:40:00 PDT,-3.63798e-012,-169260
2017-11-03 03:50:00 PDT,-1.13687e-013,-169594
2017-11-03 04:00:00 PDT,-3.75167e-012,-169927
2017-11-03 04:10:00 PDT,+0,-169594
2017-11-03 04:20:00 PDT,-1.13687e-013,-169260
2017-11-03 04:30:00 PDT,+3.52429e-012,-168927
2017-11-03 04:40:00 PDT,+3.63798e-012,-168594
2017-11-03 04:50:00 PDT,+1.13687e-013,-168260
2017-11-03 05:00:00 PDT,+1.13687e-013,-167927
2017-11-03 05:10:00 PDT,+0,-167260
2017-11-03 05:20:00 PDT,+0,-166594
2017-11-03 05:30:00 PDT,-3.52429e-012,-165927
2017-11-03 05:40:00 PDT,-3.63798e-012,-165260
2017-11-03 05:50:00 PDT,+1.13687e-013,-164594
2017-11-03 06:00:00 PDT,-908.705,-163927
2017-11-03 06:10:00 PDT,-13.4185,-163427
2017-11-03 06:20:00 PDT,-208.039,-162927
2017-11-03 06:30:00 PDT,-537.911,-162427
2017-11-03 06:40:00 PDT,-924.387,-161927
2017-11-03 06:50:00 PDT,-1330.82,-161427
2017-11-03 07:00:00 PDT,-1769.56,-160927
2017-11-03 07:10:00 PDT,-2164.09,-160927
2017-11-03 07:20:00 PDT,-2581.04,-160927
2017-11-03 07:30:00 PDT,-764.99,-160927
2017-11-03 07:40:00 PDT,+1338.6,-160927
2017-11-03 07:50:00 PDT,+2393.33,-160927
2017-11-03 08:00:00 PDT,+1826.92,-160927
2017-11-03 08:10:00 PDT,-447.615,-158927
2017-11-03 08:20:00 PDT,-3403.76,-156927
2017-11-03 08:30:00 PDT,-77.9906,-154927
