# perfil_de_tensao_FDC.csv run at 2017-11-03 00:00:00 PDT on 470 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
barra_Rede_principal,19918.500000,0.000000,19918.500000,4.188790,19918.500000,2.094395
barra_1,19901.610607,-0.021954,19921.793031,4.167408,19918.677338,2.071879
medidor_SE,7957.388982,-0.023107,7965.948171,4.166266,7964.524149,2.070678
barra_2,7957.334862,-0.023115,7965.913536,4.166258,7964.484713,2.070669
barra_BAT_1,7957.359973,-0.023121,7965.938967,4.166254,7964.512991,2.070665
barra_BAT_2,7957.359549,-0.023121,7965.938545,4.166254,7964.512568,2.070665
medidor_BAT,7957.361999,-0.023121,7965.941026,4.166254,7964.515327,2.070664
barra_PV_1,7957.334862,-0.023115,7965.913536,4.166258,7964.484713,2.070669
barra_PV_2,7957.334862,-0.023115,7965.913536,4.166258,7964.484713,2.070669
medidor_PV,7957.334862,-0.023115,7965.913536,4.166258,7964.484713,2.070669
barra_2_saida,7957.176400,-0.023121,7965.793403,4.166251,7964.349287,2.070661
medidor_carga,7957.255631,-0.023118,7965.853470,4.166255,7964.417000,2.070665
barra_trafo_1,7955.018060,-0.023187,7963.978295,4.166141,7962.628363,2.070544
barra_trafo_2,7954.946432,-0.023189,7963.914835,4.166136,7962.578909,2.070540
barra_trafo_3,7956.125419,-0.023154,7964.913697,4.166198,7963.508326,2.070604
barra_trafo_4,7956.114849,-0.023154,7964.904802,4.166197,7963.502138,2.070604
barra_trafo_5,7956.118336,-0.023154,7964.907737,4.166197,7963.504180,2.070604
barra_trafo_6,7955.482850,-0.023174,7964.376012,4.166165,7962.986263,2.070570
barra_trafo_7,7955.464614,-0.023175,7964.360769,4.166164,7962.972632,2.070569
barra_trafo_8,7954.540577,-0.023208,7963.598165,4.166120,7962.194082,2.070519
barra_trafo_9,7954.286633,-0.023216,7963.387282,4.166107,7961.982680,2.070506
barra_trafo_10,7954.023210,-0.023217,7963.150395,4.166104,7961.743990,2.070501
barra_trafo_11,7953.812083,-0.023219,7962.962701,4.166102,7961.550796,2.070498
barra_trafo_12,7954.125121,-0.023217,7963.240848,4.166105,7961.837404,2.070503
barra_trafo_13,7954.927370,-0.023189,7963.903622,4.166143,7962.517299,2.070545
barra_trafo_14,7954.916245,-0.023189,7963.892462,4.166143,7962.509039,2.070544
barra_trafo_15,7954.908708,-0.023189,7963.885962,4.166142,7962.501891,2.070544
barra_trafo_16,7955.076797,-0.023185,7964.027630,4.166144,7962.669758,2.070548
barra_trafo_17,7955.079218,-0.023185,7964.029148,4.166144,7962.672896,2.070548
barra_trafo_18,7955.096729,-0.023185,7964.047128,4.166146,7962.681174,2.070549
barra_trafo_19,7955.033706,-0.023187,7963.992061,4.166141,7962.639337,2.070545
barra_trafo_20,7955.033706,-0.023187,7963.992061,4.166141,7962.639337,2.070545
barra_trafo_21,7955.033706,-0.023187,7963.992061,4.166141,7962.639337,2.070545
barra_trafo_22,7955.033706,-0.023187,7963.992061,4.166141,7962.639337,2.070545
barra_trafo_23,7955.033706,-0.023187,7963.992061,4.166141,7962.639337,2.070545
barra_trafo_24,7955.033706,-0.023187,7963.992061,4.166141,7962.639337,2.070545
barra_trafo_25,7955.033706,-0.023187,7963.992061,4.166141,7962.639337,2.070545
barra_trafo_26,7955.033706,-0.023187,7963.992061,4.166141,7962.639337,2.070545
barra_trafo_27,7955.085247,-0.023186,7964.036937,4.166145,7962.674790,2.070548
barra_trafo_28,7954.928959,-0.023188,7963.898742,4.166137,7962.560130,2.070540
barra_trafo_29,7954.928861,-0.023188,7963.897064,4.166136,7962.564432,2.070540
barra_trafo_30,7954.896340,-0.023188,7963.863418,4.166135,7962.540571,2.070539
barra_trafo_31,7954.898497,-0.023187,7963.863130,4.166135,7962.545224,2.070539
barra_trafo_32,7954.879803,-0.023188,7963.848520,4.166135,7962.525732,2.070539
barra_trafo_33,7954.843631,-0.023187,7963.812842,4.166135,7962.493175,2.070539
barra_trafo_34,7951.640919,-0.023203,7960.948663,4.166109,7959.497664,2.070496
barra_trafo_35,7950.605279,-0.023209,7960.022272,4.166097,7958.546779,2.070479
barra_trafo_36,7950.357378,-0.023210,7959.800291,4.166095,7958.319165,2.070475
barra_trafo_37,7950.296748,-0.023210,7959.746419,4.166094,7958.263396,2.070474
barra_trafo_38,7950.312141,-0.023210,7959.759821,4.166094,7958.277614,2.070475
barra_trafo_39,7950.369282,-0.023210,7959.811027,4.166095,7958.330073,2.070476
barra_trafo_40,7950.501420,-0.023206,7959.921886,4.166099,7958.447835,2.070481
barra_trafo_41,7950.415315,-0.023207,7959.845259,4.166098,7958.368692,2.070479
barra_trafo_42,7955.036099,-0.023185,7963.992611,4.166148,7962.611673,2.070550
barra_3,7956.608382,-0.023139,7965.317997,4.166222,7963.892581,2.070630
barra_4,7956.143981,-0.023154,7964.929318,4.166199,7963.519191,2.070605
barra_5,7955.523919,-0.023173,7964.410450,4.166168,7963.016442,2.070572
barra_6,7955.402127,-0.023177,7964.308540,4.166161,7962.917455,2.070565
barra_7,7955.159527,-0.023185,7964.103412,4.166149,7962.724613,2.070552
barra_8,7955.107770,-0.023185,7964.057431,4.166146,7962.690467,2.070549
barra_9,7955.091568,-0.023186,7964.042970,4.166145,7962.679920,2.070548
barra_10,7955.033706,-0.023187,7963.992061,4.166141,7962.639337,2.070545
barra_11,7954.961741,-0.023188,7963.928533,4.166137,7962.589165,2.070541
barra_12,7954.951323,-0.023188,7963.919152,4.166137,7962.582301,2.070540
barra_13,7956.118336,-0.023154,7964.907737,4.166197,7963.504180,2.070604
barra_14,7955.062577,-0.023189,7964.028183,4.166145,7962.633852,2.070547
barra_15,7954.139941,-0.023217,7963.255280,4.166106,7961.849843,2.070503
barra_16,7954.029908,-0.023217,7963.156635,4.166104,7961.749871,2.070501
barra_17,7954.919790,-0.023189,7963.896309,4.166143,7962.511244,2.070545
barra_18,7955.079826,-0.023185,7964.030579,4.166144,7962.672132,2.070548
barra_19,7955.033706,-0.023187,7963.992061,4.166141,7962.639337,2.070545
barra_20,7955.033706,-0.023187,7963.992061,4.166141,7962.639337,2.070545
barra_21,7955.033706,-0.023187,7963.992061,4.166141,7962.639337,2.070545
barra_22,7954.900173,-0.023188,7963.867416,4.166135,7962.543341,2.070539
barra_23,7950.931897,-0.023207,7960.314132,4.166101,7958.846754,2.070485
