tempo;potencia_PV;potencia_rede;soc_estacionaria;cx_bike_0;cx_bike_1;cx_bike_2;cx_bike_3;cx_bike_4;cx_bike_5;cx_bike_6;cx_bike_7;cx_bike_8;cx_bike_9;soc_bike_0;soc_bike_1;soc_bike_2;soc_bike_3;soc_bike_4;soc_bike_5;soc_bike_6;soc_bike_7;soc_bike_8;soc_bike_9;potencia_estacionaria;p_bike_0;p_bike_1;p_bike_2;p_bike_3;p_bike_4;p_bike_5;p_bike_6;p_bike_7;p_bike_8;p_bike_9
0;0;;;1;1;1;1;1;1;1;1;1;1;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;;;;;;;;;;;
1;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
2;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
3;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
4;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
5;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
6;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
7;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
8;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
9;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
10;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
11;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
12;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
13;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
14;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
15;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
16;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
17;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
18;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
19;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
20;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
21;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
22;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
23;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
24;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
25;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
26;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
27;0;;;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
28;0;;;1;1;1;1;1;1;1;1;1;1;0.5;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
29;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
30;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
31;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
32;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
33;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
34;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
35;0;;;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;;;;;;;;;;;
36;0.27027027;;;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;;;;;;;;;;;
37;0.680335508;;;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;;;;;;;;;;;
38;1.090.400.746;;;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;;;;;;;;;;;
39;1.463.187.325;;;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;;;;;;;;;;;
40;1.780.055.918;;;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;;;;;;;;;;;
41;2.292.637.465;;;1;1;1;0;1;1;1;1;1;1;1;1;0.1;0;1;1;1;1;1;1;;;;;;;;;;;
42;2.767.940.354;;;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;;;;;;;;;;;
43;3.196.644.921;;;1;1;1;1;1;1;1;1;1;1;1;1;1;0.7;1;1;1;1;1;1;;;;;;;;;;;
44;3.643.988.816;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
45;4.072.693.383;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
46;4.482.758.621;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
47;4.930.102.516;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
48;5.097.856.477;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
49;5.526.561.044;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
50;578.751.165;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
51;6.076.421.249;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
52;6.421.248.835;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
53;6.803.355.079;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
54;7.455.731.594;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
55;7.623.485.555;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
56;7.903.075.489;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
57;8.313.140.727;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
58;8.480.894.688;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
59;8.760.484.623;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
60;8.732.525.629;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
61;8.909.599.254;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
62;8.918.918.919;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
63;9.245.107.176;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
64;9.506.057.782;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
