data,PV
13/01/2018 00:00,0
13/01/2018 00:10,0
13/01/2018 00:20,0
13/01/2018 00:30,0
13/01/2018 00:40,0
13/01/2018 00:50,0
13/01/2018 01:00,0
13/01/2018 01:10,0
13/01/2018 01:20,0
13/01/2018 01:30,0
13/01/2018 01:40,0
13/01/2018 01:50,0
13/01/2018 02:00,0
13/01/2018 02:10,0
13/01/2018 02:20,0
13/01/2018 02:30,0
13/01/2018 02:40,0
13/01/2018 02:50,0
13/01/2018 03:00,0
13/01/2018 03:10,0
13/01/2018 03:20,0
13/01/2018 03:30,0
13/01/2018 03:40,0
13/01/2018 03:50,0
13/01/2018 04:00,0
13/01/2018 04:10,0
13/01/2018 04:20,0
13/01/2018 04:30,0
13/01/2018 04:40,0
13/01/2018 04:50,0
13/01/2018 05:00,0
13/01/2018 05:10,0
13/01/2018 05:20,0
13/01/2018 05:30,0
13/01/2018 05:40,0
13/01/2018 05:50,0
13/01/2018 06:00,0
13/01/2018 06:10,0
13/01/2018 06:20,0
13/01/2018 06:30,0
13/01/2018 06:40,0
13/01/2018 06:50,0
13/01/2018 07:00,0.25
13/01/2018 07:10,0.44
13/01/2018 07:20,0.655
13/01/2018 07:30,0.91
13/01/2018 07:40,1.15
13/01/2018 07:50,1.395
13/01/2018 08:00,1.645
13/01/2018 08:10,1.89
13/01/2018 08:20,2.13
13/01/2018 08:30,2.285
13/01/2018 08:40,2.615
13/01/2018 08:50,2.85
13/01/2018 09:00,3.09
13/01/2018 09:10,3.315
13/01/2018 09:20,3.535
13/01/2018 09:30,3.745
13/01/2018 09:40,3.95
13/01/2018 09:50,4.14
13/01/2018 10:00,4.315
13/01/2018 10:10,4.485
13/01/2018 10:20,4.66
13/01/2018 10:30,4.77
13/01/2018 10:40,4.955
13/01/2018 10:50,5.09
13/01/2018 11:00,5.22
13/01/2018 11:10,5.335
13/01/2018 11:20,5.39
13/01/2018 11:30,5.455
13/01/2018 11:40,5.425
13/01/2018 11:50,5.625
13/01/2018 12:00,5.695
13/01/2018 12:10,5.735
13/01/2018 12:20,5.75
13/01/2018 12:30,5.775
13/01/2018 12:40,5.785
13/01/2018 12:50,5.775
13/01/2018 13:00,5.745
13/01/2018 13:10,5.71
13/01/2018 13:20,5.66
13/01/2018 13:30,5.59
13/01/2018 13:40,5.52
13/01/2018 13:50,5.435
13/01/2018 14:00,5.34
13/01/2018 14:10,5.235
13/01/2018 14:20,5.11
13/01/2018 14:30,5.01
13/01/2018 14:40,4.78
13/01/2018 14:50,4.59
13/01/2018 15:00,4.51
13/01/2018 15:10,4.32
13/01/2018 15:20,4.095
13/01/2018 15:30,3.94
13/01/2018 15:40,3.48
13/01/2018 15:50,2.91
13/01/2018 16:00,2.65
13/01/2018 16:10,3.035
13/01/2018 16:20,2.055
13/01/2018 16:30,1.52
13/01/2018 16:40,1.945
13/01/2018 16:50,1.19
13/01/2018 17:00,1.735
13/01/2018 17:10,1.095
13/01/2018 17:20,0.825
13/01/2018 17:30,0.675
13/01/2018 17:40,0.475
13/01/2018 17:50,0.31
13/01/2018 18:00,0.185
13/01/2018 18:10,0.09
13/01/2018 18:20,0
13/01/2018 18:30,0
13/01/2018 18:40,0
13/01/2018 18:50,0
13/01/2018 19:00,0
13/01/2018 19:10,0
13/01/2018 19:20,0
13/01/2018 19:30,0
13/01/2018 19:40,0
13/01/2018 19:50,0
13/01/2018 20:00,0
13/01/2018 20:10,0
13/01/2018 20:20,0
13/01/2018 20:30,0
13/01/2018 20:40,0
13/01/2018 20:50,0
13/01/2018 21:00,0
13/01/2018 21:10,0
13/01/2018 21:20,0
13/01/2018 21:30,0
13/01/2018 21:40,0
13/01/2018 21:50,0
13/01/2018 22:00,0
13/01/2018 22:10,0
13/01/2018 22:20,0
13/01/2018 22:30,0
13/01/2018 22:40,0
13/01/2018 22:50,0
13/01/2018 23:00,0
13/01/2018 23:10,0
13/01/2018 23:20,0
13/01/2018 23:30,0
13/01/2018 23:40,0
13/01/2018 23:50,0
14/01/2018 00:00,0
14/01/2018 00:10,0
14/01/2018 00:20,0
14/01/2018 00:30,0
14/01/2018 00:40,0
14/01/2018 00:50,0
14/01/2018 01:00,0
14/01/2018 01:10,0
14/01/2018 01:20,0
14/01/2018 01:30,0
14/01/2018 01:40,0
14/01/2018 01:50,0
14/01/2018 02:00,0
14/01/2018 02:10,0
14/01/2018 02:20,0
14/01/2018 02:30,0
14/01/2018 02:40,0
14/01/2018 02:50,0
14/01/2018 03:00,0
14/01/2018 03:10,0
14/01/2018 03:20,0
14/01/2018 03:30,0
14/01/2018 03:40,0
14/01/2018 03:50,0
14/01/2018 04:00,0
14/01/2018 04:10,0
14/01/2018 04:20,0
14/01/2018 04:30,0
14/01/2018 04:40,0
14/01/2018 04:50,0
14/01/2018 05:00,0
14/01/2018 05:10,0
14/01/2018 05:20,0
14/01/2018 05:30,0
14/01/2018 05:40,0
14/01/2018 05:50,0
14/01/2018 06:00,0
14/01/2018 06:10,0
14/01/2018 06:20,0
14/01/2018 06:30,0
14/01/2018 06:40,0
14/01/2018 06:50,0
14/01/2018 07:00,0.235
14/01/2018 07:10,0.32
14/01/2018 07:20,0.46
14/01/2018 07:30,0.675
14/01/2018 07:40,0.66
14/01/2018 07:50,0.62
14/01/2018 08:00,0.755
14/01/2018 08:10,0.635
14/01/2018 08:20,0.38
14/01/2018 08:30,0.49
14/01/2018 08:40,0.93
14/01/2018 08:50,1.96
14/01/2018 09:00,2.11
14/01/2018 09:10,2.065
14/01/2018 09:20,1.97
14/01/2018 09:30,3.175
14/01/2018 09:40,2.48
14/01/2018 09:50,2.26
14/01/2018 10:00,1.74
14/01/2018 10:10,1.91
14/01/2018 10:20,2.23
14/01/2018 10:30,2.09
14/01/2018 10:40,1.875
14/01/2018 10:50,1.845
14/01/2018 11:00,1.74
14/01/2018 11:10,3.88
14/01/2018 11:20,3.255
14/01/2018 11:30,1.815
14/01/2018 11:40,2.905
14/01/2018 11:50,3.19
14/01/2018 12:00,1.955
14/01/2018 12:10,1.945
14/01/2018 12:20,1.42
14/01/2018 12:30,1.165
14/01/2018 12:40,0.9
14/01/2018 12:50,1.06
14/01/2018 13:00,1.175
14/01/2018 13:10,1.335
14/01/2018 13:20,1.17
14/01/2018 13:30,1.255
14/01/2018 13:40,1.035
14/01/2018 13:50,0.895
14/01/2018 14:00,1.45
14/01/2018 14:10,1.475
14/01/2018 14:20,1.11
14/01/2018 14:30,1.095
14/01/2018 14:40,1.535
14/01/2018 14:50,1.185
14/01/2018 15:00,0.915
14/01/2018 15:10,0.515
14/01/2018 15:20,0.585
14/01/2018 15:30,0.515
14/01/2018 15:40,0.365
14/01/2018 15:50,0.575
14/01/2018 16:00,0.48
14/01/2018 16:10,0.63
14/01/2018 16:20,0.32
14/01/2018 16:30,0.27
14/01/2018 16:40,0.3
14/01/2018 16:50,0.415
14/01/2018 17:00,0.395
14/01/2018 17:10,0.305
14/01/2018 17:20,0.285
14/01/2018 17:30,0.145
14/01/2018 17:40,0.055
14/01/2018 17:50,0.035
14/01/2018 18:00,0.025
14/01/2018 18:10,0.005
14/01/2018 18:20,0
14/01/2018 18:30,0
14/01/2018 18:40,0
14/01/2018 18:50,0
14/01/2018 19:00,0
14/01/2018 19:10,0
14/01/2018 19:20,0
14/01/2018 19:30,0
14/01/2018 19:40,0
14/01/2018 19:50,0
14/01/2018 20:00,0
14/01/2018 20:10,0
14/01/2018 20:20,0
14/01/2018 20:30,0
14/01/2018 20:40,0
14/01/2018 20:50,0
14/01/2018 21:00,0
14/01/2018 21:10,0
14/01/2018 21:20,0
14/01/2018 21:30,0
14/01/2018 21:40,0
14/01/2018 21:50,0
14/01/2018 22:00,0
14/01/2018 22:10,0
14/01/2018 22:20,0
14/01/2018 22:30,0
14/01/2018 22:40,0
14/01/2018 22:50,0
14/01/2018 23:00,0
14/01/2018 23:10,0
14/01/2018 23:20,0
14/01/2018 23:30,0
14/01/2018 23:40,0
14/01/2018 23:50,0
