data,PV
25/08/2018 00:00,0
25/08/2018 00:15,0
25/08/2018 00:30,0
25/08/2018 00:45,0
25/08/2018 01:00,0
25/08/2018 01:15,0
25/08/2018 01:30,0
25/08/2018 01:45,0
25/08/2018 02:00,0
25/08/2018 02:15,0
25/08/2018 02:30,0
25/08/2018 02:45,0
25/08/2018 03:00,0
25/08/2018 03:15,0
25/08/2018 03:30,0
25/08/2018 03:45,0
25/08/2018 04:00,0
25/08/2018 04:15,0
25/08/2018 04:30,0
25/08/2018 04:45,0
25/08/2018 05:00,0
25/08/2018 05:15,0
25/08/2018 05:30,0
25/08/2018 05:45,0
25/08/2018 06:00,0
25/08/2018 06:15,0
25/08/2018 06:30,0
25/08/2018 06:45,0
25/08/2018 07:00,0
25/08/2018 07:15,0.09
25/08/2018 07:30,0.22
25/08/2018 07:45,0.34
25/08/2018 08:00,0.38
25/08/2018 08:15,1.3
25/08/2018 08:30,2.47
25/08/2018 08:45,2.33
25/08/2018 09:00,2.95
25/08/2018 09:15,3.3
25/08/2018 09:30,3.62
25/08/2018 09:45,3.95
25/08/2018 10:00,4.25
25/08/2018 10:15,4.5
25/08/2018 10:30,4.77
25/08/2018 10:45,5
25/08/2018 11:00,5.22
25/08/2018 11:15,5.41
25/08/2018 11:30,5.57
25/08/2018 11:45,5.7
25/08/2018 12:00,5.8
25/08/2018 12:15,5.85
25/08/2018 12:30,5.88
25/08/2018 12:45,5.87
25/08/2018 13:00,5.83
25/08/2018 13:15,5.77
25/08/2018 13:30,5.67
25/08/2018 13:45,5.56
25/08/2018 14:00,5.41
25/08/2018 14:15,5.24
25/08/2018 14:30,5.04
25/08/2018 14:45,4.67
25/08/2018 15:00,4.58
25/08/2018 15:15,4.3
25/08/2018 15:30,3.98
25/08/2018 15:45,3.63
25/08/2018 16:00,3.26
25/08/2018 16:15,2.89
25/08/2018 16:30,2.52
25/08/2018 16:45,2.12
25/08/2018 17:00,1.72
25/08/2018 17:15,1.33
25/08/2018 17:30,0.94
25/08/2018 17:45,0.57
25/08/2018 18:00,0.11
25/08/2018 18:15,0
25/08/2018 18:30,0
25/08/2018 18:45,0
25/08/2018 19:00,0
25/08/2018 19:15,0
25/08/2018 19:30,0
25/08/2018 19:45,0
25/08/2018 20:00,0
25/08/2018 20:15,0
25/08/2018 20:30,0
25/08/2018 20:45,0
25/08/2018 21:00,0
25/08/2018 21:15,0
25/08/2018 21:30,0
25/08/2018 21:45,0
25/08/2018 22:00,0
25/08/2018 22:15,0
25/08/2018 22:30,0
25/08/2018 22:45,0
25/08/2018 23:00,0
25/08/2018 23:15,0
25/08/2018 23:30,0
25/08/2018 23:45,0
26/08/2018 00:00,0
26/08/2018 00:15,0
26/08/2018 00:30,0
26/08/2018 00:45,0
26/08/2018 01:00,0
26/08/2018 01:15,0
26/08/2018 01:30,0
26/08/2018 01:45,0
26/08/2018 02:00,0
26/08/2018 02:15,0
26/08/2018 02:30,0
26/08/2018 02:45,0
26/08/2018 03:00,0
26/08/2018 03:15,0
26/08/2018 03:30,0
26/08/2018 03:45,0
26/08/2018 04:00,0
26/08/2018 04:15,0
26/08/2018 04:30,0
26/08/2018 04:45,0
26/08/2018 05:00,0
26/08/2018 05:15,0
26/08/2018 05:30,0
26/08/2018 05:45,0
26/08/2018 06:00,0
26/08/2018 06:15,0
26/08/2018 06:30,0
26/08/2018 06:45,0
26/08/2018 07:00,0.1
26/08/2018 07:15,0.44
26/08/2018 07:30,0.25
26/08/2018 07:45,1.05
26/08/2018 08:00,1.5
26/08/2018 08:15,1.94
26/08/2018 08:30,2.32
26/08/2018 08:45,2.35
26/08/2018 09:00,3.08
26/08/2018 09:15,3.45
26/08/2018 09:30,3.77
26/08/2018 09:45,4.14
26/08/2018 10:00,4.44
26/08/2018 10:15,4.71
26/08/2018 10:30,4.98
26/08/2018 10:45,5.22
26/08/2018 11:00,5.43
26/08/2018 11:15,5.6
26/08/2018 11:30,5.73
26/08/2018 11:45,5.85
26/08/2018 12:00,5.92
26/08/2018 12:15,5.97
26/08/2018 12:30,5.99
26/08/2018 12:45,5.99
26/08/2018 13:00,5.95
26/08/2018 13:15,5.89
26/08/2018 13:30,5.79
26/08/2018 13:45,5.33
26/08/2018 14:00,5.2
26/08/2018 14:15,5.19
26/08/2018 14:30,4.9
26/08/2018 14:45,4.8
26/08/2018 15:00,4.62
26/08/2018 15:15,4.32
26/08/2018 15:30,4.01
26/08/2018 15:45,3.67
26/08/2018 16:00,3.3
26/08/2018 16:15,2.96
26/08/2018 16:30,2.58
26/08/2018 16:45,2.19
26/08/2018 17:00,1.79
26/08/2018 17:15,1.39
26/08/2018 17:30,0.99
26/08/2018 17:45,0.59
26/08/2018 18:00,0.1
26/08/2018 18:15,0
26/08/2018 18:30,0
26/08/2018 18:45,0
26/08/2018 19:00,0
26/08/2018 19:15,0
26/08/2018 19:30,0
26/08/2018 19:45,0
26/08/2018 20:00,0
26/08/2018 20:15,0
26/08/2018 20:30,0
26/08/2018 20:45,0
26/08/2018 21:00,0
26/08/2018 21:15,0
26/08/2018 21:30,0
26/08/2018 21:45,0
26/08/2018 22:00,0
26/08/2018 22:15,0
26/08/2018 22:30,0
26/08/2018 22:45,0
26/08/2018 23:00,0
26/08/2018 23:15,0
26/08/2018 23:30,0
26/08/2018 23:45,0
