tempo;potencia_PV;custo_energia_imp;custo_energia_exp
0;0;0.47;0.47
1;0;0.47;0.47
2;0;0.47;0.47
3;0;0.47;0.47
4;0;0.47;0.47
5;0;0.47;0.47
6;0;0.47;0.47
7;0;0.47;0.47
8;0;0.47;0.47
9;0;0.47;0.47
10;0;0.47;0.47
11;0;0.47;0.47
12;0;0.47;0.47
13;0;0.47;0.47
14;0;0.47;0.47
15;0;0.47;0.47
16;0;0.47;0.47
17;0;0.47;0.47
18;0;0.47;0.47
19;0;0.47;0.47
20;0;0.47;0.47
21;0;0.47;0.47
22;0;0.47;0.47
23;0;0.47;0.47
24;0;0.47;0.47
25;0;0.47;0.47
26;0.018813713;0.47;0.47
27;0.56549025;0.47;0.47
28;0.92632115;0.47;0.47
29;0.7297993;0.47;0.47
30;1.0010525;0.47;0.47
31;1.347861;0.47;0.47
32;2.0931196;0.47;0.47
33;1.9757842;0.47;0.47
34;2.0891457;0.47;0.47
35;2.457061;0.47;0.47
36;2.5604508;0.47;0.47
37;2.7175665;0.47;0.47
38;3.2199044;0.47;0.47
39;3.3468275;0.47;0.47
40;3.602493;0.47;0.47
41;3.6698518;0.47;0.47
42;4.1062984;0.47;0.47
43;3.818762;0.47;0.47
44;3.6075466;0.47;0.47
45;3.9509864;0.47;0.47
46;4.1467314;0.47;0.47
47;4.088094;0.47;0.47
48;4.242188;0.47;0.47
49;4.2670417;0.47;0.47
50;4.054972;0.47;0.47
51;4.2427454;0.47;0.47
52;4.0163975;0.47;0.47
53;3.935722;0.47;0.47
54;4.106263;0.47;0.47
55;3.7454627;0.47;0.47
56;3.7566783;0.47;0.47
57;3.5704503;0.47;0.47
58;3.4978456;0.47;0.47
59;3.2138317;0.47;0.47
60;3.1486316;0.47;0.47
61;2.8829799;0.47;0.47
62;2.7517586;0.47;0.47
63;2.3873274;0.47;0.47
64;2.2704675;0.47;0.47
65;2.1201186;0.47;0.47
66;1.5199004;0.47;0.47
67;1.8070499;0.47;0.47
68;1.649701;0.65;0.65
69;1.0998782;0.65;0.65
70;1.4750388;0.65;0.65
71;0.44048592;0.65;0.65
72;0.7905455;1;1
73;0.11473909;1;1
74;0.07077949;1;1
75;0;1;1
76;0;1;1
77;0;1;1
78;0;1;1
79;0;1;1
80;0;1;1
81;0;1;1
82;0;1;1
83;0;1;1
84;0;0.65;0.65
85;0;0.65;0.65
86;0;0.65;0.65
87;0;0.65;0.65
88;0;0.47;0.47
89;0;0.47;0.47
90;0;0.47;0.47
91;0;0.47;0.47
92;0;0.47;0.47
93;0;0.47;0.47
94;0;0.47;0.47
95;0;0.47;0.47
