tempo;potencia_PV;custo_energia
0;0;0.47
1;0;0.47
2;0;0.47
3;0;0.47
4;0;0.47
5;0;0.47
6;0;0.47
7;0;0.47
8;0;0.47
9;0;0.47
10;0;0.47
11;0;0.47
12;0;0.47
13;0;0.47
14;0;0.47
15;0;0.47
16;0;0.47
17;0;0.47
18;0;0.47
19;0;0.47
20;0;0.47
21;0;0.47
22;0;0.47
23;0;0.47
24;0;0.47
25;0;0.47
26;0;0.47
27;0;0.47
28;0;0.47
29;0;0.47
30;0;0.47
31;0;0.47
32;0;0.47
33;0;0.47
34;0;0.47
35;0;0.47
36;0.27027027;0.47
37;0.680335508;0.47
38;1.090400746;0.47
39;1.463187325;0.47
40;1.780055918;0.47
41;2.292637465;0.47
42;2.767940354;0.47
43;3.196644921;0.47
44;3.643988816;0.47
45;4.072693383;0.47
46;4.482758621;0.47
47;4.930102516;0.47
48;5.097856477;0.47
49;5.526561044;0.47
50;5.78751165;0.47
51;6.076421249;0.47
52;6.421248835;0.47
53;6.803355079;0.47
54;7.455731594;0.47
55;7.623485555;0.47
56;7.903075489;0.47
57;8.313140727;0.47
58;8.480894688;0.47
59;8.760484623;0.47
60;8.732525629;0.47
61;8.909599254;0.47
62;8.918918919;0.47
63;9.245107176;0.47
64;9.506057782;0.47
65;9.617893756;0.47
66;9.72972973;0.47
67;9.822926375;0.47
68;9.897483691;0.47
69;9.953401678;0.47
70;9.953401678;0.47
71;9.990680336;0.47
72;10;0.47
73;10;0.47
74;9.906803355;0.47
75;9.794967381;0.47
76;9.673811743;0.47
77;9.468779124;0.47
78;9.263746505;0.47
79;9.068033551;0.47
80;8.807082945;0.47
81;8.63000932;0.47
82;8.387698043;0.47
83;8.080149115;0.47
84;7.837837838;0.47
85;7.437092265;0.47
86;7.129543336;0.47
87;6.766076421;0.47
88;6.337371855;0.47
89;5.852749301;0.47
90;5.526561044;0.47
91;5.163094129;0.47
92;4.697110904;0.47
93;4.259086673;0.47
94;3.839701771;0.47
95;3.327120224;0.47
96;2.935694315;0.47
97;2.488350419;0.47
98;2.041006524;0.47
99;1.640260951;0.47
100;1.146318733;0.47
101;0.801491146;0.47
102;0.307548928;0.65
103;0.149114632;0.65
104;0;0.65
105;0;0.65
106;0;0.65
107;0;0.65
108;0;1
109;0;1
110;0;1
111;0;1
112;0;1
113;0;1
114;0;1
115;0;1
116;0;1
117;0;1
118;0;1
119;0;1
120;0;1
121;0;1
122;0;1
123;0;1
124;0;1
125;0;1
126;0;0.65
127;0;0.65
128;0;0.65
129;0;0.65
130;0;0.65
131;0;0.65
132;0;0.47
133;0;0.47
134;0;0.47
135;0;0.47
136;0;0.47
137;0;0.47
138;0;0.47
139;0;0.47
140;0;0.47
141;0;0.47
142;0;0.47
143;0;0.47
