tempo;p_rede_ref;p_rede_imp_ref;p_rede_exp_ref
0;-0.714285714;0.714285714;0
1;-0.714285714;0.714285714;0
2;-0.714285714;0.714285714;0
3;-0.714285714;0.714285714;0
4;-0.714285714;0.714285714;0
5;-0.714285714;0.714285714;0
6;-0.714285714;0.714285714;0
7;-0.714285714;0.714285714;0
8;-0.714285714;0.714285714;0
9;-0.714285714;0.714285714;0
10;-0.714285714;0.714285714;0
11;-0.714285714;0.714285714;0
12;-0.714285714;0.714285714;0
13;-0.714285714;0.714285714;0
14;-0.714285714;0.714285714;0
15;-0.714285714;0.714285714;0
16;-0.714285714;0.714285714;0
17;-0.714285714;0.714285714;0
18;-0.714285714;0.714285714;0
19;-0.714285714;0.714285714;0
20;-0.714285714;0.714285714;0
21;-0.714285714;0.714285714;0
22;-0.714285714;0.714285714;0
23;-0.714285714;0.714285714;0
24;-0.714285714;0.714285714;0
25;0;0;0
26;0.018813713;0;0.018813713
27;0.56549025;0;0.56549025
28;0.92632115;0;0.92632115
29;0.7297993;0;0.7297993
30;1.0010525;0;1.0010525
31;1.347861;0;1.347861
32;2.0931196;0;2.0931196
33;1.9757842;0;1.9757842
34;2.0891457;0;2.0891457
35;2.457061;0;2.457061
36;2.5604508;0;2.5604508
37;2.7175665;0;2.7175665
38;3.2199044;0;3.2199044
39;3.3468275;0;3.3468275
40;3.602493;0;3.602493
41;3.6698518;0;3.6698518
42;4.1062984;0;4.1062984
43;3.818762;0;3.818762
44;3.6075466;0;3.6075466
45;3.9509864;0;3.9509864
46;4.1467314;0;4.1467314
47;4.088094;0;4.088094
48;4.242188;0;4.242188
49;4.2670417;0;4.2670417
50;4.054972;0;4.054972
51;4.2427454;0;4.2427454
52;4.0163975;0;4.0163975
53;3.935722;0;3.935722
54;4.106263;0;4.106263
55;3.7454627;0;3.7454627
56;3.7566783;0;3.7566783
57;3.5704503;0;3.5704503
58;3.4978456;0;3.4978456
59;3.2138317;0;3.2138317
60;3.1486316;0;3.1486316
61;2.8829799;0;2.8829799
62;2.7517586;0;2.7517586
63;2.3873274;0;2.3873274
64;2.2704675;0;2.2704675
65;2.1201186;0;2.1201186
66;1.5199004;0;1.5199004
67;1.8070499;0;1.8070499
68;1.649701;0;1.649701
69;1.0998782;0;1.0998782
70;1.4750388;0;1.4750388
71;0.44048592;0;0.44048592
72;0.7905455;0;0.7905455
73;0.11473909;0;0.11473909
74;0.07077949;0;0.07077949
75;0;0;0
76;0;0;0
77;0;0;0
78;0;0;0
79;0;0;0
80;0;0;0
81;0;0;0
82;0;0;0
83;2.88;0;2.88
84;-2.88;2.88;0
85;0;0;0
86;0;0;0
87;2.88;0;2.88
88;-2.88;2.88;0
89;0;0;0
90;0;0;0
91;0;0;0
92;0.35;0;0.35
93;0.35;0;0.35
94;3.23;0;3.23
95;3.35;0;3.35
